Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Xtransfer,https://www.crunchbase.com/funding_round/xtransfer-series-a--171177f6,Xtransfer,https://www.crunchbase.com/organization/xtransfer,Series A,10000000,USD,10000000,2018-10-15
Series A - SellerGrowth,https://www.crunchbase.com/funding_round/sellergrowth-series-a--b2c2fa39,SellerGrowth,https://www.crunchbase.com/organization/sellergrowth,Series A,,,,2018-06-04
Venture Round - Lalamove,https://www.crunchbase.com/funding_round/easyvan-series-unknown--2e6ed1c9,Lalamove,https://www.crunchbase.com/organization/easyvan,Venture - Series Unknown,10000000,USD,10000000,2015-01-05
Series A - WhatsMode,https://www.crunchbase.com/funding_round/whatsmode-series-a--8f716a29,WhatsMode,https://www.crunchbase.com/organization/whatsmode,Series A,4000000,USD,4000000,2016-04-10
Angel Round - WhatsMode,https://www.crunchbase.com/funding_round/whatsmode-angel--52858843,WhatsMode,https://www.crunchbase.com/organization/whatsmode,Angel,1000000,USD,1000000,2015-06-01
Series A - O2Bra,https://www.crunchbase.com/funding_round/o2bra-series-a--8e61b2cb,O2Bra,https://www.crunchbase.com/organization/o2bra,Series A,5000000,CNY,763265,2016-03-01
Series A - Lalamove,https://www.crunchbase.com/funding_round/easyvan-series-a--0ad93190,Lalamove,https://www.crunchbase.com/organization/easyvan,Series A,1500000,USD,1500000,2014-11-03
Angel Round - Wind Fish,https://www.crunchbase.com/funding_round/wind-fish-angel--e7bd627d,Wind Fish,https://www.crunchbase.com/organization/wind-fish,Angel,9000000,CNY,1394646,2016-03-31
Angel Round - Xiaomei Technology,https://www.crunchbase.com/funding_round/xiaomei-technology-angel--f628bec0,Xiaomei Technology,https://www.crunchbase.com/organization/xiaomei-technology,Angel,810000,USD,810000,2014-09-24
Series A - Lu Kou,https://www.crunchbase.com/funding_round/lu-kou-series-a--d7435379,Lu Kou,https://www.crunchbase.com/organization/lu-kou,Series A,3280000,USD,3280000,2015-08-10
Angel Round - Kuickdeal,https://www.crunchbase.com/funding_round/kuickdeal-angel--2ae66446,Kuickdeal,https://www.crunchbase.com/organization/kuickdeal,Angel,9000000,CNY,1347533,2016-08-31
Series A - Bicaijia,https://www.crunchbase.com/funding_round/bicaijia-series-a--362c4293,Bicaijia,https://www.crunchbase.com/organization/bicaijia,Series A,1130000,USD,1130000,2015-07-02
Series A - Kalading,https://www.crunchbase.com/funding_round/kalading-series-a--1f7a3304,Kalading,https://www.crunchbase.com/organization/kalading,Series A,1000000,USD,1000000,2015-03-31
Venture Round - Lalamove,https://www.crunchbase.com/funding_round/easyvan-series-unknown--4d498677,Lalamove,https://www.crunchbase.com/organization/easyvan,Venture - Series Unknown,10000000,USD,10000000,2015-09-09
Angel Round - Hua Xian Bang,https://www.crunchbase.com/funding_round/hua-xian-bang-angel--2ebefeda,Hua Xian Bang,https://www.crunchbase.com/organization/hua-xian-bang,Angel,6000000,CNY,926469,2015-12-21
Angel Round - Xiao Shi Jie,https://www.crunchbase.com/funding_round/xiao-shi-jie-angel--a523e98c,Xiao Shi Jie,https://www.crunchbase.com/organization/xiao-shi-jie,Angel,2000000,CNY,323531,2015-04-01
Series A - Xiao Man Technology,https://www.crunchbase.com/funding_round/xiao-man-technology-series-a--35ae12c0,Xiao Man Technology,https://www.crunchbase.com/organization/xiao-man-technology,Series A,13200000,CNY,2133340,2015-06-09
Series A - Soouya,https://www.crunchbase.com/funding_round/soouya-series-a--82f02825,Soouya,https://www.crunchbase.com/organization/soouya,Series A,10270000,CNY,1659543,2015-07-14
Angel Round - Huo Da Da,https://www.crunchbase.com/funding_round/huo-da-da-angel--7a66353e,Huo Da Da,https://www.crunchbase.com/organization/huo-da-da,Angel,4000000,CNY,626067,2015-11-23
Angel Round - Geeqee,https://www.crunchbase.com/funding_round/geeqee-angel--941b2f96,Geeqee,https://www.crunchbase.com/organization/geeqee,Angel,9120000,CNY,1434844,2015-09-06
Series A - Che Man Man,https://www.crunchbase.com/funding_round/che-man-man-series-a--95a31e1a,Che Man Man,https://www.crunchbase.com/organization/che-man-man,Series A,15900000,CNY,2571893,2015-06-01
