Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - JMGO,https://www.crunchbase.com/funding_round/jmgo-series-d--6bb7193c,JMGO,https://www.crunchbase.com/organization/jmgo,Series D,86530000,USD,86530000,2018-10-22
Series A - Geework.cn,https://www.crunchbase.com/funding_round/geework-cn-series-a--61ed6849,Geework.cn,https://www.crunchbase.com/organization/geework-cn,Series A,,,,2018-10-18
Series A - ICY,https://www.crunchbase.com/funding_round/icy-series-a--427148e4,ICY,https://www.crunchbase.com/organization/icy,Series A,100000000,CNY,14656094,2018-09-03
Series B - Zike.com,https://www.crunchbase.com/funding_round/zike-com-series-b--e74f24f5,Zike.com,https://www.crunchbase.com/organization/zike-com,Series B,,,,2018-08-09
Seed Round - Yuelin,https://www.crunchbase.com/funding_round/yuelin-seed--8e9b1081,Yuelin,https://www.crunchbase.com/organization/yuelin,Seed,,,,2018-07-27
Seed Round - Yanker,https://www.crunchbase.com/funding_round/yanker-seed--df1d43e6,Yanker,https://www.crunchbase.com/organization/yanker,Seed,,,,2018-08-20
Seed Round - Yipu Sports,https://www.crunchbase.com/funding_round/yipu-sports-seed--0c8905ba,Yipu Sports,https://www.crunchbase.com/organization/yipu-sports,Seed,,,,2018-07-20
Seed Round - Zplus Fitness,https://www.crunchbase.com/funding_round/zplus-fitness-seed--c2eab5fb,Zplus Fitness,https://www.crunchbase.com/organization/zplus-fitness,Seed,,,,2018-07-20
Series A - SmellMe,https://www.crunchbase.com/funding_round/smellme-series-a--8470e0ad,SmellMe,https://www.crunchbase.com/organization/smellme,Series A,6000000,USD,6000000,2015-06-05
Series A - Chelaile,https://www.crunchbase.com/funding_round/chelaile-series-a--681a253c,Chelaile,https://www.crunchbase.com/organization/chelaile,Series A,5000000,USD,5000000,2014-09-10
