Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Cytek,https://www.crunchbase.com/funding_round/cytek-series-c--5da74e83,Cytek,https://www.crunchbase.com/organization/cytek,Series C,,,,2018-09-24
Series A - Ansun BioPharma,https://www.crunchbase.com/funding_round/ansun-biopharma-series-a--1d3d99a4,Ansun BioPharma,https://www.crunchbase.com/organization/ansun-biopharma,Series A,85000000,USD,85000000,2018-05-14
Series C - Profusa,https://www.crunchbase.com/funding_round/profusa-series-c--88ae6ccd,Profusa,https://www.crunchbase.com/organization/profusa,Series C,45000000,USD,45000000,2018-08-14
Series C - Apexigen,https://www.crunchbase.com/funding_round/apexigen-series-c--5a85c399,Apexigen,https://www.crunchbase.com/organization/apexigen,Series C,58000000,USD,58000000,2018-08-08
Series B - Refuge Biotechnologies,https://www.crunchbase.com/funding_round/refuge-biotechnologies-series-b--3b1057da,Refuge Biotechnologies,https://www.crunchbase.com/organization/refuge-biotechnologies,Series B,25000000,USD,25000000,2018-05-02
Series C - Biocytogen,https://www.crunchbase.com/funding_round/biocytogen-series-c--eb3f5a52,Biocytogen,https://www.crunchbase.com/organization/biocytogen,Series C,410000000,CNY,65250258,2018-04-10
Series B - Eucure Biopharma,https://www.crunchbase.com/funding_round/eucure-biopharma-series-b--5a60ee64,Eucure Biopharma,https://www.crunchbase.com/organization/eucure-biopharma,Series B,19000000,USD,19000000,2018-03-28
Series C - MicuRx Pharmaceuticals,https://www.crunchbase.com/funding_round/micurx-pharmaceuticals-series-c--e6139c0c,MicuRx Pharmaceuticals,https://www.crunchbase.com/organization/micurx-pharmaceuticals,Series C,55000000,USD,55000000,2016-09-26
Series B - Profusa,https://www.crunchbase.com/funding_round/profusa-series-b--a5670759,Profusa,https://www.crunchbase.com/organization/profusa,Series B,13200000,USD,13200000,2015-12-16
Series A - OncoImmune,https://www.crunchbase.com/funding_round/oncoimmune-series-a--31da08f1,OncoImmune,https://www.crunchbase.com/organization/oncoimmune,Series A,15000000,USD,15000000,2017-01-12
Series A - EpimAb Biotherapeutics,https://www.crunchbase.com/funding_round/epimab-biotherapeutics-series-a--d7fd2432,EpimAb Biotherapeutics,https://www.crunchbase.com/organization/epimab-biotherapeutics,Series A,25000000,USD,25000000,2017-04-24
