Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Glotech (Grandhonor),https://www.crunchbase.com/funding_round/glotech-grandhonor-series-a--f207db7f,Glotech (Grandhonor),https://www.crunchbase.com/organization/glotech-grandhonor,Series A,,,,2018-10-12
Series A - Huitongda,https://www.crunchbase.com/funding_round/huitongda-series-a--349e6e6f,Huitongda,https://www.crunchbase.com/organization/huitongda,Series A,500000000,CNY,80837554,2015-07-02
Series D - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-d--051e6c5d,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series D,800000000,CNY,125232854,2018-06-06
Series B - ImbaTV,https://www.crunchbase.com/funding_round/imbatv-series-b--e178c895,ImbaTV,https://www.crunchbase.com/organization/imbatv,Series B,16000000,USD,16000000,2015-10-27
Series B - Joy Pictures,https://www.crunchbase.com/funding_round/joy-pictures-series-b--ab4ac46a,Joy Pictures,https://www.crunchbase.com/organization/joy-pictures,Series B,,,,2018-04-18
Series B - Century Innovation,https://www.crunchbase.com/funding_round/century-innovation-series-b--132de497,Century Innovation,https://www.crunchbase.com/organization/century-innovation,Series B,,,,2018-06-25
Series B - HanSight,https://www.crunchbase.com/funding_round/hansight-series-b--31852c2b,HanSight,https://www.crunchbase.com/organization/hansight,Series B,,,,2018-03-29
Series C - ImbaTV,https://www.crunchbase.com/funding_round/imbatv-series-c--11d26601,ImbaTV,https://www.crunchbase.com/organization/imbatv,Series C,,,,2018-02-09
Series A - CGeneTech,https://www.crunchbase.com/funding_round/cgenetech-series-a--f980aec2,CGeneTech,https://www.crunchbase.com/organization/cgenetech,Series A,15000000,USD,15000000,2017-12-13
Series B - Yanwen Express,https://www.crunchbase.com/funding_round/yanwen-express-series-b--10b959f1,Yanwen Express,https://www.crunchbase.com/organization/yanwen-express,Series B,15000000,USD,15000000,2017-12-01
Corporate Round - COBIO Smart Healthcare Technology,https://www.crunchbase.com/funding_round/cobio-smart-healthcare-technology-corporate-round--e38913d7,COBIO Smart Healthcare Technology,https://www.crunchbase.com/organization/cobio-smart-healthcare-technology,Corporate Round,,,,2017-11-03
Series B - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-b--5889a714,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series B,50000000,USD,50000000,2015-08-10
Series B - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-b--e2728461,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series B,300000000,CNY,48352267,2015-01-05
Series B - Chedai.com,https://www.crunchbase.com/funding_round/chedai-com-series-b--4386e6aa,Chedai.com,https://www.crunchbase.com/organization/chedai-com,Series B,,,,2017-01-06
Series A - Yeecall,https://www.crunchbase.com/funding_round/yeecall-series-a--6e95d867,Yeecall,https://www.crunchbase.com/organization/yeecall,Series A,12000000,USD,12000000,2017-04-20
Venture Round - Holaverse,https://www.crunchbase.com/funding_round/holaverse-series-unknown--143c1598,Holaverse,https://www.crunchbase.com/organization/holaverse,Venture - Series Unknown,70000000,USD,70000000,2016-04-06
Series C - Travelzen.com,https://www.crunchbase.com/funding_round/travelzen-com-series-c--26725184,Travelzen.com,https://www.crunchbase.com/organization/travelzen-com,Series C,93000000,USD,93000000,2016-03-22
Venture Round - FineEx,https://www.crunchbase.com/funding_round/fineex-series-unknown--97d2253d,FineEx,https://www.crunchbase.com/organization/fineex,Venture - Series Unknown,32000000,USD,32000000,2015-10-30
Series C - FreshMarket,https://www.crunchbase.com/funding_round/freshmarket-series-c--4a123f9a,FreshMarket,https://www.crunchbase.com/organization/freshmarket,Series C,249000000,CNY,40279712,2015-04-01
