Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Twiggle,https://www.crunchbase.com/funding_round/twiggle-series-a--aa3eb1d1,Twiggle,https://www.crunchbase.com/organization/twiggle,Series A,5300000,USD,5300000,2016-05-31
Series D - Qyer.com,https://www.crunchbase.com/funding_round/qyer-com-series-d--bae4614d,Qyer.com,https://www.crunchbase.com/organization/qyer-com,Series D,60000000,USD,60000000,2016-01-06
Series A - Wan Zi,https://www.crunchbase.com/funding_round/wan-zi-series-a--e093d7a6,Wan Zi,https://www.crunchbase.com/organization/wan-zi,Series A,,,,2016-01-01
Venture Round - Jet,https://www.crunchbase.com/funding_round/jet-series-unknown--79d35bb3,Jet,https://www.crunchbase.com/organization/jet,Venture - Series Unknown,350000000,USD,350000000,2015-11-24
Series B - Jet,https://www.crunchbase.com/funding_round/jet-series-b--b43c959c,Jet,https://www.crunchbase.com/organization/jet,Series B,140000000,USD,140000000,2015-02-11
Venture Round - OUYA,https://www.crunchbase.com/funding_round/ouya-series-unknown--b8a16a8a,OUYA,https://www.crunchbase.com/organization/ouya,Venture - Series Unknown,10000000,USD,10000000,2015-01-29
Series A - INMAN,https://www.crunchbase.com/funding_round/inman-series-a--cc8cb855,INMAN,https://www.crunchbase.com/organization/inman,Series A,10000000,USD,10000000,2014-02-01
Series B - ITutorGroup,https://www.crunchbase.com/funding_round/tutorgroup-series-b--e9f83086,ITutorGroup,https://www.crunchbase.com/organization/tutorgroup,Series B,100000000,USD,100000000,2014-02-01
Series A - LBE Security Master,https://www.crunchbase.com/funding_round/lbe-security-master-series-a--9396b7f3,LBE Security Master,https://www.crunchbase.com/organization/lbe-security-master,Series A,10000000,USD,10000000,2013-12-01
Series B - Kuaidi Dache,https://www.crunchbase.com/funding_round/kuaidi-dache-series-b--ddc1c8e6,Kuaidi Dache,https://www.crunchbase.com/organization/kuaidi-dache,Series B,100000000,USD,100000000,2013-10-01
Series B - Qyer.com,https://www.crunchbase.com/funding_round/qyer-com-series-b--cc8caa2b,Qyer.com,https://www.crunchbase.com/organization/qyer-com,Series B,10000000,USD,10000000,2013-07-16
