Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - JMGO,https://www.crunchbase.com/funding_round/jmgo-series-d--6bb7193c,JMGO,https://www.crunchbase.com/organization/jmgo,Series D,86530000,USD,86530000,2018-10-22
Series C - 1919 Wines & Spirits,https://www.crunchbase.com/funding_round/1919-wines-spirits-series-c--95410f0e,1919 Wines & Spirits,https://www.crunchbase.com/organization/1919-wines-spirits,Series C,2000000000,CNY,288279977,2018-10-18
Series C - WayRay,https://www.crunchbase.com/funding_round/wayray-series-c--f892c422,WayRay,https://www.crunchbase.com/organization/wayray,Series C,80000000,USD,80000000,2018-09-18
Corporate Round - Mail.Ru Group,https://www.crunchbase.com/funding_round/mail-ru-corporate-round--b2347e2b,Mail.Ru Group,https://www.crunchbase.com/organization/mail-ru,Corporate Round,,,,2018-09-11
Corporate Round - YCloset,https://www.crunchbase.com/funding_round/ycloset-corporate-round--7ef51726,YCloset,https://www.crunchbase.com/organization/ycloset,Corporate Round,,,,2018-09-07
Series C - Huishoubao,https://www.crunchbase.com/funding_round/huishoubao-series-c--4948bb6d,Huishoubao,https://www.crunchbase.com/organization/huishoubao,Series C,,,,2018-09-06
Series F - Souche,https://www.crunchbase.com/funding_round/souche-series-f--9f437a18,Souche,https://www.crunchbase.com/organization/souche,Series F,578000000,USD,578000000,2018-09-03
Series A - TUNGEE,https://www.crunchbase.com/funding_round/tungee-series-a--d958e51f,TUNGEE,https://www.crunchbase.com/organization/tungee,Series A,40000000,CNY,5878635,2018-08-28
Funding Round - ELEME,https://www.crunchbase.com/funding_round/ele-me-undisclosed--417af9aa,ELEME,https://www.crunchbase.com/organization/ele-me,Funding Round,3000000000,USD,3000000000,2018-08-23
Series B - Bus365 China Highway Ticket Network,https://www.crunchbase.com/funding_round/bus365-china-highway-ticket-network-series-b--65a98d47,Bus365 China Highway Ticket Network,https://www.crunchbase.com/organization/bus365-china-highway-ticket-network,Series B,,,,2018-08-13
Private Equity Round - Quibi,https://www.crunchbase.com/funding_round/quibi-private-equity--9cb76b49,Quibi,https://www.crunchbase.com/organization/quibi,Private Equity,1000000000,USD,1000000000,2018-08-07
Series B - Shanghai Canxing Cultural and Broadcast Company,https://www.crunchbase.com/funding_round/shanghai-canxing-cultural-and-broadcast-company-series-b--0e7205b5,Shanghai Canxing Cultural and Broadcast Company,https://www.crunchbase.com/organization/shanghai-canxing-cultural-and-broadcast-company,Series B,360000000,CNY,52839382,2018-07-31
Series D - Megvii Technology,https://www.crunchbase.com/funding_round/megvii-technology-series-d--4d1f6dbd,Megvii Technology,https://www.crunchbase.com/organization/megvii-technology,Series D,,,,2018-07-24
Series A - Suning Sports,https://www.crunchbase.com/funding_round/suning-sports-series-a--bff82ae6,Suning Sports,https://www.crunchbase.com/organization/suning-sports,Series A,600000000,USD,600000000,2018-07-19
Funding Round - Focus Media,https://www.crunchbase.com/funding_round/focus-media-2-undisclosed--16547264,Focus Media,https://www.crunchbase.com/organization/focus-media-2,Funding Round,2230000000,USD,2230000000,2018-07-19
Venture Round - DeepMap,https://www.crunchbase.com/funding_round/deepmap-series-unknown--adc64734,DeepMap,https://www.crunchbase.com/organization/deepmap,Venture - Series Unknown,60000000,USD,60000000,2018-07-09
Series C - Haoshiqi,https://www.crunchbase.com/funding_round/haoshiqi-series-c--b062dd7c,Haoshiqi,https://www.crunchbase.com/organization/haoshiqi,Series C,,,,2018-07-04
Series A - China Media Capital (CMC),https://www.crunchbase.com/funding_round/china-media-capital-cmc-series-a--72d5aea8,China Media Capital (CMC),https://www.crunchbase.com/organization/china-media-capital-cmc,Series A,10000000000,CNY,1505729299,2018-07-03
Corporate Round - Babytree,https://www.crunchbase.com/funding_round/babytree-corporate-round--938f9c21,Babytree,https://www.crunchbase.com/organization/babytree,Corporate Round,1400000000,CNY,218483722,2018-06-04
Venture Round - Paytm Mall,https://www.crunchbase.com/funding_round/paytm-mall-series-unknown--082c4e12,Paytm Mall,https://www.crunchbase.com/organization/paytm-mall,Venture - Series Unknown,445000000,USD,445000000,2018-06-02
Series D - Xiaohongshu,https://www.crunchbase.com/funding_round/xiaohongshu-series-d--1902c2b7,Xiaohongshu,https://www.crunchbase.com/organization/xiaohongshu,Series D,300000000,USD,300000000,2018-06-01
Series A - Authine Network,https://www.crunchbase.com/funding_round/authine-network-series-a--eba36695,Authine Network,https://www.crunchbase.com/organization/authine-network,Series A,,,,2018-05-31
Series B - SQream Technologies,https://www.crunchbase.com/funding_round/sqream-technologies-series-b--93861d52,SQream Technologies,https://www.crunchbase.com/organization/sqream-technologies,Series B,26400000,USD,26400000,2018-05-30
Post-IPO Equity - ZTO Express,https://www.crunchbase.com/funding_round/zto-express-post-ipo-equity--687f9c93,ZTO Express,https://www.crunchbase.com/organization/zto-express,Post-IPO Equity,1380000000,USD,1380000000,2018-05-29
Series B - Seven Ages,https://www.crunchbase.com/funding_round/seven-ages-series-b--835491d2,Seven Ages,https://www.crunchbase.com/organization/seven-ages,Series B,,,,2018-05-18
Corporate Round - ORDRE,https://www.crunchbase.com/funding_round/ordre-corporate-round--06f61a42,ORDRE,https://www.crunchbase.com/organization/ordre,Corporate Round,,,,2018-05-18
Series D - Meiweibuyongdeng,https://www.crunchbase.com/funding_round/meiweibuyongdeng-series-d--3b7dede5,Meiweibuyongdeng,https://www.crunchbase.com/organization/meiweibuyongdeng,Series D,400000000,CNY,63243106,2018-05-11
Corporate Round - Daraz.pk,https://www.crunchbase.com/funding_round/daraz-pk-corporate-round--c0206ea0,Daraz.pk,https://www.crunchbase.com/organization/daraz-pk,Corporate Round,,,,2018-05-09
Corporate Round - Huitongda,https://www.crunchbase.com/funding_round/huitongda-corporate-round--1aeab12e,Huitongda,https://www.crunchbase.com/organization/huitongda,Corporate Round,4500000000,CNY,716651802,2018-04-19
Series B - Video++,https://www.crunchbase.com/funding_round/video-7010-series-b--987ac2a7,Video++,https://www.crunchbase.com/organization/video-7010,Series B,349000000,CNY,55604238,2018-04-16
Series C - SenseTime,https://www.crunchbase.com/funding_round/sensetime-series-c--001a4a97,SenseTime,https://www.crunchbase.com/organization/sensetime,Series C,600000000,USD,600000000,2018-04-09
Secondary Market - Lazada Group,https://www.crunchbase.com/funding_round/lazada-group-secondary-market--c7c08427,Lazada Group,https://www.crunchbase.com/organization/lazada-group,Secondary Market,2000000000,USD,2000000000,2018-03-19
Series F - ofo,https://www.crunchbase.com/funding_round/ofo-series-f--15244bb8,ofo,https://www.crunchbase.com/organization/ofo,Series F,866000000,USD,866000000,2018-03-13
Series C - Tingjiandan,https://www.crunchbase.com/funding_round/tingjiandan-series-c--79e578ac,Tingjiandan,https://www.crunchbase.com/organization/tingjiandan,Series C,,,,2018-03-06
Corporate Round - Beijing Easyhome Furnishing,https://www.crunchbase.com/funding_round/beijing-easyhome-furnishing-corporate-round--b644d9e4,Beijing Easyhome Furnishing,https://www.crunchbase.com/organization/beijing-easyhome-furnishing,Corporate Round,13000000000,CNY,2067101287,2018-02-11
Corporate Round - Beijing Shiji Information Technology,https://www.crunchbase.com/funding_round/beijing-shiji-information-technology-corporate-round--c57e1f2f,Beijing Shiji Information Technology,https://www.crunchbase.com/organization/beijing-shiji-information-technology,Corporate Round,486000000,USD,486000000,2018-02-08
Venture Round - Wanda Film,https://www.crunchbase.com/funding_round/wanda-film-series-unknown--6870f7d8,Wanda Film,https://www.crunchbase.com/organization/wanda-film,Venture - Series Unknown,7800000000,CNY,1241346383,2018-02-06
Series A - Ganjie,https://www.crunchbase.com/funding_round/ganjie-series-a--5e0a76ff,Ganjie,https://www.crunchbase.com/organization/ganjie,Series A,16000000,USD,16000000,2018-02-05
Corporate Round - Ant Financial,https://www.crunchbase.com/funding_round/alipay-corporate-round--ba8c50f3,Ant Financial,https://www.crunchbase.com/organization/alipay,Corporate Round,,,,2018-02-02
Venture Round - BigBasket,https://www.crunchbase.com/funding_round/bigbasket-com-series-unknown--4e52b757,BigBasket,https://www.crunchbase.com/organization/bigbasket-com,Venture - Series Unknown,300000000,USD,300000000,2018-02-01
Series D - Xpressbees,https://www.crunchbase.com/funding_round/xpressbees-series-d--25c5dcdc,Xpressbees,https://www.crunchbase.com/organization/xpressbees,Series D,2250000000,INR,35277516,2018-01-30
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--aa35654e,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,2200000000,CNY,342639099,2018-01-18
Series A - Moredian,https://www.crunchbase.com/funding_round/moredian-series-a--26b3a1ef,Moredian,https://www.crunchbase.com/organization/moredian,Series A,,,,2018-01-08
Corporate Round - Xpressbees,https://www.crunchbase.com/funding_round/xpressbees-corporate-round--2b819717,Xpressbees,https://www.crunchbase.com/organization/xpressbees,Corporate Round,100000000,USD,100000000,2018-01-03
Series A - Plex-VR,https://www.crunchbase.com/funding_round/plex-vr-series-a--64157ee9,Plex-VR,https://www.crunchbase.com/organization/plex-vr,Series A,,,,2017-12-29
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--74dfc280,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,,,,2017-12-15
Series A - iTrigger.cn,https://www.crunchbase.com/funding_round/itrigger-cn-series-a--72bcd95a,iTrigger.cn,https://www.crunchbase.com/organization/itrigger-cn,Series A,15000000,USD,15000000,2017-12-07
Series B - Health2Sync,https://www.crunchbase.com/funding_round/h2-inc-series-b--93fbe18b,Health2Sync,https://www.crunchbase.com/organization/h2-inc,Series B,6000000,USD,6000000,2017-12-06
Post-IPO Equity - Sun Art Retail Group,https://www.crunchbase.com/funding_round/sun-art-retail-group-post-ipo-equity--f5f1318e,Sun Art Retail Group,https://www.crunchbase.com/organization/sun-art-retail-group,Post-IPO Equity,2880000000,USD,2880000000,2017-11-20
Series A - NVXL,https://www.crunchbase.com/funding_round/nvxl-series-a--c833f62e,NVXL,https://www.crunchbase.com/organization/nvxl,Series A,20000000,USD,20000000,2017-11-13
Series E - Souche,https://www.crunchbase.com/funding_round/souche-series-e--58fa46a4,Souche,https://www.crunchbase.com/organization/souche,Series E,335000000,USD,335000000,2017-11-01
Series A - Umbo Computer Vision,https://www.crunchbase.com/funding_round/umbo-computer-vision-series-a--203da85c,Umbo Computer Vision,https://www.crunchbase.com/organization/umbo-computer-vision,Series A,6800000,USD,6800000,2017-10-25
Series D - Magic Leap,https://www.crunchbase.com/funding_round/magic-leap-series-d--73d0274d,Magic Leap,https://www.crunchbase.com/organization/magic-leap,Series D,502000000,USD,502000000,2017-10-17
Series C - MariaDB Corporation,https://www.crunchbase.com/funding_round/mariadb-2-series-c--ded3ddca,MariaDB Corporation,https://www.crunchbase.com/organization/mariadb-2,Series C,27000000,USD,27000000,2017-09-29
Series E - BigBasket,https://www.crunchbase.com/funding_round/bigbasket-com-series-e--c44e8f55,BigBasket,https://www.crunchbase.com/organization/bigbasket-com,Series E,280000000,USD,280000000,2017-09-08
Series C - YCloset,https://www.crunchbase.com/funding_round/ycloset-series-c--74746a9c,YCloset,https://www.crunchbase.com/organization/ycloset,Series C,50000000,USD,50000000,2017-09-07
Series A - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-a--6b1a7127,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series A,100000000,USD,100000000,2017-08-18
Post-IPO Equity - China Unicom,https://www.crunchbase.com/funding_round/china-unicom-post-ipo-equity--c55e2472,China Unicom,https://www.crunchbase.com/organization/china-unicom,Post-IPO Equity,11700000000,USD,11700000000,2017-08-17
