Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Initial Coin Offering - Dbrain,https://www.crunchbase.com/funding_round/dbrain-initial-coin-offering--bc2abd38,Dbrain,https://www.crunchbase.com/organization/dbrain,Initial Coin Offering,2700000,USD,2700000,2018-07-31
Equity Crowdfunding - Dbrain,https://www.crunchbase.com/funding_round/dbrain-equity-crowdfunding--077f5289,Dbrain,https://www.crunchbase.com/organization/dbrain,Equity Crowdfunding,3000000,USD,3000000,2018-07-31
Seed Round - QLC,https://www.crunchbase.com/funding_round/qlc-io-seed--8b3af69b,QLC,https://www.crunchbase.com/organization/qlc-io,Seed,650000,USD,650000,2017-02-01
Series A - Vericant,https://www.crunchbase.com/funding_round/vericant-series-a--93d8cb94,Vericant,https://www.crunchbase.com/organization/vericant,Series A,,,,2014-09-04
Convertible Note - Trainersvault,https://www.crunchbase.com/funding_round/trainersvault-convertible-note--9b891f5b,Trainersvault,https://www.crunchbase.com/organization/trainersvault,Convertible Note,30000,USD,30000,2016-08-22
Convertible Note - The CareVoice,https://www.crunchbase.com/funding_round/the-carevoice-convertible-note--0b7ca327,The CareVoice,https://www.crunchbase.com/organization/the-carevoice,Convertible Note,,,,2017-01-01
Seed Round - misterb&b,https://www.crunchbase.com/funding_round/misterbnb-seed--e1f4e77f,misterb&b,https://www.crunchbase.com/organization/misterbnb,Seed,2000000,USD,2000000,2015-05-04
Series B - The News Lens,https://www.crunchbase.com/funding_round/the-news-lens-series-b--196fd6ed,The News Lens,https://www.crunchbase.com/organization/the-news-lens,Series B,2000000,USD,2000000,2017-03-23
Seed Round - ScanTrust,https://www.crunchbase.com/funding_round/scantrust-seed--69044ee7,ScanTrust,https://www.crunchbase.com/organization/scantrust,Seed,1200000,USD,1200000,2015-05-04
Venture Round - Seeder Clean Energy,https://www.crunchbase.com/funding_round/seeder-series-unknown--3bd96dbc,Seeder Clean Energy,https://www.crunchbase.com/organization/seeder,Venture - Series Unknown,365000,USD,365000,2015-08-11
Seed Round - Cloudcade,https://www.crunchbase.com/funding_round/cloudcade-seed--7c4fe128,Cloudcade,https://www.crunchbase.com/organization/cloudcade,Seed,3000000,USD,3000000,2014-10-08
