Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - XQIAO,https://www.crunchbase.com/funding_round/xqiao-series-b--04a1f9a0,XQIAO,https://www.crunchbase.com/organization/xqiao,Series B,140000000,CNY,20254565,2018-10-16
Series A - Intengine Technology,https://www.crunchbase.com/funding_round/intengine-technology-series-a--560ca65e,Intengine Technology,https://www.crunchbase.com/organization/intengine-technology,Series A,,,,2018-05-31
Series A - Dtwave,https://www.crunchbase.com/funding_round/dtwave-series-a--351c1427,Dtwave,https://www.crunchbase.com/organization/dtwave,Series A,22000000,USD,22000000,2018-06-21
Series C - Edianzu,https://www.crunchbase.com/funding_round/edianzu-series-c--13600bb2,Edianzu,https://www.crunchbase.com/organization/edianzu,Series C,32000000,USD,32000000,2018-03-21
Angel Round - Ultrain,https://www.crunchbase.com/funding_round/ultrain-angel--3e78795d,Ultrain,https://www.crunchbase.com/organization/ultrain,Angel,,,,2018-05-21
Series A - Chaohi,https://www.crunchbase.com/funding_round/chaohi-series-a--eeafca0a,Chaohi,https://www.crunchbase.com/organization/chaohi,Series A,,,,2018-03-26
Series A - Xiaoniujh.com,https://www.crunchbase.com/funding_round/xiaoniujh-com-series-a--7d786f79,Xiaoniujh.com,https://www.crunchbase.com/organization/xiaoniujh-com,Series A,,,,2018-04-10
Series A - Deepleaper,https://www.crunchbase.com/funding_round/deepleaper-series-a--628469d1,Deepleaper,https://www.crunchbase.com/organization/deepleaper,Series A,,,,2018-03-06
Seed Round - AiFi,https://www.crunchbase.com/funding_round/aifi-c8f8-seed--630c8f2b,AiFi,https://www.crunchbase.com/organization/aifi-c8f8,Seed,4000000,USD,4000000,2016-12-01
Series A - Shenzhen Sinoagri E-Commerce,https://www.crunchbase.com/funding_round/shenzhen-sinoagri-e-commerce-series-a--7f984dc2,Shenzhen Sinoagri E-Commerce,https://www.crunchbase.com/organization/shenzhen-sinoagri-e-commerce,Series A,,,,2017-12-18
Series A - Locals,https://www.crunchbase.com/funding_round/locals-94eb-series-a--8eee92b1,Locals,https://www.crunchbase.com/organization/locals-94eb,Series A,,,,2018-01-23
Angel Round - nreal.ai,https://www.crunchbase.com/funding_round/nreal-ai-angel--2c3ad50a,nreal.ai,https://www.crunchbase.com/organization/nreal-ai,Angel,,,,2017-11-02
Series A - NovuMind,https://www.crunchbase.com/funding_round/novumind-ltd-series-a--b1c34df2,NovuMind,https://www.crunchbase.com/organization/novumind-ltd,Series A,15200000,USD,15200000,2016-12-25
Series A - SoundAI,https://www.crunchbase.com/funding_round/soundai-series-a--e3b11c03,SoundAI,https://www.crunchbase.com/organization/soundai,Series A,100000000,CNY,15038046,2017-10-27
Series B - Edianzu,https://www.crunchbase.com/funding_round/edianzu-series-b--22ee45b5,Edianzu,https://www.crunchbase.com/organization/edianzu,Series B,18000000,USD,18000000,2017-10-18
Series B - Tianjin Galaxy Cool Media,https://www.crunchbase.com/funding_round/tianjin-galaxy-cool-media-series-b--b4dd1af6,Tianjin Galaxy Cool Media,https://www.crunchbase.com/organization/tianjin-galaxy-cool-media,Series B,200000000,CNY,29467006,2017-06-29
Series A - Xiaomai,https://www.crunchbase.com/funding_round/xiaomai-series-a--77394b6d,Xiaomai,https://www.crunchbase.com/organization/xiaomai,Series A,125000000,CNY,18492245,2017-07-20
Series B - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-b--11523bc2,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series B,156000000,CNY,23352961,2016-08-30
Seed Round - SoundAI,https://www.crunchbase.com/funding_round/soundai-seed--5c88f0ad,SoundAI,https://www.crunchbase.com/organization/soundai,Seed,160000000,CNY,23988495,2016-10-01
Series B - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-b--d8823d8b,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series B,,,,2016-03-08
