Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - NetEase Music,https://www.crunchbase.com/funding_round/netease-music-corporate-round--4c87a3c8,NetEase Music,https://www.crunchbase.com/organization/netease-music,Corporate Round,,,,2018-10-12
Series A - Jeemaa.com,https://www.crunchbase.com/funding_round/jeemaa-com-series-a--3b7be204,Jeemaa.com,https://www.crunchbase.com/organization/jeemaa-com,Series A,,,,2018-09-07
Series B - Baidu Video,https://www.crunchbase.com/funding_round/baidu-video-series-b--363f9595,Baidu Video,https://www.crunchbase.com/organization/baidu-video,Series B,100000000,USD,100000000,2018-09-05
Corporate Round - Lionbridge Financial Leasing (China),https://www.crunchbase.com/funding_round/lionbridge-financial-leasing--china--corporate-round--accd4d2f,Lionbridge Financial Leasing (China),https://www.crunchbase.com/organization/lionbridge-financial-leasing--china-,Corporate Round,1000000000,CNY,149084620,2018-07-17
Series A - iSpace China,https://www.crunchbase.com/funding_round/ispace-752d-series-a--f997783c,iSpace China,https://www.crunchbase.com/organization/ispace-752d,Series A,600000000,CNY,89974285,2018-07-02
Series A - Visual Threat,https://www.crunchbase.com/funding_round/visual-threat-series-a--984f10d6,Visual Threat,https://www.crunchbase.com/organization/visual-threat,Series A,5000000,USD,5000000,2018-06-29
Series B - Vesper,https://www.crunchbase.com/funding_round/vesper-series-b--c1595098,Vesper,https://www.crunchbase.com/organization/vesper,Series B,23000000,USD,23000000,2018-05-15
Series C - A.I. Nemo,https://www.crunchbase.com/funding_round/ainemo-series-c--af7ee46a,A.I. Nemo,https://www.crunchbase.com/organization/ainemo,Series C,,,,2018-05-15
Series B - Idriverplus,https://www.crunchbase.com/funding_round/idriverplus-series-b--eabab55f,Idriverplus,https://www.crunchbase.com/organization/idriverplus,Series B,,,,2018-04-16
Series A - Pear Video,https://www.crunchbase.com/funding_round/pear-video-series-a--f5aacc8c,Pear Video,https://www.crunchbase.com/organization/pear-video,Series A,617000000,CNY,98303194,2018-04-16
Series C - A.I. Nemo,https://www.crunchbase.com/funding_round/ainemo-series-c--21fd7b01,A.I. Nemo,https://www.crunchbase.com/organization/ainemo,Series C,,,,2018-04-04
Venture Round - Coocaa,https://www.crunchbase.com/funding_round/coocaa-series-unknown--1f4227d7,Coocaa,https://www.crunchbase.com/organization/coocaa,Venture - Series Unknown,1100000000,CNY,173731758,2018-03-16
Series B - MORE Health,https://www.crunchbase.com/funding_round/more-health-series-b--2bf57e22,MORE Health,https://www.crunchbase.com/organization/more-health,Series B,,,,2018-03-14
Series B - MORE Health,https://www.crunchbase.com/funding_round/more-health-047f-series-b--35d6fbdb,MORE Health,https://www.crunchbase.com/organization/more-health-047f,Series B,,,,2018-03-14
Corporate Round - XGIMI,https://www.crunchbase.com/funding_round/xgimi-corporate-round--832d551f,XGIMI,https://www.crunchbase.com/organization/xgimi,Corporate Round,95000000,USD,95000000,2018-03-12
Series D - Broadlink,https://www.crunchbase.com/funding_round/broadlink-series-d--bb93162e,Broadlink,https://www.crunchbase.com/organization/broadlink,Series D,54000000,USD,54000000,2018-02-05
Seed Round - Yanzhuanjia,https://www.crunchbase.com/funding_round/yanzhuanjia-seed--4cbea6f9,Yanzhuanjia,https://www.crunchbase.com/organization/yanzhuanjia,Seed,,,,2018-01-25
