Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Debt Financing - Pioneer Corporation,https://www.crunchbase.com/funding_round/pioneer-corporation-debt-financing--788bf89c,Pioneer Corporation,https://www.crunchbase.com/organization/pioneer-corporation,Debt Financing,60000000000,JPY,539490114,2018-09-12
Private Equity Round - Celetron International,https://www.crunchbase.com/funding_round/celetron-international-private-equity--8d3c7249,Celetron International,https://www.crunchbase.com/organization/celetron-international,Private Equity,48000000,USD,48000000,2001-05-22
Venture Round - COFCO,https://www.crunchbase.com/funding_round/cofco-series-unknown--a27e5b49,COFCO,https://www.crunchbase.com/organization/cofco,Venture - Series Unknown,,,,2014-06-06
Private Equity Round - Telus International,https://www.crunchbase.com/funding_round/telus-international-private-equity--b5fa2485,Telus International,https://www.crunchbase.com/organization/telus-international,Private Equity,,,,2016-05-05
Private Equity Round - St. George's University,https://www.crunchbase.com/funding_round/st-georges-university-private-equity--9c2fb34f,St. George's University,https://www.crunchbase.com/organization/st-georges-university,Private Equity,750000000,USD,750000000,2014-08-08
Series C - RapidStream,https://www.crunchbase.com/funding_round/rapidstream-series-c--7fd44ecc,RapidStream,https://www.crunchbase.com/organization/rapidstream,Series C,25000000,USD,25000000,2001-01-22
Venture Round - Resilience,https://www.crunchbase.com/funding_round/resilience-series-unknown--22d8dce0,Resilience,https://www.crunchbase.com/organization/resilience,Venture - Series Unknown,10000000,USD,10000000,2006-04-24
Private Equity Round - Weetabix,https://www.crunchbase.com/funding_round/weetabix-private-equity--96ce48bf,Weetabix,https://www.crunchbase.com/organization/weetabix,Private Equity,,,,2015-09-01
Series A - Sipix,https://www.crunchbase.com/funding_round/sipix-series-a--9676be8d,Sipix,https://www.crunchbase.com/organization/sipix,Series A,100000000,USD,100000000,2001-01-31
Venture Round - LightSand Communications,https://www.crunchbase.com/funding_round/lightsand-communications-series-unknown--318495f2,LightSand Communications,https://www.crunchbase.com/organization/lightsand-communications,Venture - Series Unknown,10990000,USD,10990000,2002-02-26
Post-IPO Equity - TELUS,https://www.crunchbase.com/funding_round/telus-post-ipo-equity--3b5c1137,TELUS,https://www.crunchbase.com/organization/telus,Post-IPO Equity,,,,2016-05-05
Venture Round - LightSand Communications,https://www.crunchbase.com/funding_round/lightsand-communications-series-unknown--66e67866,LightSand Communications,https://www.crunchbase.com/organization/lightsand-communications,Venture - Series Unknown,7000000,USD,7000000,2005-07-13
