Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Linklogis,https://www.crunchbase.com/funding_round/linklogis-series-c--16f3f915,Linklogis,https://www.crunchbase.com/organization/linklogis,Series C,220000000,USD,220000000,2018-10-15
Angel Round - POP IM,https://www.crunchbase.com/funding_round/pop-im-angel--20fa0b7c,POP IM,https://www.crunchbase.com/organization/pop-im,Angel,,,,2018-10-19
Angel Round - Ringle.AI,https://www.crunchbase.com/funding_round/ringle-ai-angel--7653dd5f,Ringle.AI,https://www.crunchbase.com/organization/ringle-ai,Angel,30000000,USD,30000000,2018-09-05
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--967afaf2,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,70000000,USD,70000000,2018-06-06
Series D - Keep,https://www.crunchbase.com/funding_round/keep-3-series-d--5cf0773a,Keep,https://www.crunchbase.com/organization/keep-3,Series D,127000000,USD,127000000,2018-07-10
Seed Round - Taxa,https://www.crunchbase.com/funding_round/taxa-seed--97f6e053,Taxa,https://www.crunchbase.com/organization/taxa,Seed,,,,2018-03-07
Series C - Nongfenqi,https://www.crunchbase.com/funding_round/nongfenqi-series-c--3ff1692e,Nongfenqi,https://www.crunchbase.com/organization/nongfenqi,Series C,,,,2018-04-09
Seed Round - Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/funding_round/cool-math-beijing-tianfutong-education-technology-co-seed--1dc4203d,Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/organization/cool-math-beijing-tianfutong-education-technology-co,Seed,10000000,CNY,1458236,2018-08-20
Series C - SEE Xiaodianpu,https://www.crunchbase.com/funding_round/see-series-c--5d3fb2ee,SEE Xiaodianpu,https://www.crunchbase.com/organization/see,Series C,,,,2018-03-21
Series A - SEE Xiaodianpu,https://www.crunchbase.com/funding_round/see-series-a--efa0f26f,SEE Xiaodianpu,https://www.crunchbase.com/organization/see,Series A,,,,2015-12-01
Series A - LOOK,https://www.crunchbase.com/funding_round/look-series-a--3e212832,LOOK,https://www.crunchbase.com/organization/look,Series A,,,,2018-06-28
Series C - Club Factory,https://www.crunchbase.com/funding_round/club-factory-series-c--a9673b48,Club Factory,https://www.crunchbase.com/organization/club-factory,Series C,100000000,USD,100000000,2018-02-14
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--0e657dce,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,100000000,USD,100000000,2018-02-26
Series A - TONOT,https://www.crunchbase.com/funding_round/tonot-series-a--7eb92c1e,TONOT,https://www.crunchbase.com/organization/tonot,Series A,,,,2018-08-13
Series A - Dotc United Group,https://www.crunchbase.com/funding_round/dotc-united-group-series-a--0b3f9dc5,Dotc United Group,https://www.crunchbase.com/organization/dotc-united-group,Series A,300000000,CNY,44809545,2016-07-19
Series A - Black Lake Technologies,https://www.crunchbase.com/funding_round/blacklake-technologies-series-a--71061994,Black Lake Technologies,https://www.crunchbase.com/organization/blacklake-technologies,Series A,,,,2018-05-07
Series A - Meiliche,https://www.crunchbase.com/funding_round/meiliche-financial-series-a--14811db8,Meiliche,https://www.crunchbase.com/organization/meiliche-financial,Series A,65000000,USD,65000000,2015-01-01
Series A - fxBox,https://www.crunchbase.com/funding_round/fxbox-series-a--d3b650f4,fxBox,https://www.crunchbase.com/organization/fxbox,Series A,,,,2018-02-02
Angel Round - Mogujie,https://www.crunchbase.com/funding_round/mogujie-angel--9fbb3ff8,Mogujie,https://www.crunchbase.com/organization/mogujie,Angel,1000000,USD,1000000,2011-02-01
Series B - Zhai.Me,https://www.crunchbase.com/funding_round/zhai-me-series-b--8639c6de,Zhai.Me,https://www.crunchbase.com/organization/zhai-me,Series B,35000000,USD,35000000,2015-09-15
Series C - YOHO,https://www.crunchbase.com/funding_round/yoho-series-c--6a2367c1,YOHO,https://www.crunchbase.com/organization/yoho,Series C,30000000,USD,30000000,2014-01-22
Series B - Dayima,https://www.crunchbase.com/funding_round/dayima-series-b--d2496158,Dayima,https://www.crunchbase.com/organization/dayima,Series B,10000000,USD,10000000,2013-09-01
Series C - Dayima,https://www.crunchbase.com/funding_round/dayima-series-c--cb0cae1b,Dayima,https://www.crunchbase.com/organization/dayima,Series C,30000000,USD,30000000,2014-06-05
Series A - Chomp Cloud,https://www.crunchbase.com/funding_round/chomp-cloud-series-a--dccbb96d,Chomp Cloud,https://www.crunchbase.com/organization/chomp-cloud,Series A,10000000,USD,10000000,2017-12-22
Series B - Knowbox,https://www.crunchbase.com/funding_round/knowbox-2-series-b--ac2f4194,Knowbox,https://www.crunchbase.com/organization/knowbox-2,Series B,30000000,USD,30000000,2017-10-12
Angel Round - HoloMatic,https://www.crunchbase.com/funding_round/holomatic-angel--1a2040df,HoloMatic,https://www.crunchbase.com/organization/holomatic,Angel,,,,2017-10-13
Series B - Laguo,https://www.crunchbase.com/funding_round/laguo-series-b--82252bab,Laguo,https://www.crunchbase.com/organization/laguo,Series B,25000000,USD,25000000,2014-08-19
Series D - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-d--88ce947d,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series D,65000000,USD,65000000,2016-11-02
Series B - Zack Network,https://www.crunchbase.com/funding_round/zack-network-series-b--a5097983,Zack Network,https://www.crunchbase.com/organization/zack-network,Series B,6000000,USD,6000000,2001-01-08
Series A - Shiyunji,https://www.crunchbase.com/funding_round/shiyunji-series-a--65e30e22,Shiyunji,https://www.crunchbase.com/organization/shiyunji,Series A,,,,2017-08-02
Series C - Keep,https://www.crunchbase.com/funding_round/keep-3-series-c--ae0cb8c8,Keep,https://www.crunchbase.com/organization/keep-3,Series C,32000000,USD,32000000,2016-05-16
Series B - Chunyu Yisheng,https://www.crunchbase.com/funding_round/chunyu-series-b--4e59d4e3,Chunyu Yisheng,https://www.crunchbase.com/organization/chunyu,Series B,8000000,USD,8000000,2013-03-01
Series B - UCloud Information Technology,https://www.crunchbase.com/funding_round/ucloud-information-technology-series-b--3531f602,UCloud Information Technology,https://www.crunchbase.com/organization/ucloud-information-technology,Series B,50000000,USD,50000000,2014-06-17
Series A - Zaihui,https://www.crunchbase.com/funding_round/zaihui-series-a--d5b495fd,Zaihui,https://www.crunchbase.com/organization/zaihui,Series A,,,,2016-06-29
Angel Round - Transfer Course Computer System (Beijing),https://www.crunchbase.com/funding_round/transfer-course-computer-system-beijing-co-ltd-angel--8ee82041,Transfer Course Computer System (Beijing),https://www.crunchbase.com/organization/transfer-course-computer-system-beijing-co-ltd,Angel,,,,2011-12-01
Series B - YOHO,https://www.crunchbase.com/funding_round/yoho-series-b--f7ff7f92,YOHO,https://www.crunchbase.com/organization/yoho,Series B,10000000,USD,10000000,2012-06-01
Series A - Laguo,https://www.crunchbase.com/funding_round/laguo-series-a--c883b69c,Laguo,https://www.crunchbase.com/organization/laguo,Series A,5000000,USD,5000000,2014-04-01
Series A - Uxin,https://www.crunchbase.com/funding_round/uxin-series-a--923922b4,Uxin,https://www.crunchbase.com/organization/uxin,Series A,30000000,USD,30000000,2013-04-19
Series A - Keep,https://www.crunchbase.com/funding_round/keep-3-series-a--bda753a9,Keep,https://www.crunchbase.com/organization/keep-3,Series A,5000000,USD,5000000,2015-04-30
Series B - Nongfenqi,https://www.crunchbase.com/funding_round/nongfenqi-series-b--2527875a,Nongfenqi,https://www.crunchbase.com/organization/nongfenqi,Series B,14000000,USD,14000000,2017-01-05
Series A - Tantan,https://www.crunchbase.com/funding_round/tantan-series-a--3aa707d6,Tantan,https://www.crunchbase.com/organization/tantan,Series A,5000000,USD,5000000,2015-02-02
Series B - CDEL,https://www.crunchbase.com/funding_round/cdel-series-b--26545b94,CDEL,https://www.crunchbase.com/organization/cdel,Series B,,,,2008-05-01
