Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Convertible Note - Stealth BioTherapeutics,https://www.crunchbase.com/funding_round/stealth-biotherapeutics-convertible-note--f6875ade,Stealth BioTherapeutics,https://www.crunchbase.com/organization/stealth-biotherapeutics,Convertible Note,100000000,USD,100000000,2018-06-18
Series D - MicuRx Pharmaceuticals,https://www.crunchbase.com/funding_round/micurx-pharmaceuticals-series-d--2cdd936f,MicuRx Pharmaceuticals,https://www.crunchbase.com/organization/micurx-pharmaceuticals,Series D,100000000,CNY,15106196,2017-12-07
Series A - Cathay Industrial Biotech,https://www.crunchbase.com/funding_round/cathay-industrial-biotech-series-a--da4c8410,Cathay Industrial Biotech,https://www.crunchbase.com/organization/cathay-industrial-biotech,Series A,26000000,USD,26000000,2006-09-11
Series A - DiaCarta,https://www.crunchbase.com/funding_round/diacarta-series-a--745583a9,DiaCarta,https://www.crunchbase.com/organization/diacarta,Series A,8000000,USD,8000000,2015-01-09
Series B - Cathay Industrial Biotech,https://www.crunchbase.com/funding_round/cathay-industrial-biotech-series-b--556df9d7,Cathay Industrial Biotech,https://www.crunchbase.com/organization/cathay-industrial-biotech,Series B,52000000,USD,52000000,2006-12-05
Series A - Souzhou Ribo Life Science,https://www.crunchbase.com/funding_round/souzhou-ribo-life-science-series-a--53b43f4b,Souzhou Ribo Life Science,https://www.crunchbase.com/organization/souzhou-ribo-life-science,Series A,7400000,USD,7400000,2014-01-07
Series A - Jaguar Health,https://www.crunchbase.com/funding_round/jaguar-animal-health-series-a--9cc3d924,Jaguar Health,https://www.crunchbase.com/organization/jaguar-animal-health,Series A,2000000,USD,2000000,2014-02-06
Series C - ASLAN Pharmaceuticals,https://www.crunchbase.com/funding_round/aslan-pharmaceuticals-series-c--b6da51d3,ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,Series C,34000000,USD,34000000,2015-12-07
Series A - CARsgen Therapeutics,https://www.crunchbase.com/funding_round/carsgen-series-a--80204916,CARsgen Therapeutics,https://www.crunchbase.com/organization/carsgen,Series A,,,,2014-11-26
Series B - MicuRx Pharmaceuticals,https://www.crunchbase.com/funding_round/micurx-pharmaceuticals-series-b--c93e3695,MicuRx Pharmaceuticals,https://www.crunchbase.com/organization/micurx-pharmaceuticals,Series B,25000000,USD,25000000,2013-08-22
