Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - MoonX,https://www.crunchbase.com/funding_round/moonx-series-unknown--84e14320,MoonX,https://www.crunchbase.com/organization/moonx,Venture - Series Unknown,29000000,USD,29000000,2018-07-26
Series E - Circle,https://www.crunchbase.com/funding_round/circle-2-series-e--99fa3cee,Circle,https://www.crunchbase.com/organization/circle-2,Series E,110000000,USD,110000000,2018-05-15
Series A - 1000video,https://www.crunchbase.com/funding_round/1000video-series-a--8cf9eae5,1000video,https://www.crunchbase.com/organization/1000video,Series A,14600000,USD,14600000,2018-09-10
Seed Round - PopulStay,https://www.crunchbase.com/funding_round/populstay-seed--3dab4fd4,PopulStay,https://www.crunchbase.com/organization/populstay,Seed,2250000,USD,2250000,2018-07-31
Series A - OB1,https://www.crunchbase.com/funding_round/ob1-series-a--9ec2fe81,OB1,https://www.crunchbase.com/organization/ob1,Series A,5000000,USD,5000000,2018-03-13
Corporate Round - Block.one,https://www.crunchbase.com/funding_round/block-one-corporate-round--4ab419f4,Block.one,https://www.crunchbase.com/organization/block-one,Corporate Round,,,,2018-07-16
Series A - Bizkey,https://www.crunchbase.com/funding_round/bizkey-series-a--61cc7714,Bizkey,https://www.crunchbase.com/organization/bizkey,Series A,,,,2018-08-02
Corporate Round - NULS,https://www.crunchbase.com/funding_round/nuls-corporate-round--d14a1d8f,NULS,https://www.crunchbase.com/organization/nuls,Corporate Round,,,,2018-07-13
Series B - BitKan,https://www.crunchbase.com/funding_round/bitkan-series-b--9672cb7b,BitKan,https://www.crunchbase.com/organization/bitkan,Series B,10000000,USD,10000000,2018-04-04
Venture Round - Lambda,https://www.crunchbase.com/funding_round/lambda-2620-series-unknown--08f3af27,Lambda,https://www.crunchbase.com/organization/lambda-2620,Venture - Series Unknown,,,,2018-08-17
Series A - 8btc.com,https://www.crunchbase.com/funding_round/8btc-com-series-a--4019495a,8btc.com,https://www.crunchbase.com/organization/8btc-com,Series A,16000000,USD,16000000,2018-03-02
Seed Round - TribeOs,https://www.crunchbase.com/funding_round/tribeos-seed--32ee7ba8,TribeOs,https://www.crunchbase.com/organization/tribeos,Seed,3000000,USD,3000000,2018-08-08
Series A - Yours,https://www.crunchbase.com/funding_round/yours-series-a--97036463,Yours,https://www.crunchbase.com/organization/yours,Series A,1500000,USD,1500000,2018-01-15
Corporate Round - DoraHacks,https://www.crunchbase.com/funding_round/dorahacks-corporate-round--a2c52c27,DoraHacks,https://www.crunchbase.com/organization/dorahacks,Corporate Round,,,,2018-07-11
Initial Coin Offering - Path Network,https://www.crunchbase.com/funding_round/path-network-initial-coin-offering--757e5f0d,Path Network,https://www.crunchbase.com/organization/path-network,Initial Coin Offering,,,,2018-05-16
Seed Round - RSK Labs,https://www.crunchbase.com/funding_round/rsk-labs-rootstock-seed--b9ef76e9,RSK Labs,https://www.crunchbase.com/organization/rsk-labs-rootstock,Seed,3500000,USD,3500000,2017-05-22
Seed Round - ChainLab,https://www.crunchbase.com/funding_round/chainlab-seed--a74b5a68,ChainLab,https://www.crunchbase.com/organization/chainlab,Seed,,,,2016-05-27
Equity Crowdfunding - CoolBitX Technology,https://www.crunchbase.com/funding_round/coolbitx-technology-equity-crowdfunding--515955c5,CoolBitX Technology,https://www.crunchbase.com/organization/coolbitx-technology,Equity Crowdfunding,280000,SGD,196403,2017-01-19
Series A - ViaBTC,https://www.crunchbase.com/funding_round/viabtc-series-a--58443cc6,ViaBTC,https://www.crunchbase.com/organization/viabtc,Series A,2900000,USD,2900000,2017-04-05
Seed Round - RSK Labs,https://www.crunchbase.com/funding_round/rsk-labs-rootstock-seed--63238dbc,RSK Labs,https://www.crunchbase.com/organization/rsk-labs-rootstock,Seed,1000000,USD,1000000,2016-03-22
Series A - BitKan,https://www.crunchbase.com/funding_round/bitkan-series-a--03ecdafc,BitKan,https://www.crunchbase.com/organization/bitkan,Series A,1600000,USD,1600000,2016-04-15
Series A - Simplex,https://www.crunchbase.com/funding_round/simplex-3-series-a--01735501,Simplex,https://www.crunchbase.com/organization/simplex-3,Series A,7000000,USD,7000000,2016-02-05
