Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - Cocos Blockchain Expedition (Cocos-BCX),https://www.crunchbase.com/funding_round/cocos-blockchain-expedition-corporate-round--52e62f3e,Cocos Blockchain Expedition (Cocos-BCX),https://www.crunchbase.com/organization/cocos-blockchain-expedition,Corporate Round,40000000,USD,40000000,2018-09-12
Corporate Round - BGOGO,https://www.crunchbase.com/funding_round/bgogo-29b2-corporate-round--3100a9bb,BGOGO,https://www.crunchbase.com/organization/bgogo-29b2,Corporate Round,,,,2018-07-24
Venture Round - Celer Network,https://www.crunchbase.com/funding_round/celer-network-series-unknown--e05b13f1,Celer Network,https://www.crunchbase.com/organization/celer-network,Venture - Series Unknown,,,,2018-07-01
Venture Round - GSENetwork,https://www.crunchbase.com/funding_round/gse-network-series-unknown--62e9ce06,GSENetwork,https://www.crunchbase.com/organization/gse-network,Venture - Series Unknown,,,,2018-06-24
Venture Round - PENTA,https://www.crunchbase.com/funding_round/penta-50e4-series-unknown--08db1190,PENTA,https://www.crunchbase.com/organization/penta-50e4,Venture - Series Unknown,,,,2018-06-16
Venture Round - NKN,https://www.crunchbase.com/funding_round/nkn-series-unknown--ccee10c1,NKN,https://www.crunchbase.com/organization/nkn,Venture - Series Unknown,,,,2018-06-16
Venture Round - Ankr Network,https://www.crunchbase.com/funding_round/ankr-network-series-unknown--d7396faa,Ankr Network,https://www.crunchbase.com/organization/ankr-network,Venture - Series Unknown,7000000,USD,7000000,2018-06-15
Venture Round - FANTOM,https://www.crunchbase.com/funding_round/fantom-ad84-series-unknown--e27329a6,FANTOM,https://www.crunchbase.com/organization/fantom-ad84,Venture - Series Unknown,,,,2018-06-15
Initial Coin Offering - Contentbox,https://www.crunchbase.com/funding_round/contentbox-initial-coin-offering--120c0888,Contentbox,https://www.crunchbase.com/organization/contentbox,Initial Coin Offering,,,,2018-06-01
Venture Round - DATx,https://www.crunchbase.com/funding_round/datx-series-unknown--f6014200,DATx,https://www.crunchbase.com/organization/datx,Venture - Series Unknown,,,,2018-05-20
