Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Moretickets,https://www.crunchbase.com/funding_round/moretickets-series-c--d24a5ebf,Moretickets,https://www.crunchbase.com/organization/moretickets,Series C,60000000,USD,60000000,2018-07-10
Series A - VIPCODE,https://www.crunchbase.com/funding_round/vipcode-series-a--56f78038,VIPCODE,https://www.crunchbase.com/organization/vipcode,Series A,,,,2018-06-01
Series A - ForceClouds,https://www.crunchbase.com/funding_round/forceclouds-series-a--0891bf3d,ForceClouds,https://www.crunchbase.com/organization/forceclouds,Series A,6600000,USD,6600000,2018-03-22
Series B - Yimifudao,https://www.crunchbase.com/funding_round/yimifudao-series-b--39d980cd,Yimifudao,https://www.crunchbase.com/organization/yimifudao,Series B,,,,2018-05-07
Series B - Huilianyi,https://www.crunchbase.com/funding_round/huilianyi-series-b--029b7ff7,Huilianyi,https://www.crunchbase.com/organization/huilianyi,Series B,7900000,USD,7900000,2018-03-06
Series B - Moretickets,https://www.crunchbase.com/funding_round/moretickets-series-b--71d01a6f,Moretickets,https://www.crunchbase.com/organization/moretickets,Series B,15000000,USD,15000000,2017-06-01
Seed Round - Pipifish,https://www.crunchbase.com/funding_round/pipifish-seed--0aecc130,Pipifish,https://www.crunchbase.com/organization/pipifish,Seed,,,,2018-06-11
Seed Round - English Wonderkid,https://www.crunchbase.com/funding_round/english-wonderkid-seed--e5fa29d3,English Wonderkid,https://www.crunchbase.com/organization/english-wonderkid,Seed,,,,2018-04-20
Series A - SIA Education,https://www.crunchbase.com/funding_round/sia-education-series-a--857a52a9,SIA Education,https://www.crunchbase.com/organization/sia-education,Series A,6000000,USD,6000000,2018-01-04
Series A - Youshu.cc,https://www.crunchbase.com/funding_round/youshu-cc-series-a--7d26e808,Youshu.cc,https://www.crunchbase.com/organization/youshu-cc,Series A,12000000,USD,12000000,2017-10-13
Series A - Citybox,https://www.crunchbase.com/funding_round/citybox-series-a--fdc535a7,Citybox,https://www.crunchbase.com/organization/citybox,Series A,15000000,USD,15000000,2017-09-01
Series A - Kuaidian Yuedu,https://www.crunchbase.com/funding_round/kuaidian-yuedu-series-a--e224ab1a,Kuaidian Yuedu,https://www.crunchbase.com/organization/kuaidian-yuedu,Series A,5000000,USD,5000000,2017-09-25
Series A - Momenta,https://www.crunchbase.com/funding_round/momenta-ai-series-a--e4082500,Momenta,https://www.crunchbase.com/organization/momenta-ai,Series A,5000000,USD,5000000,2016-11-14
Series B - Ferris Wheel Ticketing,https://www.crunchbase.com/funding_round/niumowang-ticketing-series-b--b1a9f149,Ferris Wheel Ticketing,https://www.crunchbase.com/organization/niumowang-ticketing,Series B,15000000,USD,15000000,2017-06-12
Series A - Momenta,https://www.crunchbase.com/funding_round/momenta-ai-series-a--3c9c515c,Momenta,https://www.crunchbase.com/organization/momenta-ai,Series A,,,,2017-03-02
Series B - 5miles,https://www.crunchbase.com/funding_round/5miles-series-b--d87c2a9b,5miles,https://www.crunchbase.com/organization/5miles,Series B,30000000,USD,30000000,2016-01-26
