Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Dishangtie Car Rental,https://www.crunchbase.com/funding_round/dishangtie-series-b--b63e2267,Dishangtie Car Rental,https://www.crunchbase.com/organization/dishangtie,Series B,300000000,CNY,43149325,2018-10-29
Series A - Magic Cube,https://www.crunchbase.com/funding_round/magic-cube-b8dd-series-a--24023014,Magic Cube,https://www.crunchbase.com/organization/magic-cube-b8dd,Series A,10000000,USD,10000000,2018-08-29
Series B - Fumi Technology,https://www.crunchbase.com/funding_round/fumi-technology-series-b--4797b500,Fumi Technology,https://www.crunchbase.com/organization/fumi-technology,Series B,200000000,CNY,29531192,2018-07-19
Series B - Webull,https://www.crunchbase.com/funding_round/webull-series-b--1de3d67e,Webull,https://www.crunchbase.com/organization/webull,Series B,,,,2018-07-19
Corporate Round - XGIMI,https://www.crunchbase.com/funding_round/xgimi-corporate-round--832d551f,XGIMI,https://www.crunchbase.com/organization/xgimi,Corporate Round,95000000,USD,95000000,2018-03-12
Series C - TITAN Cloud,https://www.crunchbase.com/funding_round/titan-cloud-series-c--58b0b3b4,TITAN Cloud,https://www.crunchbase.com/organization/titan-cloud,Series C,15000000,USD,15000000,2018-06-27
Series B - Fadada.com,https://www.crunchbase.com/funding_round/fadada-com-series-b--5b8f3a93,Fadada.com,https://www.crunchbase.com/organization/fadada-com,Series B,,,,2018-06-13
Series A - Variety Space,https://www.crunchbase.com/funding_round/variety-space-series-a--407d60a8,Variety Space,https://www.crunchbase.com/organization/variety-space,Series A,7900000,USD,7900000,2018-04-27
Seed Round - Realine Technology,https://www.crunchbase.com/funding_round/realine-technology-seed--23c4b4fa,Realine Technology,https://www.crunchbase.com/organization/realine-technology,Seed,2450000,USD,2450000,2016-06-03
Series A - Shenzhen Lebo Science and Technology,https://www.crunchbase.com/funding_round/shenzhen-lebo-science-and-technology-series-a--78304711,Shenzhen Lebo Science and Technology,https://www.crunchbase.com/organization/shenzhen-lebo-science-and-technology,Series A,9800000,USD,9800000,2017-11-14
Seed Round - New Tranx Information Technology,https://www.crunchbase.com/funding_round/tranx-information-technology-seed--470af8c6,New Tranx Information Technology,https://www.crunchbase.com/organization/tranx-information-technology,Seed,50000000,CNY,7526210,2017-10-30
Seed Round - Naya Health,https://www.crunchbase.com/funding_round/naia-health-seed--a6878d42,Naya Health,https://www.crunchbase.com/organization/naia-health,Seed,3900000,USD,3900000,2016-04-25
Seed Round - TalentSeer,https://www.crunchbase.com/funding_round/talentseer-seed--65151b1c,TalentSeer,https://www.crunchbase.com/organization/talentseer,Seed,500000,USD,500000,2015-11-15
Seed Round - Gopackup,https://www.crunchbase.com/funding_round/gopackup-seed--f9ca788a,Gopackup,https://www.crunchbase.com/organization/gopackup,Seed,500000,USD,500000,2015-11-08
Seed Round - CAKNOW,https://www.crunchbase.com/funding_round/caknow-seed--c0dcdcab,CAKNOW,https://www.crunchbase.com/organization/caknow,Seed,1000000,USD,1000000,2016-05-02
Series B - Fadada.com,https://www.crunchbase.com/funding_round/fadada-com-series-b--da63cada,Fadada.com,https://www.crunchbase.com/organization/fadada-com,Series B,60000000,CNY,8619451,2017-01-03
Seed Round - RobotX Space,https://www.crunchbase.com/funding_round/robotx-space-seed--3ce8fa18,RobotX Space,https://www.crunchbase.com/organization/robotx-space,Seed,1000000,USD,1000000,2016-12-01
