Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Viela Bio,https://www.crunchbase.com/funding_round/viela-bio-series-a--edaf4b66,Viela Bio,https://www.crunchbase.com/organization/viela-bio,Series A,282253240,USD,282253240,2018-02-28
Corporate Round - NetEase Music,https://www.crunchbase.com/funding_round/netease-music-corporate-round--4c87a3c8,NetEase Music,https://www.crunchbase.com/organization/netease-music,Corporate Round,,,,2018-10-12
Series D - KLOOK,https://www.crunchbase.com/funding_round/klook-series-d--6abbda70,KLOOK,https://www.crunchbase.com/organization/klook,Series D,200000000,USD,200000000,2018-08-07
Venture Round - Brii Biosciences,https://www.crunchbase.com/funding_round/brii-biosciences-series-unknown--89906042,Brii Biosciences,https://www.crunchbase.com/organization/brii-biosciences,Venture - Series Unknown,260000000,USD,260000000,2018-05-24
Series B - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-b--a63f5516,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series B,260000000,USD,260000000,2018-05-09
Series A - China Chengxin Credit,https://www.crunchbase.com/funding_round/china-chengxin-credit-series-a--7d69c6c5,China Chengxin Credit,https://www.crunchbase.com/organization/china-chengxin-credit,Series A,450000000,CNY,70437967,2018-05-23
Venture Round - LianLian Pay,https://www.crunchbase.com/funding_round/lianlian-pay-series-unknown--bcb84ca2,LianLian Pay,https://www.crunchbase.com/organization/lianlian-pay,Venture - Series Unknown,1000000000,CNY,146560947,2018-09-03
Series G - iQiyi,https://www.crunchbase.com/funding_round/iqiyi-series-g--26480b24,iQiyi,https://www.crunchbase.com/organization/iqiyi,Series G,1530000000,USD,1530000000,2017-02-21
Series E - Trax,https://www.crunchbase.com/funding_round/traxretail-series-e--2a0a8de0,Trax,https://www.crunchbase.com/organization/traxretail,Series E,125000000,USD,125000000,2018-07-01
Series A - Curon Biopharma,https://www.crunchbase.com/funding_round/curon-biopharma-series-a--824dc1eb,Curon Biopharma,https://www.crunchbase.com/organization/curon-biopharma,Series A,,,,2018-07-30
Series D - Megvii Technology,https://www.crunchbase.com/funding_round/megvii-technology-series-d--4d1f6dbd,Megvii Technology,https://www.crunchbase.com/organization/megvii-technology,Series D,,,,2018-07-24
Series A - LifeMine Therapeutics,https://www.crunchbase.com/funding_round/lifemine-therapeutics-series-a--20cbfd12,LifeMine Therapeutics,https://www.crunchbase.com/organization/lifemine-therapeutics,Series A,55000000,USD,55000000,2017-09-18
Series C - LY.com,https://www.crunchbase.com/funding_round/ly-com-series-c--ca38f99a,LY.com,https://www.crunchbase.com/organization/ly-com,Series C,500000000,CNY,82318876,2014-02-18
Series A - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-a--40bd0b9b,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series A,150000000,USD,150000000,2016-07-03
Venture Round - COFCO,https://www.crunchbase.com/funding_round/cofco-series-unknown--a27e5b49,COFCO,https://www.crunchbase.com/organization/cofco,Venture - Series Unknown,,,,2014-06-06
Private Equity Round - Alibaba Group,https://www.crunchbase.com/funding_round/alibaba-private-equity--2c08abeb,Alibaba Group,https://www.crunchbase.com/organization/alibaba,Private Equity,2000000000,USD,2000000000,2012-09-01
