Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - W&R (Wisdom Reputation),https://www.crunchbase.com/funding_round/w-r-wisdom-reputation-series-a--2ed3d056,W&R (Wisdom Reputation),https://www.crunchbase.com/organization/w-r-wisdom-reputation,Series A,,,,2018-10-18
Series B - TMiRob,https://www.crunchbase.com/funding_round/tmirob-series-b--78f0beea,TMiRob,https://www.crunchbase.com/organization/tmirob,Series B,30000000,USD,30000000,2018-07-17
Series B - Sensingtech,https://www.crunchbase.com/funding_round/sensingtech-series-b--27d7a8d7,Sensingtech,https://www.crunchbase.com/organization/sensingtech,Series B,,,,2018-06-05
Series A - SXL.CN,https://www.crunchbase.com/funding_round/sxl-cn-series-a--1772ee03,SXL.CN,https://www.crunchbase.com/organization/sxl-cn,Series A,10000000,USD,10000000,2018-08-30
Series A - KBP Biosciences,https://www.crunchbase.com/funding_round/kbp-biosciences-series-a--e7beaf65,KBP Biosciences,https://www.crunchbase.com/organization/kbp-biosciences,Series A,76000000,USD,76000000,2018-01-05
Series B - Boray Data,https://www.crunchbase.com/funding_round/boray-data-series-b--a690a5a7,Boray Data,https://www.crunchbase.com/organization/boray-data,Series B,,,,2017-05-19
Series A - Jiahe,https://www.crunchbase.com/funding_round/jiahe-series-a--2e11bfac,Jiahe,https://www.crunchbase.com/organization/jiahe,Series A,,,,2018-07-05
Angel Round - Linkingmed,https://www.crunchbase.com/funding_round/linkingmed-angel--3f988408,Linkingmed,https://www.crunchbase.com/organization/linkingmed,Angel,12000000,CNY,1742765,2016-12-01
Series B - SmartStudy.com,https://www.crunchbase.com/funding_round/smartstudy-com-series-b--cd2d746c,SmartStudy.com,https://www.crunchbase.com/organization/smartstudy-com,Series B,30000000,USD,30000000,2017-10-01
Angel Round - Yixue Education,https://www.crunchbase.com/funding_round/yixue-education-angel--d7e6406d,Yixue Education,https://www.crunchbase.com/organization/yixue-education,Angel,41000000,USD,41000000,2017-11-07
Series A - TianYi Research Institute,https://www.crunchbase.com/funding_round/tianyi-research-institute-series-a--9ec16b9c,TianYi Research Institute,https://www.crunchbase.com/organization/tianyi-research-institute,Series A,100000000,CNY,14525336,2017-04-24
Series C - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-c--11a21b19,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series C,466000000,CNY,67637197,2017-03-31
Series A - Phoenix Finance,https://www.crunchbase.com/funding_round/fengjr-com-series-a--41dcf13a,Phoenix Finance,https://www.crunchbase.com/organization/fengjr-com,Series A,80000000,USD,80000000,2015-12-15
Series C - EasyStack,https://www.crunchbase.com/funding_round/easystack-series-c--5eaa5f59,EasyStack,https://www.crunchbase.com/organization/easystack,Series C,50000000,USD,50000000,2017-01-11
Series B - HanSight,https://www.crunchbase.com/funding_round/hansight-series-b--30807de9,HanSight,https://www.crunchbase.com/organization/hansight,Series B,100000000,CNY,14804504,2017-07-26
