Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Magnet Finance,https://www.crunchbase.com/funding_round/magnetic-finance-series-b--eff97d41,Magnet Finance,https://www.crunchbase.com/organization/magnetic-finance,Series B,120000000,CNY,17281105,2018-10-24
Corporate Round - Dimensional security (kiwisec),https://www.crunchbase.com/funding_round/dimensional-security-kiwisec-corporate-round--ec5c0d30,Dimensional security (kiwisec),https://www.crunchbase.com/organization/dimensional-security-kiwisec,Corporate Round,,,,2018-09-04
Series B - Worktile,https://www.crunchbase.com/funding_round/worktile-series-b--c7f9cee7,Worktile,https://www.crunchbase.com/organization/worktile,Series B,7000000,USD,7000000,2018-08-03
Series B - Kyligence,https://www.crunchbase.com/funding_round/kyligence-series-b--7e360a3b,Kyligence,https://www.crunchbase.com/organization/kyligence,Series B,15000000,USD,15000000,2018-07-06
Series B - BorderX Lab,https://www.crunchbase.com/funding_round/borderx-lab-series-b--3ef5c047,BorderX Lab,https://www.crunchbase.com/organization/borderx-lab,Series B,20000000,USD,20000000,2018-05-10
Series C - Skyroam,https://www.crunchbase.com/funding_round/skyroam-series-c--2965d7ed,Skyroam,https://www.crunchbase.com/organization/skyroam,Series C,20000000,USD,20000000,2018-03-15
Series B - Qingteng Cloud Security,https://www.crunchbase.com/funding_round/qingteng-cloud-security-series-b--b32378e3,Qingteng Cloud Security,https://www.crunchbase.com/organization/qingteng-cloud-security,Series B,32000000,USD,32000000,2018-02-27
Series B - Eqxiu.com,https://www.crunchbase.com/funding_round/eqxiu-com-series-b--8df0e4b6,Eqxiu.com,https://www.crunchbase.com/organization/eqxiu-com,Series B,9900000,USD,9900000,2018-01-22
Series C - Tiebaobei,https://www.crunchbase.com/funding_round/tiebaobei-series-c--8b8e4d36,Tiebaobei,https://www.crunchbase.com/organization/tiebaobei,Series C,50000000,USD,50000000,2017-12-27
Series E - Payoneer,https://www.crunchbase.com/funding_round/payoneer-series-e--3ed2a68e,Payoneer,https://www.crunchbase.com/organization/payoneer,Series E,,,,2017-12-06
Series B - Alauda,https://www.crunchbase.com/funding_round/alauda-series-b--1a63ed97,Alauda,https://www.crunchbase.com/organization/alauda,Series B,15000000,USD,15000000,2017-11-08
Series B - cheche365.com,https://www.crunchbase.com/funding_round/cheche365-com-series-b--38434e9d,cheche365.com,https://www.crunchbase.com/organization/cheche365-com,Series B,30000000,USD,30000000,2017-11-03
Series C - Yitiao,https://www.crunchbase.com/funding_round/yitiao-series-c--c97cec07,Yitiao,https://www.crunchbase.com/organization/yitiao,Series C,40000000,USD,40000000,2017-09-29
Series D - ShopEx,https://www.crunchbase.com/funding_round/shopex-series-d--161a7ba0,ShopEx,https://www.crunchbase.com/organization/shopex,Series D,700000000,CNY,103905357,2017-07-28
Series C - Cloudwise,https://www.crunchbase.com/funding_round/cloudwise-2-series-c--c7885dbc,Cloudwise,https://www.crunchbase.com/organization/cloudwise-2,Series C,26000000,USD,26000000,2017-05-22
Venture Round - Wacai,https://www.crunchbase.com/funding_round/wacai-series-unknown--4d795d9d,Wacai,https://www.crunchbase.com/organization/wacai,Venture - Series Unknown,42000000,USD,42000000,2017-05-15
Series A - Kyligence,https://www.crunchbase.com/funding_round/kyligence-series-a--5ec4fef1,Kyligence,https://www.crunchbase.com/organization/kyligence,Series A,8000000,USD,8000000,2017-04-11
Seed Round - City Home,https://www.crunchbase.com/funding_round/city-home-seed--3ab10d12,City Home,https://www.crunchbase.com/organization/city-home,Seed,2500000,USD,2500000,2017-01-01
Series A - NovuMind,https://www.crunchbase.com/funding_round/novumind-ltd-series-a--b1c34df2,NovuMind,https://www.crunchbase.com/organization/novumind-ltd,Series A,15200000,USD,15200000,2016-12-25
Seed Round - Modelo,https://www.crunchbase.com/funding_round/modelo-seed--71e015e9,Modelo,https://www.crunchbase.com/organization/modelo,Seed,2300000,USD,2300000,2016-11-15
Series B - LinkDoc Technology,https://www.crunchbase.com/funding_round/linkdoc-technology-series-b--f1ea9c45,LinkDoc Technology,https://www.crunchbase.com/organization/linkdoc-technology,Series B,,,,2016-04-05
Series D - Qiniu,https://www.crunchbase.com/funding_round/qiniu-series-d--1ea598d4,Qiniu,https://www.crunchbase.com/organization/qiniu,Series D,100000000,USD,100000000,2016-01-25
Series B - Uber China,https://www.crunchbase.com/funding_round/uber-china-series-b--8f811f90,Uber China,https://www.crunchbase.com/organization/uber-china,Series B,2000000000,USD,2000000000,2016-01-13
Series B - Ping++,https://www.crunchbase.com/funding_round/ping-5-series-b--7d6399e3,Ping++,https://www.crunchbase.com/organization/ping-5,Series B,10000000,USD,10000000,2016-01-12
Series A - Qingteng Cloud Security,https://www.crunchbase.com/funding_round/qingteng-cloud-security-series-a--0d0d55be,Qingteng Cloud Security,https://www.crunchbase.com/organization/qingteng-cloud-security,Series A,9300000,USD,9300000,2015-12-28
Series A - Alauda,https://www.crunchbase.com/funding_round/alauda-series-a--35148616,Alauda,https://www.crunchbase.com/organization/alauda,Series A,,,,2015-10-12
Series D - Crossbar,https://www.crunchbase.com/funding_round/crossbar-series-d--46c1d717,Crossbar,https://www.crunchbase.com/organization/crossbar,Series D,35000000,USD,35000000,2015-09-14
Series B - Skyroam,https://www.crunchbase.com/funding_round/skyroam-series-b--1d1194e6,Skyroam,https://www.crunchbase.com/organization/skyroam,Series B,23500000,USD,23500000,2015-08-05
