Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - SilkChain,https://www.crunchbase.com/funding_round/silkchain-angel--8dcd7156,SilkChain,https://www.crunchbase.com/organization/silkchain,Angel,,,,2018-08-22
Funding Round - Origin Protocol,https://www.crunchbase.com/funding_round/originprotocol-undisclosed--1f40242c,Origin Protocol,https://www.crunchbase.com/organization/originprotocol,Funding Round,6600000,USD,6600000,2018-07-31
Series B - ObEN,https://www.crunchbase.com/funding_round/oben-series-b--dc9d0847,ObEN,https://www.crunchbase.com/organization/oben,Series B,10000000,USD,10000000,2018-01-09
Venture Round - TenX,https://www.crunchbase.com/funding_round/tenx-2-series-unknown--7d03f1c3,TenX,https://www.crunchbase.com/organization/tenx-2,Venture - Series Unknown,44000000,USD,44000000,2017-04-28
Initial Coin Offering - QuarkChain,https://www.crunchbase.com/funding_round/quarkchain-initial-coin-offering--090f83de,QuarkChain,https://www.crunchbase.com/organization/quarkchain,Initial Coin Offering,20000000,USD,20000000,2018-03-30
Venture Round - Layabox,https://www.crunchbase.com/funding_round/layabox-series-unknown--cb6a1377,Layabox,https://www.crunchbase.com/organization/layabox,Venture - Series Unknown,,,,2018-06-20
Venture Round - OTOY,https://www.crunchbase.com/funding_round/otoy-series-unknown--84aaf363,OTOY,https://www.crunchbase.com/organization/otoy,Venture - Series Unknown,,,,2018-01-04
Seed Round - Metaverse,https://www.crunchbase.com/funding_round/metaverse-seed--2db33e4f,Metaverse,https://www.crunchbase.com/organization/metaverse,Seed,,,,2015-11-18
Initial Coin Offering - TenX,https://www.crunchbase.com/funding_round/tenx-2-initial-coin-offering--7baa9099,TenX,https://www.crunchbase.com/organization/tenx-2,Initial Coin Offering,34000000,USD,34000000,2017-06-24
Venture Round - ælf,https://www.crunchbase.com/funding_round/ælf-series-unknown--19c7bf7d,ælf,https://www.crunchbase.com/organization/ælf,Venture - Series Unknown,40000000,USD,40000000,2017-12-04
Seed Round - EMX,https://www.crunchbase.com/funding_round/evermarkets-seed--fbad1540,EMX,https://www.crunchbase.com/organization/evermarkets,Seed,,,,2018-01-10
Venture Round - PERLIN,https://www.crunchbase.com/funding_round/perlin-series-unknown--263e5722,PERLIN,https://www.crunchbase.com/organization/perlin,Venture - Series Unknown,,,,2018-06-25
Funding Round - Bluzelle,https://www.crunchbase.com/funding_round/bluzelle-networks-undisclosed--5f3de59c,Bluzelle,https://www.crunchbase.com/organization/bluzelle-networks,Funding Round,,,,2018-01-18
Initial Coin Offering - Kyber Network,https://www.crunchbase.com/funding_round/kyber-network-initial-coin-offering--3ef235fc,Kyber Network,https://www.crunchbase.com/organization/kyber-network,Initial Coin Offering,46000000,USD,46000000,2017-09-15
Venture Round - Celer Network,https://www.crunchbase.com/funding_round/celer-network-series-unknown--aedddab3,Celer Network,https://www.crunchbase.com/organization/celer-network,Venture - Series Unknown,,,,2018-07-01
Venture Round - OmiseGO,https://www.crunchbase.com/funding_round/omisego-series-unknown--e01fc487,OmiseGO,https://www.crunchbase.com/organization/omisego,Venture - Series Unknown,25000000,USD,25000000,2017-04-30
Seed Round - NEO,https://www.crunchbase.com/funding_round/neo-seed--8a8b7eab,NEO,https://www.crunchbase.com/organization/neo,Seed,,,,2014-06-28
Seed Round - PENTA,https://www.crunchbase.com/funding_round/penta-50e4-seed--d3de5a09,PENTA,https://www.crunchbase.com/organization/penta-50e4,Seed,,,,2018-01-26
Initial Coin Offering - Digix,https://www.crunchbase.com/funding_round/digix-global-initial-coin-offering--73cfffc2,Digix,https://www.crunchbase.com/organization/digix-global,Initial Coin Offering,5500000,USD,5500000,2016-03-29
