Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - WekaIO,https://www.crunchbase.com/funding_round/weka-io-series-b--7c82f223,WekaIO,https://www.crunchbase.com/organization/weka-io,Series B,32000000,USD,32000000,2016-06-07
Angel Round - Waffles,https://www.crunchbase.com/funding_round/waffles-share-your-life-moments-in-short-videos-angel--e81c5f2c,Waffles,https://www.crunchbase.com/organization/waffles-share-your-life-moments-in-short-videos,Angel,1300000,USD,1300000,2015-10-10
Series A - 91App,https://www.crunchbase.com/funding_round/91app-series-a--e5b37ac8,91App,https://www.crunchbase.com/organization/91app,Series A,9000000,USD,9000000,2015-03-24
Venture Round - KargoCard,https://www.crunchbase.com/funding_round/kargocard-series-unknown--b5b8d706,KargoCard,https://www.crunchbase.com/organization/kargocard,Venture - Series Unknown,6000000,USD,6000000,2015-03-23
Seed Round - Pamily,https://www.crunchbase.com/funding_round/mobiusbobs-inc-seed--53ef1109,Pamily,https://www.crunchbase.com/organization/mobiusbobs-inc,Seed,500000,USD,500000,2014-07-31
Venture Round - VeriSilicon Holdings,https://www.crunchbase.com/funding_round/verisilicon-holdings-series-unknown--483b4f36,VeriSilicon Holdings,https://www.crunchbase.com/organization/verisilicon-holdings,Venture - Series Unknown,22255990,USD,22255990,2014-07-02
Venture Round - KargoCard,https://www.crunchbase.com/funding_round/kargocard-series-unknown--c69aba19,KargoCard,https://www.crunchbase.com/organization/kargocard,Venture - Series Unknown,10300000,USD,10300000,2014-05-20
Seed Round - Pamily,https://www.crunchbase.com/funding_round/mobiusbobs-inc-seed--6ee718f2,Pamily,https://www.crunchbase.com/organization/mobiusbobs-inc,Seed,100000,USD,100000,2014-01-01
Series E - Zenverge,https://www.crunchbase.com/funding_round/zenverge-series-e--65e830c1,Zenverge,https://www.crunchbase.com/organization/zenverge,Series E,11000000,USD,11000000,2013-12-10
Series F - SiTime,https://www.crunchbase.com/funding_round/sitime-series-f--479b7bb4,SiTime,https://www.crunchbase.com/organization/sitime,Series F,,,,2013-11-04
Series A - PubGame,https://www.crunchbase.com/funding_round/pubgame-series-a--48bd90f9,PubGame,https://www.crunchbase.com/organization/pubgame,Series A,5000000,USD,5000000,2013-07-01
Series E - OOYALA,https://www.crunchbase.com/funding_round/ooyala-series-e--b87b3588,OOYALA,https://www.crunchbase.com/organization/ooyala,Series E,35000000,USD,35000000,2012-06-18
Venture Round - KargoCard,https://www.crunchbase.com/funding_round/kargocard-series-unknown--d0396c4c,KargoCard,https://www.crunchbase.com/organization/kargocard,Venture - Series Unknown,6200000,USD,6200000,2012-03-01
Series D - Zenverge,https://www.crunchbase.com/funding_round/zenverge-series-d--3d4888ea,Zenverge,https://www.crunchbase.com/organization/zenverge,Series D,20500000,USD,20500000,2011-09-15
Series C - CrownBio,https://www.crunchbase.com/funding_round/crownbio-series-c--1daab5f1,CrownBio,https://www.crunchbase.com/organization/crownbio,Series C,28800000,USD,28800000,2011-05-04
Series D - OOYALA,https://www.crunchbase.com/funding_round/ooyala-series-d--179eac9c,OOYALA,https://www.crunchbase.com/organization/ooyala,Series D,24000000,USD,24000000,2010-09-09
Venture Round - DigiwinSoft,https://www.crunchbase.com/funding_round/digiwinsoft-series-unknown--5345bfc6,DigiwinSoft,https://www.crunchbase.com/organization/digiwinsoft,Venture - Series Unknown,10000000,USD,10000000,2010-09-01
Series B - Scale Computing,https://www.crunchbase.com/funding_round/scale-computing-series-b--ed45ab3a,Scale Computing,https://www.crunchbase.com/organization/scale-computing,Series B,9000000,USD,9000000,2010-03-02
Series A - Scale Computing,https://www.crunchbase.com/funding_round/scale-computing-series-a--1b394d2b,Scale Computing,https://www.crunchbase.com/organization/scale-computing,Series A,3000000,USD,3000000,2009-05-29
Series C - TZero Technologies,https://www.crunchbase.com/funding_round/tzero-technologies-series-c--91af482f,TZero Technologies,https://www.crunchbase.com/organization/tzero-technologies,Series C,18000000,USD,18000000,2008-03-03
Series B - 56.com,https://www.crunchbase.com/funding_round/56-com-series-b--7cdd0b94,56.com,https://www.crunchbase.com/organization/56-com,Series B,20000000,USD,20000000,2007-12-01
Series D - VeriSilicon Holdings,https://www.crunchbase.com/funding_round/verisilicon-holdings-series-d--5de51fcd,VeriSilicon Holdings,https://www.crunchbase.com/organization/verisilicon-holdings,Series D,20000000,USD,20000000,2007-11-06
Series C - Ambow Education,https://www.crunchbase.com/funding_round/ambow-education-series-c--eb1d75d4,Ambow Education,https://www.crunchbase.com/organization/ambow-education,Series C,54000000,USD,54000000,2007-10-10
Series A - ALO7 Technology,https://www.crunchbase.com/funding_round/alo7-technology-series-a--8cf2224b,ALO7 Technology,https://www.crunchbase.com/organization/alo7-technology,Series A,8199999,USD,8199999,2007-01-01
Series B - Paragon Wireless,https://www.crunchbase.com/funding_round/paragon-wireless-series-b--3e8e8ee4,Paragon Wireless,https://www.crunchbase.com/organization/paragon-wireless,Series B,7000000,USD,7000000,2005-11-30
Series A - SPS Commerce,https://www.crunchbase.com/funding_round/sps-commerce-series-a--c8473646,SPS Commerce,https://www.crunchbase.com/organization/sps-commerce,Series A,,,,2002-11-14
