Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-b--a63f5516,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series B,260000000,USD,260000000,2018-05-09
Series A - Terminus Technologies,https://www.crunchbase.com/funding_round/terminus-technologies-co-series-a--f96eb3a0,Terminus Technologies,https://www.crunchbase.com/organization/terminus-technologies-co,Series A,500000000,CNY,73516708,2017-07-05
Series E - 17zuoye,https://www.crunchbase.com/funding_round/17zuoye-series-e--04f07328,17zuoye,https://www.crunchbase.com/organization/17zuoye,Series E,250000000,USD,250000000,2018-03-21
Corporate Round - Deerma,https://www.crunchbase.com/funding_round/deerma-corporate-round--63e9fc43,Deerma,https://www.crunchbase.com/organization/deerma,Corporate Round,,,,2018-06-25
Angel Round - Jiaanpei.com,https://www.crunchbase.com/funding_round/jiaanpei-com-angel--1b32f9b2,Jiaanpei.com,https://www.crunchbase.com/organization/jiaanpei-com,Angel,60000000,USD,60000000,2017-12-21
Series A - Happigo.com,https://www.crunchbase.com/funding_round/happigo-com-series-a--1fbf4d64,Happigo.com,https://www.crunchbase.com/organization/happigo-com,Series A,300000000,CNY,43943070,2010-04-01
Series E - ELEME,https://www.crunchbase.com/funding_round/ele-me-series-e--51854e20,ELEME,https://www.crunchbase.com/organization/ele-me,Series E,350000000,USD,350000000,2015-01-27
Series C - Cheyipai,https://www.crunchbase.com/funding_round/cheyipai-series-c--d21db7fb,Cheyipai,https://www.crunchbase.com/organization/cheyipai,Series C,50000000,USD,50000000,2014-02-01
Series C - ofo,https://www.crunchbase.com/funding_round/ofo-series-c--97c18b20,ofo,https://www.crunchbase.com/organization/ofo,Series C,130000000,USD,130000000,2016-10-10
Series E - ofo,https://www.crunchbase.com/funding_round/ofo-series-e--bf9f9336,ofo,https://www.crunchbase.com/organization/ofo,Series E,700000000,USD,700000000,2017-07-05
Series E - FXiaoKe,https://www.crunchbase.com/funding_round/fxiaoke-com-series-e--2d5a7f88,FXiaoKe,https://www.crunchbase.com/organization/fxiaoke-com,Series E,,,,2016-03-07
Series C - China UnionPay Merchant Services,https://www.crunchbase.com/funding_round/shanghai-unionpay-merchant-services-co-ltd-series-c--124fa61c,China UnionPay Merchant Services,https://www.crunchbase.com/organization/shanghai-unionpay-merchant-services-co-ltd,Series C,,,,2009-11-01
Series D - ofo,https://www.crunchbase.com/funding_round/ofo-series-d--9f4c333f,ofo,https://www.crunchbase.com/organization/ofo,Series D,450000000,USD,450000000,2017-03-01
Series F - VANCL,https://www.crunchbase.com/funding_round/vancl-series-f--46828541,VANCL,https://www.crunchbase.com/organization/vancl,Series F,230000000,USD,230000000,2011-07-01
Series B - Green A,https://www.crunchbase.com/funding_round/green-a-series-b--ff0f03c0,Green A,https://www.crunchbase.com/organization/green-a,Series B,100000000,CNY,15671181,2011-09-01
Venture Round - New China Life Insurance,https://www.crunchbase.com/funding_round/new-china-life-insurance-co-ltd-series-unknown--13fd555c,New China Life Insurance,https://www.crunchbase.com/organization/new-china-life-insurance-co-ltd,Venture - Series Unknown,,,,2011-06-01
