Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series F - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-f--a4ecb7e8,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series F,300000000,USD,300000000,2018-10-10
Series A - Yipin Fresh,https://www.crunchbase.com/funding_round/yipin-fresh-series-a--e60cfb9a,Yipin Fresh,https://www.crunchbase.com/organization/yipin-fresh,Series A,,,,2018-08-23
Series A - Ubras,https://www.crunchbase.com/funding_round/ubras-series-a--95b62d61,Ubras,https://www.crunchbase.com/organization/ubras,Series A,50000000,CNY,7303001,2018-08-21
Series E - Zhihu,https://www.crunchbase.com/funding_round/zhihu-series-e--c10f62c6,Zhihu,https://www.crunchbase.com/organization/zhihu,Series E,270000000,USD,270000000,2018-07-19
Series A - Wozaijia.com,https://www.crunchbase.com/funding_round/wozaijia-com-series-a--5201b998,Wozaijia.com,https://www.crunchbase.com/organization/wozaijia-com,Series A,,,,2018-05-30
Series A - Onecup,https://www.crunchbase.com/funding_round/onecup-series-a--269ea7da,Onecup,https://www.crunchbase.com/organization/onecup,Series A,,,,2018-05-24
Series C - Chehaoduo,https://www.crunchbase.com/funding_round/guazi-com-series-c--37e3517e,Chehaoduo,https://www.crunchbase.com/organization/guazi-com,Series C,818000000,USD,818000000,2018-03-01
Series D - Mafengwo,https://www.crunchbase.com/funding_round/mafengwo-series-d--c0b123df,Mafengwo,https://www.crunchbase.com/organization/mafengwo,Series D,133000000,USD,133000000,2017-12-12
Series E - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-e--482961f8,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series E,120000000,USD,120000000,2017-11-01
Series B - Chehaoduo,https://www.crunchbase.com/funding_round/guazi-com-series-b--f78f789a,Chehaoduo,https://www.crunchbase.com/organization/guazi-com,Series B,180000000,USD,180000000,2017-10-31
Series A - A1Food,https://www.crunchbase.com/funding_round/a1food-series-a--e17a521d,A1Food,https://www.crunchbase.com/organization/a1food,Series A,,,,2017-10-30
Series A - Wozaijia.com,https://www.crunchbase.com/funding_round/wozaijia-com-series-a--6646ad01,Wozaijia.com,https://www.crunchbase.com/organization/wozaijia-com,Series A,5000000,USD,5000000,2017-08-30
Series D - Zhihu,https://www.crunchbase.com/funding_round/zhihu-series-d--5a87f205,Zhihu,https://www.crunchbase.com/organization/zhihu,Series D,100000000,USD,100000000,2017-01-11
Series D - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-d--88ce947d,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series D,65000000,USD,65000000,2016-11-02
Series C - Bosszhipin,https://www.crunchbase.com/funding_round/bosszhipin-series-c--6ab0a810,Bosszhipin,https://www.crunchbase.com/organization/bosszhipin,Series C,28000000,USD,28000000,2016-09-22
Series D - BeiBei,https://www.crunchbase.com/funding_round/beibei-series-d--c5eeebce,BeiBei,https://www.crunchbase.com/organization/beibei,Series D,100000000,USD,100000000,2016-06-17
Series A - Meituan-Dianping,https://www.crunchbase.com/funding_round/dianping-series-a--b2083d77,Meituan-Dianping,https://www.crunchbase.com/organization/dianping,Series A,3300000000,USD,3300000000,2016-01-18
Series C - BeiBei,https://www.crunchbase.com/funding_round/beibei-series-c--918fc1b4,BeiBei,https://www.crunchbase.com/organization/beibei,Series C,100000000,USD,100000000,2015-01-23
Series B - Daling,https://www.crunchbase.com/funding_round/daling-series-b--b84ff5dc,Daling,https://www.crunchbase.com/organization/daling,Series B,,,,2014-12-15
Series B - Thatgamecompany,https://www.crunchbase.com/funding_round/thatgamecompany-series-b--d62e24b3,Thatgamecompany,https://www.crunchbase.com/organization/thatgamecompany,Series B,7300000,USD,7300000,2014-05-27
Series C - Three Squirrels,https://www.crunchbase.com/funding_round/three-squirrels-e-commerce-series-c--5fc66913,Three Squirrels,https://www.crunchbase.com/organization/three-squirrels-e-commerce,Series C,120000000,CNY,19536165,2014-03-01
Series B - Three Squirrels,https://www.crunchbase.com/funding_round/three-squirrels-e-commerce-series-b--81dc584b,Three Squirrels,https://www.crunchbase.com/organization/three-squirrels-e-commerce,Series B,6170000,USD,6170000,2013-05-01
