Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Weimai,https://www.crunchbase.com/funding_round/weimai-series-b--ea4614b5,Weimai,https://www.crunchbase.com/organization/weimai,Series B,30000000,USD,30000000,2018-09-13
Series C - Aohua,https://www.crunchbase.com/funding_round/aohua-series-c--e4e37a23,Aohua,https://www.crunchbase.com/organization/aohua,Series C,200000000,CNY,30798797,2016-01-01
Series A - Aohua,https://www.crunchbase.com/funding_round/aohua-series-a--4e258ecc,Aohua,https://www.crunchbase.com/organization/aohua,Series A,,,,2013-01-01
Venture Round - Virtus Medical Holdings,https://www.crunchbase.com/funding_round/virtus-medical-holdings-series-unknown--c079569c,Virtus Medical Holdings,https://www.crunchbase.com/organization/virtus-medical-holdings,Venture - Series Unknown,83000000,USD,83000000,2018-03-02
Series A - Etong Healthcare,https://www.crunchbase.com/funding_round/etong-healthcare-series-a--21eb4e69,Etong Healthcare,https://www.crunchbase.com/organization/etong-healthcare,Series A,,,,2015-01-01
Series B - Vivace Therapeutics,https://www.crunchbase.com/funding_round/vivace-therapeutics-series-b--e7b038a2,Vivace Therapeutics,https://www.crunchbase.com/organization/vivace-therapeutics,Series B,25000000,USD,25000000,2017-06-28
Series A - IMPACT Therapeutics,https://www.crunchbase.com/funding_round/impact-therapeutics-series-a--37ad6e62,IMPACT Therapeutics,https://www.crunchbase.com/organization/impact-therapeutics,Series A,,,,2014-07-07
Series C - ASLAN Pharmaceuticals,https://www.crunchbase.com/funding_round/aslan-pharmaceuticals-series-c--b6da51d3,ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,Series C,34000000,USD,34000000,2015-12-07
Series B - LinkDoc Technology,https://www.crunchbase.com/funding_round/linkdoc-technology-series-b--f1ea9c45,LinkDoc Technology,https://www.crunchbase.com/organization/linkdoc-technology,Series B,,,,2016-04-05
Series B - ASLAN Pharmaceuticals,https://www.crunchbase.com/funding_round/aslan-pharmaceuticals-series-b--7e3497fe,ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,Series B,22000000,USD,22000000,2013-10-10
