Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Robby Technologies,https://www.crunchbase.com/funding_round/robby-technologies-seed--1d337b36,Robby Technologies,https://www.crunchbase.com/organization/robby-technologies,Seed,3200000,USD,3200000,2018-09-20
Series A - Win-Win Group,https://www.crunchbase.com/funding_round/win-win-group-series-a--79165c6a,Win-Win Group,https://www.crunchbase.com/organization/win-win-group,Series A,3100000,USD,3100000,2018-01-25
Series A - Less&More,https://www.crunchbase.com/funding_round/less-more-series-a--f2b27601,Less&More,https://www.crunchbase.com/organization/less-more,Series A,,,,2018-03-12
Series B - Codemao,https://www.crunchbase.com/funding_round/codemao-series-b--7d9be61c,Codemao,https://www.crunchbase.com/organization/codemao,Series B,18000000,USD,18000000,2017-11-18
"Venture Round - Markable, Inc.",https://www.crunchbase.com/funding_round/markable-series-unknown--983b5430,"Markable, Inc.",https://www.crunchbase.com/organization/markable,Venture - Series Unknown,1900000,USD,1900000,2016-07-28
Series B - Nanigans,https://www.crunchbase.com/funding_round/nanigans-series-b--3c34a8c2,Nanigans,https://www.crunchbase.com/organization/nanigans,Series B,24000000,USD,24000000,2015-03-25
Series A - GOQii,https://www.crunchbase.com/funding_round/goqii-series-a--208a0898,GOQii,https://www.crunchbase.com/organization/goqii,Series A,13400000,USD,13400000,2015-11-26
Series C - TikTok,https://www.crunchbase.com/funding_round/musical-ly-series-c--e2c0d4b3,TikTok,https://www.crunchbase.com/organization/musical-ly,Series C,130000000,USD,130000000,2016-05-13
Series B - Kika Tech,https://www.crunchbase.com/funding_round/kika-tech-series-b--01861f4a,Kika Tech,https://www.crunchbase.com/organization/kika-tech,Series B,33000000,USD,33000000,2016-07-14
Venture Round - Live.me,https://www.crunchbase.com/funding_round/live-me-series-unknown--ca6a9991,Live.me,https://www.crunchbase.com/organization/live-me,Venture - Series Unknown,60000000,USD,60000000,2017-05-01
Series B - Blue Whale Media,https://www.crunchbase.com/funding_round/blue-whale-media-series-b--a1a5d654,Blue Whale Media,https://www.crunchbase.com/organization/blue-whale-media,Series B,15000000,USD,15000000,2016-06-29
Series B - TikTok,https://www.crunchbase.com/funding_round/musical-ly-series-b--ab42736c,TikTok,https://www.crunchbase.com/organization/musical-ly,Series B,16600000,USD,16600000,2015-08-27
