Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - iChangtou.com,https://www.crunchbase.com/funding_round/ichangtou-com-series-a--c8e1ae42,iChangtou.com,https://www.crunchbase.com/organization/ichangtou-com,Series A,,,,2018-09-05
Series C - Baibu,https://www.crunchbase.com/funding_round/baibu-series-c--2345a331,Baibu,https://www.crunchbase.com/organization/baibu,Series C,30000000,USD,30000000,2018-08-29
Series A - Bullet Messenger,https://www.crunchbase.com/funding_round/bullet-messager-series-a--bf38681b,Bullet Messenger,https://www.crunchbase.com/organization/bullet-messager,Series A,150000000,CNY,22044883,2018-08-28
Series B - TOT BIOPHARM,https://www.crunchbase.com/funding_round/tot-biopharm-series-b--8a6cd1ee,TOT BIOPHARM,https://www.crunchbase.com/organization/tot-biopharm,Series B,102000000,USD,102000000,2018-08-08
Series B - Pidan Studio,https://www.crunchbase.com/funding_round/pidan-studio-series-b--103057ea,Pidan Studio,https://www.crunchbase.com/organization/pidan-studio,Series B,60000000,CNY,8832426,2018-07-26
Angel Round - Chuangxinqizhi,https://www.crunchbase.com/funding_round/chuangxinqizhi-angel--4a95c981,Chuangxinqizhi,https://www.crunchbase.com/organization/chuangxinqizhi,Angel,15700000,USD,15700000,2018-05-23
Series A - Seniverse,https://www.crunchbase.com/funding_round/seniverse-series-a--7a45367c,Seniverse,https://www.crunchbase.com/organization/seniverse,Series A,,,,2018-04-25
Series C - SiFive,https://www.crunchbase.com/funding_round/sifive-series-c--dbf02021,SiFive,https://www.crunchbase.com/organization/sifive,Series C,50600000,USD,50600000,2018-04-02
Series D - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-d--f75956ab,Hellobike,https://www.crunchbase.com/organization/hellobike,Series D,1000000000,USD,1000000000,2017-12-27
Series B - Huishoubao,https://www.crunchbase.com/funding_round/huishoubao-series-b--151dcec5,Huishoubao,https://www.crunchbase.com/organization/huishoubao,Series B,45000000,USD,45000000,2017-10-10
Series B - Baibu,https://www.crunchbase.com/funding_round/baibu-series-b--de9cbf44,Baibu,https://www.crunchbase.com/organization/baibu,Series B,165000000,CNY,24826750,2017-08-10
Series B - Ruigu,https://www.crunchbase.com/funding_round/ruigu-series-b--61706e81,Ruigu,https://www.crunchbase.com/organization/ruigu,Series B,100000000,CNY,14504306,2017-05-15
Series B - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-b--1daf393c,Hellobike,https://www.crunchbase.com/organization/hellobike,Series B,,,,2017-04-17
Series B - Xiaoyu Link,https://www.crunchbase.com/funding_round/xiaoyu-link-series-b--b6dd0c35,Xiaoyu Link,https://www.crunchbase.com/organization/xiaoyu-link,Series B,18000000,USD,18000000,2017-03-22
Series B - Xin Xi Bao,https://www.crunchbase.com/funding_round/xin-xi-bao-series-b--7f7a1fd4,Xin Xi Bao,https://www.crunchbase.com/organization/xin-xi-bao,Series B,,,,2017-03-07
Series B - Sense.ly,https://www.crunchbase.com/funding_round/sense-ly-series-b--e1ea85ee,Sense.ly,https://www.crunchbase.com/organization/sense-ly,Series B,8000000,USD,8000000,2017-02-14
Series B - uban,https://www.crunchbase.com/funding_round/uban-series-b--f0801e3f,uban,https://www.crunchbase.com/organization/uban,Series B,30000000,USD,30000000,2016-11-17
Series B - A.I. Nemo,https://www.crunchbase.com/funding_round/ainemo-series-b--4145523c,A.I. Nemo,https://www.crunchbase.com/organization/ainemo,Series B,10000000,USD,10000000,2016-09-28
Series B - oTMS,https://www.crunchbase.com/funding_round/otms-series-b--4dd4b222,oTMS,https://www.crunchbase.com/organization/otms,Series B,25000000,USD,25000000,2016-09-13
Series A - Dotc United Group,https://www.crunchbase.com/funding_round/dotc-united-group-series-a--0b3f9dc5,Dotc United Group,https://www.crunchbase.com/organization/dotc-united-group,Series A,300000000,CNY,44809545,2016-07-19
Series B - Baibu,https://www.crunchbase.com/funding_round/baibu-series-b--9e726c8e,Baibu,https://www.crunchbase.com/organization/baibu,Series B,,,,2016-07-04
Series A - Huishoubao,https://www.crunchbase.com/funding_round/huishoubao-series-a--ced6bdcf,Huishoubao,https://www.crunchbase.com/organization/huishoubao,Series A,15000000,USD,15000000,2016-05-31
Series B - APUS Group,https://www.crunchbase.com/funding_round/apus-series-b--ebd4e422,APUS Group,https://www.crunchbase.com/organization/apus,Series B,100000000,USD,100000000,2015-01-20
Series A - XAircraft,https://www.crunchbase.com/funding_round/xaircraft-series-a--9ae06330,XAircraft,https://www.crunchbase.com/organization/xaircraft,Series A,20000000,USD,20000000,2014-09-01
Series B - Light Chaser Animation,https://www.crunchbase.com/funding_round/light-chaser-animation-series-b--06844d93,Light Chaser Animation,https://www.crunchbase.com/organization/light-chaser-animation,Series B,20000000,USD,20000000,2014-06-20
Series B - Novasentis,https://www.crunchbase.com/funding_round/novasentis-series-b--3b90f1c1,Novasentis,https://www.crunchbase.com/organization/novasentis,Series B,10412177,USD,10412177,2014-06-18
Series C - Polyera,https://www.crunchbase.com/funding_round/polyera-series-c--6f15dbbd,Polyera,https://www.crunchbase.com/organization/polyera,Series C,24500000,USD,24500000,2012-04-05
