Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Beam,https://www.crunchbase.com/funding_round/apac-escooters-beam-seed--445b77b3,Beam,https://www.crunchbase.com/organization/apac-escooters-beam,Seed,6400000,USD,6400000,2018-10-23
Series A - Bungalow,https://www.crunchbase.com/funding_round/bungalow-series-a--2fc8ad35,Bungalow,https://www.crunchbase.com/organization/bungalow,Series A,14000000,USD,14000000,2018-08-23
Series A - Shixianghui,https://www.crunchbase.com/funding_round/shixianghui-series-a--3e98dff2,Shixianghui,https://www.crunchbase.com/organization/shixianghui,Series A,14600000,USD,14600000,2018-08-22
Seed Round - POINTS,https://www.crunchbase.com/funding_round/points-80a4-seed--5a246fc3,POINTS,https://www.crunchbase.com/organization/points-80a4,Seed,8000000,USD,8000000,2018-07-20
Series A - ChaoEX,https://www.crunchbase.com/funding_round/chaoex-series-a--2a7a0e5f,ChaoEX,https://www.crunchbase.com/organization/chaoex,Series A,,,,2018-06-25
Seed Round - EOT,https://www.crunchbase.com/funding_round/eon-foundation-seed--48fd97dd,EOT,https://www.crunchbase.com/organization/eon-foundation,Seed,5000000,USD,5000000,2018-06-07
Series A - China Chengxin Credit,https://www.crunchbase.com/funding_round/china-chengxin-credit-series-a--7d69c6c5,China Chengxin Credit,https://www.crunchbase.com/organization/china-chengxin-credit,Series A,450000000,CNY,70437967,2018-05-23
Seed Round - melo,https://www.crunchbase.com/funding_round/melo-seed--ee539434,melo,https://www.crunchbase.com/organization/melo,Seed,1200000,USD,1200000,2018-02-01
Series A - Citiesocial,https://www.crunchbase.com/funding_round/citiesocial-series-a--193f2742,Citiesocial,https://www.crunchbase.com/organization/citiesocial,Series A,2750000,USD,2750000,2018-01-08
Seed Round - Trailerpop,https://www.crunchbase.com/funding_round/trailerpop-seed--735ee2e8,Trailerpop,https://www.crunchbase.com/organization/trailerpop,Seed,,,,2017-12-28
Seed Round - Tribalist,https://www.crunchbase.com/funding_round/tribalist-seed--31d3db8e,Tribalist,https://www.crunchbase.com/organization/tribalist,Seed,2100000,USD,2100000,2017-12-20
Seed Round - Persista,https://www.crunchbase.com/funding_round/persista-seed--d66e1686,Persista,https://www.crunchbase.com/organization/persista,Seed,,,,2017-12-05
Seed Round - HowLiving,https://www.crunchbase.com/funding_round/howliving-seed--679d77dc,HowLiving,https://www.crunchbase.com/organization/howliving,Seed,4000000,USD,4000000,2017-11-15
Seed Round - Hims,https://www.crunchbase.com/funding_round/hims-seed--70685421,Hims,https://www.crunchbase.com/organization/hims,Seed,,,,2017-11-01
Series A - fxBox,https://www.crunchbase.com/funding_round/fxbox-series-a--b68a4c8b,fxBox,https://www.crunchbase.com/organization/fxbox,Series A,,,,2017-10-26
Seed Round - ISEE,https://www.crunchbase.com/funding_round/isee-c0f5-seed--21ef34cc,ISEE,https://www.crunchbase.com/organization/isee-c0f5,Seed,,,,2017-10-01
Series C - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-c--dc2d8875,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series C,100000000,USD,100000000,2017-07-26
Series A - Stratifyd,https://www.crunchbase.com/funding_round/stratifyd-series-a--b38c7ab5,Stratifyd,https://www.crunchbase.com/organization/stratifyd,Series A,6800000,USD,6800000,2017-07-11
Seed Round - Perpetua Labs,https://www.crunchbase.com/funding_round/perpetua-labs-seed--989d8eca,Perpetua Labs,https://www.crunchbase.com/organization/perpetua-labs,Seed,,,,2017-06-01
Seed Round - Elliot Technologies,https://www.crunchbase.com/funding_round/elliot-technologies-seed--eda6a082,Elliot Technologies,https://www.crunchbase.com/organization/elliot-technologies,Seed,,,,2017-06-01
Seed Round - Shipamax,https://www.crunchbase.com/funding_round/shipamax-seed--ba1a7e7e,Shipamax,https://www.crunchbase.com/organization/shipamax,Seed,2500000,USD,2500000,2017-05-22
Seed Round - Materialist,https://www.crunchbase.com/funding_round/materialist-seed--8cbc401e,Materialist,https://www.crunchbase.com/organization/materialist,Seed,,,,2017-05-01
Convertible Note - Velocious Technologies,https://www.crunchbase.com/funding_round/velocious-technologies-convertible-note--98e2d7ee,Velocious Technologies,https://www.crunchbase.com/organization/velocious-technologies,Convertible Note,2000000,USD,2000000,2017-04-17
Seed Round - Emoticast,https://www.crunchbase.com/funding_round/emoticast-2-seed--57fb043e,Emoticast,https://www.crunchbase.com/organization/emoticast-2,Seed,5000000,USD,5000000,2017-03-29
Venture Round - Diamond,https://www.crunchbase.com/funding_round/diamond-2-series-unknown--774a29b9,Diamond,https://www.crunchbase.com/organization/diamond-2,Venture - Series Unknown,2000000,USD,2000000,2017-03-15
Seed Round - Terminal,https://www.crunchbase.com/funding_round/terminal-io-seed--d8a115d2,Terminal,https://www.crunchbase.com/organization/terminal-io,Seed,,,,2017-03-01
Series A - XianLife,https://www.crunchbase.com/funding_round/xianlife-series-a--9bba3b7f,XianLife,https://www.crunchbase.com/organization/xianlife,Series A,,,,2017-02-01
Seed Round - Percept.AI,https://www.crunchbase.com/funding_round/buddy-ai-seed--90ab2feb,Percept.AI,https://www.crunchbase.com/organization/buddy-ai,Seed,,,,2017-02-01
Angel Round - Hahow 好學校,https://www.crunchbase.com/funding_round/hahow-angel--aac40292,Hahow 好學校,https://www.crunchbase.com/organization/hahow,Angel,500000,USD,500000,2017-01-13
Angel Round - ScentPage,https://www.crunchbase.com/funding_round/scentpage-angel--93a2318b,ScentPage,https://www.crunchbase.com/organization/scentpage,Angel,,,,2017-01-01
Seed Round - Windfall Data,https://www.crunchbase.com/funding_round/windfall-data-seed--3a98531e,Windfall Data,https://www.crunchbase.com/organization/windfall-data,Seed,,,,2016-12-18
Venture Round - Manman app,https://www.crunchbase.com/funding_round/manman-app-series-unknown--26cac531,Manman app,https://www.crunchbase.com/organization/manman-app,Venture - Series Unknown,,,,2016-12-01
Angel Round - Accure Health,https://www.crunchbase.com/funding_round/accure-health-angel--941bf57d,Accure Health,https://www.crunchbase.com/organization/accure-health,Angel,220000,USD,220000,2016-12-01
Angel Round - Xuanyanyuan,https://www.crunchbase.com/funding_round/xuanyanyuan-angel--fad0b932,Xuanyanyuan,https://www.crunchbase.com/organization/xuanyanyuan,Angel,,,,2016-12-01
Angel Round - Floship,https://www.crunchbase.com/funding_round/floship-angel--aa20455a,Floship,https://www.crunchbase.com/organization/floship,Angel,3500000,USD,3500000,2016-11-18
Seed Round - Bitmark Inc.,https://www.crunchbase.com/funding_round/bitmark-inc-seed--dc1a33d1,Bitmark Inc.,https://www.crunchbase.com/organization/bitmark-inc,Seed,1700000,USD,1700000,2016-11-17
Angel Round - Percept.AI,https://www.crunchbase.com/funding_round/buddy-ai-angel--1c011a92,Percept.AI,https://www.crunchbase.com/organization/buddy-ai,Angel,,,,2016-11-01
Seed Round - XING Mobility,https://www.crunchbase.com/funding_round/xing-mobility-seed--25dacf5b,XING Mobility,https://www.crunchbase.com/organization/xing-mobility,Seed,,,,2016-10-06
Angel Round - Rheo,https://www.crunchbase.com/funding_round/copper-studios-angel--ae938052,Rheo,https://www.crunchbase.com/organization/copper-studios,Angel,,,,2016-10-01
Series B - Flexport,https://www.crunchbase.com/funding_round/flexport-series-b--d50a22f3,Flexport,https://www.crunchbase.com/organization/flexport,Series B,65000000,USD,65000000,2016-09-26
Angel Round - Playnovate,https://www.crunchbase.com/funding_round/playnovate-angel--37b23b40,Playnovate,https://www.crunchbase.com/organization/playnovate,Angel,,,,2016-09-01
Seed Round - Cambly,https://www.crunchbase.com/funding_round/cambly-seed--ae96f2d7,Cambly,https://www.crunchbase.com/organization/cambly,Seed,7000000,BRL,2152843,2016-09-01
Venture Round - Any.do,https://www.crunchbase.com/funding_round/any-do-series-unknown--e7d04e3d,Any.do,https://www.crunchbase.com/organization/any-do,Venture - Series Unknown,,,,2016-08-26
Series A - Health2Sync,https://www.crunchbase.com/funding_round/h2-inc-series-a--c161f7ad,Health2Sync,https://www.crunchbase.com/organization/h2-inc,Series A,3000000,USD,3000000,2016-08-23
Seed Round - SocialSign.in,https://www.crunchbase.com/funding_round/socialsignin-seed--ad93e604,SocialSign.in,https://www.crunchbase.com/organization/socialsignin,Seed,,,,2016-08-17
Seed Round - Instavest,https://www.crunchbase.com/funding_round/instavest-2-seed--049a4b5f,Instavest,https://www.crunchbase.com/organization/instavest-2,Seed,1700000,USD,1700000,2016-08-17
Angel Round - HowLiving,https://www.crunchbase.com/funding_round/howliving-angel--82986510,HowLiving,https://www.crunchbase.com/organization/howliving,Angel,,,,2016-08-01
Angel Round - SocialSign.in,https://www.crunchbase.com/funding_round/socialsignin-angel--2226bb15,SocialSign.in,https://www.crunchbase.com/organization/socialsignin,Angel,,,,2016-08-01
Angel Round - Rested,https://www.crunchbase.com/funding_round/rested-angel--ff3ef800,Rested,https://www.crunchbase.com/organization/rested,Angel,,,,2016-08-01
"Angel Round - Peeq Data, Inc.",https://www.crunchbase.com/funding_round/peeq-data-inc-angel--d5e10425,"Peeq Data, Inc.",https://www.crunchbase.com/organization/peeq-data-inc,Angel,,,,2016-07-01
Angel Round - Inlight Interactive,https://www.crunchbase.com/funding_round/inlight-interactive-angel--cf0891f2,Inlight Interactive,https://www.crunchbase.com/organization/inlight-interactive,Angel,,,,2016-07-01
Angel Round - People Squared,https://www.crunchbase.com/funding_round/people-squared-angel--548be68f,People Squared,https://www.crunchbase.com/organization/people-squared,Angel,,,,2016-07-01
Seed Round - Pamily,https://www.crunchbase.com/funding_round/mobiusbobs-inc-seed--cbfc98ab,Pamily,https://www.crunchbase.com/organization/mobiusbobs-inc,Seed,600000,USD,600000,2016-06-30
Angel Round - Cambly,https://www.crunchbase.com/funding_round/cambly-angel--d2ade4df,Cambly,https://www.crunchbase.com/organization/cambly,Angel,,,,2016-06-01
Seed Round - Citiesocial,https://www.crunchbase.com/funding_round/citiesocial-seed--a5021f74,Citiesocial,https://www.crunchbase.com/organization/citiesocial,Seed,,,,2016-06-01
Angel Round - Shimo Docs,https://www.crunchbase.com/funding_round/shimo-docs-angel--399538b4,Shimo Docs,https://www.crunchbase.com/organization/shimo-docs,Angel,,,,2016-06-01
Series A - Althea Inc.,https://www.crunchbase.com/funding_round/althea-inc-series-a--542162e1,Althea Inc.,https://www.crunchbase.com/organization/althea-inc,Series A,3500000,USD,3500000,2016-05-26
Angel Round - Bingabinga,https://www.crunchbase.com/funding_round/bingabinga-angel--d94fc4ba,Bingabinga,https://www.crunchbase.com/organization/bingabinga,Angel,,,,2016-05-01
Angel Round - InnoVision,https://www.crunchbase.com/funding_round/rock-vr-angel--ae0c173b,InnoVision,https://www.crunchbase.com/organization/rock-vr,Angel,,,,2016-05-01
Convertible Note - Iron Ox,https://www.crunchbase.com/funding_round/iron-ox-convertible-note--3615310b,Iron Ox,https://www.crunchbase.com/organization/iron-ox,Convertible Note,2000000,USD,2000000,2016-04-21
Angel Round - Try.com,https://www.crunchbase.com/funding_round/try-technologies-angel--59538fb7,Try.com,https://www.crunchbase.com/organization/try-technologies,Angel,,,,2016-04-01
"Seed Round - Photomath, Inc.",https://www.crunchbase.com/funding_round/photomath-inc-2-seed--ae9d3487,"Photomath, Inc.",https://www.crunchbase.com/organization/photomath-inc-2,Seed,,,,2016-04-01
Seed Round - Cover,https://www.crunchbase.com/funding_round/cover-5-seed--5d190423,Cover,https://www.crunchbase.com/organization/cover-5,Seed,3000000,USD,3000000,2016-03-22
Seed Round - PowerCore,https://www.crunchbase.com/funding_round/powercore-seed--74347dc2,PowerCore,https://www.crunchbase.com/organization/powercore,Seed,2000000,USD,2000000,2016-03-14
Angel Round - Siftery,https://www.crunchbase.com/funding_round/siftery-angel--fee3de74,Siftery,https://www.crunchbase.com/organization/siftery,Angel,,,,2016-03-01
Angel Round - GameBots,https://www.crunchbase.com/funding_round/gamebots-angel--1a3d4183,GameBots,https://www.crunchbase.com/organization/gamebots,Angel,,,,2016-03-01
Series A - Ever AI,https://www.crunchbase.com/funding_round/ever-ai-series-a--9c705475,Ever AI,https://www.crunchbase.com/organization/ever-ai,Series A,8000000,USD,8000000,2016-02-16
Angel Round - TalkIQ,https://www.crunchbase.com/funding_round/talkiq-angel--e4d1cbf0,TalkIQ,https://www.crunchbase.com/organization/talkiq,Angel,,,,2016-02-01
Angel Round - Haozai,https://www.crunchbase.com/funding_round/haozai-angel--352c16dc,Haozai,https://www.crunchbase.com/organization/haozai,Angel,,,,2016-02-01
Angel Round - MICROBLINK,https://www.crunchbase.com/funding_round/microblink-angel--ffce7c5f,MICROBLINK,https://www.crunchbase.com/organization/microblink,Angel,,,,2016-01-01
Angel Round - CCX,https://www.crunchbase.com/funding_round/ccx-angel--6773b2b3,CCX,https://www.crunchbase.com/organization/ccx,Angel,,,,2016-01-01
Venture Round - Simbe Robotics,https://www.crunchbase.com/funding_round/simbe-robotics-series-unknown--5937eccc,Simbe Robotics,https://www.crunchbase.com/organization/simbe-robotics,Venture - Series Unknown,,,,2016-01-01
Angel Round - Floship,https://www.crunchbase.com/funding_round/floship-angel--21e2ad00,Floship,https://www.crunchbase.com/organization/floship,Angel,,,,2016-01-01
Seed Round - KarFarm,https://www.crunchbase.com/funding_round/karfarm-seed--dcc6aa7e,KarFarm,https://www.crunchbase.com/organization/karfarm,Seed,1400000,USD,1400000,2015-12-25
Series A - VMFive,https://www.crunchbase.com/funding_round/vmfive-series-a--c724a9ee,VMFive,https://www.crunchbase.com/organization/vmfive,Series A,6000000,USD,6000000,2015-12-21
Venture Round - Teenker,https://www.crunchbase.com/funding_round/teenker-series-unknown--d9b068ab,Teenker,https://www.crunchbase.com/organization/teenker,Venture - Series Unknown,,,,2015-12-01
Seed Round - Uncorporeal Systems Inc.,https://www.crunchbase.com/funding_round/uncorporeal-systems-inc-seed--4c703d2d,Uncorporeal Systems Inc.,https://www.crunchbase.com/organization/uncorporeal-systems-inc,Seed,,,,2015-12-01
Series A - Mouth Foods,https://www.crunchbase.com/funding_round/mouth-foods-series-a--98824316,Mouth Foods,https://www.crunchbase.com/organization/mouth-foods,Series A,5500000,USD,5500000,2015-10-20
Angel Round - Waffles,https://www.crunchbase.com/funding_round/waffles-share-your-life-moments-in-short-videos-angel--e81c5f2c,Waffles,https://www.crunchbase.com/organization/waffles-share-your-life-moments-in-short-videos,Angel,1300000,USD,1300000,2015-10-10
Seed Round - Maderight,https://www.crunchbase.com/funding_round/maderight-seed--69a86395,Maderight,https://www.crunchbase.com/organization/maderight,Seed,,,,2015-10-07
Seed Round - Padlet,https://www.crunchbase.com/funding_round/padlet-seed--c2668a49,Padlet,https://www.crunchbase.com/organization/padlet,Seed,1200000,USD,1200000,2015-09-18
Seed Round - ChalDal,https://www.crunchbase.com/funding_round/chaldal-seed--6b288af0,ChalDal,https://www.crunchbase.com/organization/chaldal,Seed,,,,2015-08-28
Series B - Ring,https://www.crunchbase.com/funding_round/ring-series-b--0c1e0178,Ring,https://www.crunchbase.com/organization/ring,Series B,28000000,USD,28000000,2015-08-19
Series B - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-b--ac231867,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series B,28900000,USD,28900000,2015-07-15
Series A - Playbasis,https://www.crunchbase.com/funding_round/playbasis-series-a--d093452c,Playbasis,https://www.crunchbase.com/organization/playbasis,Series A,1800000,USD,1800000,2015-06-25
Seed Round - Pamily,https://www.crunchbase.com/funding_round/mobiusbobs-inc-seed--6595151a,Pamily,https://www.crunchbase.com/organization/mobiusbobs-inc,Seed,500000,USD,500000,2015-06-16
Venture Round - Hello,https://www.crunchbase.com/funding_round/hello-series-unknown--83522e18,Hello,https://www.crunchbase.com/organization/hello,Venture - Series Unknown,30000000,USD,30000000,2015-06-15
Series A - PLAE,https://www.crunchbase.com/funding_round/plae-series-a--cc155cc0,PLAE,https://www.crunchbase.com/organization/plae,Series A,7000000,USD,7000000,2015-04-15
Seed Round - Bluesmart,https://www.crunchbase.com/funding_round/bluesmart-seed--a10711b9,Bluesmart,https://www.crunchbase.com/organization/bluesmart,Seed,,,,2015-03-23
Series A - Luxe,https://www.crunchbase.com/funding_round/luxe-valet-series-a--c8481f0a,Luxe,https://www.crunchbase.com/organization/luxe-valet,Series A,20000000,USD,20000000,2015-02-25
Series A - Virgin Hyperloop One,https://www.crunchbase.com/funding_round/hyperloop-technolgies-series-a--50715703,Virgin Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,Series A,11100000,USD,11100000,2015-02-12
Seed Round - Andy OS,https://www.crunchbase.com/funding_round/andy-os-inc--seed--29f95ca1,Andy OS,https://www.crunchbase.com/organization/andy-os-inc-,Seed,3000000,USD,3000000,2015-02-03
Seed Round - Percolata,https://www.crunchbase.com/funding_round/percolata-seed--49bad84c,Percolata,https://www.crunchbase.com/organization/percolata,Seed,5000000,USD,5000000,2015-01-12
Seed Round - LIVEhouse.in,https://www.crunchbase.com/funding_round/livehouse-in-seed--3cee96e8,LIVEhouse.in,https://www.crunchbase.com/organization/livehouse-in,Seed,1300000,USD,1300000,2015-01-12
Seed Round - Jindanlicai,https://www.crunchbase.com/funding_round/jindanlicai-seed--8b07adb8,Jindanlicai,https://www.crunchbase.com/organization/jindanlicai,Seed,,,,2015-01-01
Series A - iFit,https://www.crunchbase.com/funding_round/ifit-series-a--67e293f3,iFit,https://www.crunchbase.com/organization/ifit,Series A,3000000,USD,3000000,2014-12-15
Seed Round - LIVEhouse.in,https://www.crunchbase.com/funding_round/livehouse-in-seed--22fc138d,LIVEhouse.in,https://www.crunchbase.com/organization/livehouse-in,Seed,350000,USD,350000,2014-12-03
"Angel Round - Toss Lab, Inc.",https://www.crunchbase.com/funding_round/toss-lab-angel--269fd2fc,"Toss Lab, Inc.",https://www.crunchbase.com/organization/toss-lab,Angel,2000000,USD,2000000,2014-11-10
Seed Round - Spottly,https://www.crunchbase.com/funding_round/spottly-seed--deb70716,Spottly,https://www.crunchbase.com/organization/spottly,Seed,850000,USD,850000,2014-09-18
Series A - Paidy,https://www.crunchbase.com/funding_round/paidly-series-a--0cfaa62e,Paidy,https://www.crunchbase.com/organization/paidly,Series A,3300000,USD,3300000,2014-07-29
Angel Round - Birdi,https://www.crunchbase.com/funding_round/birdi-angel--d1345041,Birdi,https://www.crunchbase.com/organization/birdi,Angel,700000,USD,700000,2014-07-28
Seed Round - Oomnitza,https://www.crunchbase.com/funding_round/oomnitza-seed--6f93597c,Oomnitza,https://www.crunchbase.com/organization/oomnitza,Seed,,,,2014-07-01
Seed Round - Caeden,https://www.crunchbase.com/funding_round/caeden-seed--c25bbe49,Caeden,https://www.crunchbase.com/organization/caeden,Seed,1500000,USD,1500000,2014-07-01
Series C - Wish,https://www.crunchbase.com/funding_round/wish-series-c--2664ce1c,Wish,https://www.crunchbase.com/organization/wish,Series C,50000000,USD,50000000,2014-06-21
Seed Round - Calm,https://www.crunchbase.com/funding_round/calm-com-seed--a5da6410,Calm,https://www.crunchbase.com/organization/calm-com,Seed,578000,USD,578000,2014-06-18
Seed Round - Parlio,https://www.crunchbase.com/funding_round/parlio-seed--e43a7827,Parlio,https://www.crunchbase.com/organization/parlio,Seed,1675000,USD,1675000,2014-06-15
Seed Round - Health2Sync,https://www.crunchbase.com/funding_round/h2-inc-seed--44efc500,Health2Sync,https://www.crunchbase.com/organization/h2-inc,Seed,1200000,USD,1200000,2014-06-01
Venture Round - BabyWatch,https://www.crunchbase.com/funding_round/babywatch-series-unknown--6aef22ce,BabyWatch,https://www.crunchbase.com/organization/babywatch,Venture - Series Unknown,4500000,USD,4500000,2014-06-01
Seed Round - TechNode,https://www.crunchbase.com/funding_round/technode-seed--20adca1b,TechNode,https://www.crunchbase.com/organization/technode,Seed,,,,2014-06-01
Seed Round - Bellabeat,https://www.crunchbase.com/funding_round/bellabeat-seed--0417f0ad,Bellabeat,https://www.crunchbase.com/organization/bellabeat,Seed,4500000,USD,4500000,2014-05-23
Series A - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-a--f6629aab,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series A,,,,2014-04-14
Series A - Flexport,https://www.crunchbase.com/funding_round/flexport-series-a--02c74cf9,Flexport,https://www.crunchbase.com/organization/flexport,Series A,6900000,USD,6900000,2014-04-01
Seed Round - iFit,https://www.crunchbase.com/funding_round/ifit-seed--27281d18,iFit,https://www.crunchbase.com/organization/ifit,Seed,900000,USD,900000,2014-04-01
Seed Round - Cambly,https://www.crunchbase.com/funding_round/cambly-seed--b0697f6a,Cambly,https://www.crunchbase.com/organization/cambly,Seed,,,,2014-03-25
Seed Round - AirHelp,https://www.crunchbase.com/funding_round/airhelp-seed--dae5055b,AirHelp,https://www.crunchbase.com/organization/airhelp,Seed,221000,USD,221000,2014-03-14
Seed Round - Playbasis,https://www.crunchbase.com/funding_round/playbasis-seed--2276c228,Playbasis,https://www.crunchbase.com/organization/playbasis,Seed,770000,USD,770000,2014-02-16
Venture Round - Petnet,https://www.crunchbase.com/funding_round/petnet-series-unknown--4c1c2183,Petnet,https://www.crunchbase.com/organization/petnet,Venture - Series Unknown,1125000,USD,1125000,2014-01-21
Seed Round - Umano,https://www.crunchbase.com/funding_round/sothree-seed--965dec1b,Umano,https://www.crunchbase.com/organization/sothree,Seed,1500000,USD,1500000,2013-07-11
Seed Round - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-seed--b04118a5,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Seed,,,,2013-05-19
Non Equity Assistance - Fotoable,https://www.crunchbase.com/funding_round/fotoable-non-equity-assistance--b83cd1aa,Fotoable,https://www.crunchbase.com/organization/fotoable,Non-equity Assistance,294118,USD,294118,2012-12-01
Seed Round - IPEVO,https://www.crunchbase.com/funding_round/ipevo-seed--f8f259b2,IPEVO,https://www.crunchbase.com/organization/ipevo,Seed,,,,2012-09-01
Seed Round - Zepp,https://www.crunchbase.com/funding_round/zepp-seed--f05d4e56,Zepp,https://www.crunchbase.com/organization/zepp,Seed,1000000,USD,1000000,2012-07-01
Seed Round - Miyoo,https://www.crunchbase.com/funding_round/miyoo-seed--7267d8e2,Miyoo,https://www.crunchbase.com/organization/miyoo,Seed,,,,2012-02-01
Seed Round - Microdreams.com,https://www.crunchbase.com/funding_round/microdreams-com-seed--2de0ffb3,Microdreams.com,https://www.crunchbase.com/organization/microdreams-com,Seed,220588,USD,220588,2012-02-01
Seed Round - Pinnatta,https://www.crunchbase.com/funding_round/pinnatta-seed--8601e7cb,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Seed,350000,USD,350000,2011-09-01
Seed Round - Pinnatta,https://www.crunchbase.com/funding_round/pinnatta-seed--ab086e5c,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Seed,450000,USD,450000,2011-08-01
Seed Round - Pinkoi,https://www.crunchbase.com/funding_round/pinkoi-seed--34ce70b3,Pinkoi,https://www.crunchbase.com/organization/pinkoi,Seed,,,,2011-07-01
Seed Round - Kongming Inc.,https://www.crunchbase.com/funding_round/kmtongji-inc-seed--48a41ae4,Kongming Inc.,https://www.crunchbase.com/organization/kmtongji-inc,Seed,,,,2010-05-01
