Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Coinsuper,https://www.crunchbase.com/funding_round/coinsuper-series-a--f801505f,Coinsuper,https://www.crunchbase.com/organization/coinsuper,Series A,,,,2018-06-26
Series C - Shenma Finance,https://www.crunchbase.com/funding_round/shenma-finance-series-c--4aeae950,Shenma Finance,https://www.crunchbase.com/organization/shenma-finance,Series C,300000000,CNY,47112276,2018-05-07
Venture Round - 3D Medicines,https://www.crunchbase.com/funding_round/3d-medicines-series-unknown--76f70b09,3D Medicines,https://www.crunchbase.com/organization/3d-medicines,Venture - Series Unknown,670000000,CNY,101326683,2017-11-22
Series B - Today,https://www.crunchbase.com/funding_round/today-d64f-series-b--b3233c07,Today,https://www.crunchbase.com/organization/today-d64f,Series B,30000000,USD,30000000,2017-11-20
Series A - Misspao,https://www.crunchbase.com/funding_round/misspao-series-a--4f4df5f3,Misspao,https://www.crunchbase.com/organization/misspao,Series A,11000000,USD,11000000,2017-10-11
Venture Round - CloudMedx Inc,https://www.crunchbase.com/funding_round/cloudmedx-series-unknown--9bb5ee7b,CloudMedx Inc,https://www.crunchbase.com/organization/cloudmedx,Venture - Series Unknown,5300000,USD,5300000,2017-08-15
Angel Round - Misspao,https://www.crunchbase.com/funding_round/misspao-angel--a8cca464,Misspao,https://www.crunchbase.com/organization/misspao,Angel,,,,2017-08-10
Series B - Slamtec,https://www.crunchbase.com/funding_round/shanghai-slamtec-series-b--5192c38e,Slamtec,https://www.crunchbase.com/organization/shanghai-slamtec,Series B,150000000,CNY,22099121,2017-07-12
Convertible Note - Magnetic Insight Inc,https://www.crunchbase.com/funding_round/magnetic-insight-inc-convertible-note--a1866242,Magnetic Insight Inc,https://www.crunchbase.com/organization/magnetic-insight-inc,Convertible Note,2500000,USD,2500000,2017-07-01
Series A - Wujie Space,https://www.crunchbase.com/funding_round/wujie-space-series-a--e42cc060,Wujie Space,https://www.crunchbase.com/organization/wujie-space,Series A,14000000,USD,14000000,2017-03-21
Series A - NEXT Trucking,https://www.crunchbase.com/funding_round/next-trucking-series-a--2440fc8a,NEXT Trucking,https://www.crunchbase.com/organization/next-trucking,Series A,5000000,USD,5000000,2017-03-15
Series C - Atzuche,https://www.crunchbase.com/funding_round/atzuche-series-c--bf73d00d,Atzuche,https://www.crunchbase.com/organization/atzuche,Series C,400000000,CNY,58250871,2017-02-24
Series B - Shenma Finance,https://www.crunchbase.com/funding_round/shenma-finance-series-b--db797de0,Shenma Finance,https://www.crunchbase.com/organization/shenma-finance,Series B,100000000,CNY,14545488,2016-11-17
Seed Round - Magnetic Insight Inc,https://www.crunchbase.com/funding_round/magnetic-insight-inc-seed--2c32260e,Magnetic Insight Inc,https://www.crunchbase.com/organization/magnetic-insight-inc,Seed,3000000,USD,3000000,2016-07-18
Series C - Benlai Life,https://www.crunchbase.com/funding_round/benlai-life-series-c--616af958,Benlai Life,https://www.crunchbase.com/organization/benlai-life,Series C,117000000,USD,117000000,2016-05-24
Series A - Livall Riding,https://www.crunchbase.com/funding_round/livall-riding-series-a--61e8c472,Livall Riding,https://www.crunchbase.com/organization/livall-riding,Series A,13000000,USD,13000000,2015-07-30
Series B - Firstp2p,https://www.crunchbase.com/funding_round/firstp2p-series-b--67d66c1e,Firstp2p,https://www.crunchbase.com/organization/firstp2p,Series B,41000000,USD,41000000,2015-07-27
Series B - Juesheng.com,https://www.crunchbase.com/funding_round/juesheng-com-series-b--6af00ea0,Juesheng.com,https://www.crunchbase.com/organization/juesheng-com,Series B,,,,2015-03-27
Series A - Firstp2p,https://www.crunchbase.com/funding_round/firstp2p-series-a--c1b5ab25,Firstp2p,https://www.crunchbase.com/organization/firstp2p,Series A,,,,2014-10-01
Series B - Pinwine.cn,https://www.crunchbase.com/funding_round/pinwine-cn-series-b--20374241,Pinwine.cn,https://www.crunchbase.com/organization/pinwine-cn,Series B,,,,2013-03-01
Private Equity Round - Eayun,https://www.crunchbase.com/funding_round/eayun-private-equity--9f973fce,Eayun,https://www.crunchbase.com/organization/eayun,Private Equity,,,,2011-10-01
Series C - Mbaobao,https://www.crunchbase.com/funding_round/mbaobao-series-c--1ba055d4,Mbaobao,https://www.crunchbase.com/organization/mbaobao,Series C,2000000,USD,2000000,2011-01-01
Series A - Ifensi.com,https://www.crunchbase.com/funding_round/ifensi-com-series-a--8e4e998a,Ifensi.com,https://www.crunchbase.com/organization/ifensi-com,Series A,27000000,USD,27000000,2010-01-01
Angel Round - Ifensi.com,https://www.crunchbase.com/funding_round/ifensi-com-angel--92607ef9,Ifensi.com,https://www.crunchbase.com/organization/ifensi-com,Angel,2360000,USD,2360000,2007-03-01
Series C - Baidu,https://www.crunchbase.com/funding_round/baidu-series-c--f996c0db,Baidu,https://www.crunchbase.com/organization/baidu,Series C,15000000,USD,15000000,2004-06-18
Series A - LongShine Technology,https://www.crunchbase.com/funding_round/longshine-technology-co-ltd-series-a--2c2123bd,LongShine Technology,https://www.crunchbase.com/organization/longshine-technology-co-ltd,Series A,10000000,CNY,1208424,2000-09-01
Series A - Rising,https://www.crunchbase.com/funding_round/rising-series-a--c52273f0,Rising,https://www.crunchbase.com/organization/rising,Series A,1000000,USD,1000000,2000-01-01
