Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Feigeshangpin,https://www.crunchbase.com/funding_round/feigeshangpin-series-b--ce5c18e8,Feigeshangpin,https://www.crunchbase.com/organization/feigeshangpin,Series B,,,,2018-10-25
Series B - Yunshan Networks,https://www.crunchbase.com/funding_round/yunshan-networks-series-b--2526b20f,Yunshan Networks,https://www.crunchbase.com/organization/yunshan-networks,Series B,11000000,USD,11000000,2018-09-27
Seed Round - NovoShine,https://www.crunchbase.com/funding_round/novoshine-seed--178d9347,NovoShine,https://www.crunchbase.com/organization/novoshine,Seed,,,,2018-09-14
Series A - ONES.AI,https://www.crunchbase.com/funding_round/ones-ai-series-a--361bb5e4,ONES.AI,https://www.crunchbase.com/organization/ones-ai,Series A,6000000,USD,6000000,2018-09-12
Series C - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-c--0f92fa25,PingCAP,https://www.crunchbase.com/organization/pingcap,Series C,50000000,USD,50000000,2018-09-11
Seed Round - Banma Code(bmcode.com),https://www.crunchbase.com/funding_round/banma-code-seed--f6896af6,Banma Code(bmcode.com),https://www.crunchbase.com/organization/banma-code,Seed,50000000,CNY,7319780,2018-09-05
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--43a7e837,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,50000000,USD,50000000,2018-08-22
Series A - Zhangguigonglue (spoon classroom),https://www.crunchbase.com/funding_round/zhangguigonglue-series-a--44a202b1,Zhangguigonglue (spoon classroom),https://www.crunchbase.com/organization/zhangguigonglue,Series A,30000000,CNY,4353599,2018-08-13
Series A - Feigeshangpin,https://www.crunchbase.com/funding_round/feigeshangpin-series-a--b8537930,Feigeshangpin,https://www.crunchbase.com/organization/feigeshangpin,Series A,,,,2018-08-06
Series A - Zorelworld,https://www.crunchbase.com/funding_round/zorelworld-series-a--8c8adf49,Zorelworld,https://www.crunchbase.com/organization/zorelworld,Series A,,,,2018-07-11
