Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Suning Sports,https://www.crunchbase.com/funding_round/suning-sports-series-a--bff82ae6,Suning Sports,https://www.crunchbase.com/organization/suning-sports,Series A,600000000,USD,600000000,2018-07-19
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--967afaf2,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,70000000,USD,70000000,2018-06-06
Series B - Qutoutiao,https://www.crunchbase.com/funding_round/qutoutiao-series-b--f427eeb1,Qutoutiao,https://www.crunchbase.com/organization/qutoutiao,Series B,200000000,USD,200000000,2018-03-14
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--0e657dce,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,100000000,USD,100000000,2018-02-26
Series E - Meicai,https://www.crunchbase.com/funding_round/meicai-series-e--5b0f6c5d,Meicai,https://www.crunchbase.com/organization/meicai,Series E,450000000,USD,450000000,2018-01-11
Series D - Kuaikan Manhua,https://www.crunchbase.com/funding_round/kuaikan-manhua-series-d--1679f979,Kuaikan Manhua,https://www.crunchbase.com/organization/kuaikan-manhua,Series D,177000000,USD,177000000,2017-12-01
Series A - CollegeDaily.cn,https://www.crunchbase.com/funding_round/collegedaily-cn-series-a--91d78cb6,CollegeDaily.cn,https://www.crunchbase.com/organization/collegedaily-cn,Series A,3000000,USD,3000000,2017-11-28
Series A - Qutoutiao,https://www.crunchbase.com/funding_round/qutoutiao-series-a--d8bfd487,Qutoutiao,https://www.crunchbase.com/organization/qutoutiao,Series A,10000000,USD,10000000,2017-11-14
Series C - Yitiao,https://www.crunchbase.com/funding_round/yitiao-series-c--c97cec07,Yitiao,https://www.crunchbase.com/organization/yitiao,Series C,40000000,USD,40000000,2017-09-29
Series C - Gaosi Education Group,https://www.crunchbase.com/funding_round/gaosi-education-group-series-c--fda9cefd,Gaosi Education Group,https://www.crunchbase.com/organization/gaosi-education-group,Series C,550000000,CNY,83405997,2017-09-22
Series C - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-c--dc2d8875,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series C,100000000,USD,100000000,2017-07-26
Series D - Bilibili,https://www.crunchbase.com/funding_round/bilibili-inc-series-d--9e10afca,Bilibili,https://www.crunchbase.com/organization/bilibili-inc,Series D,107151904,USD,107151904,2017-05-02
Private Equity Round - Creative Artists Agency,https://www.crunchbase.com/funding_round/creative-artists-agency-private-equity--93ae2c95,Creative Artists Agency,https://www.crunchbase.com/organization/creative-artists-agency,Private Equity,,,,2017-04-18
Series B - Newrank.cn,https://www.crunchbase.com/funding_round/newrank-cn-series-b--e57f1c45,Newrank.cn,https://www.crunchbase.com/organization/newrank-cn,Series B,26000000,USD,26000000,2017-03-17
Series C - CGTZ,https://www.crunchbase.com/funding_round/cgtz-series-c--6ce8e005,CGTZ,https://www.crunchbase.com/organization/cgtz,Series C,,,,2017-02-21
