Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Good and Loan,https://www.crunchbase.com/funding_round/good-and-loan-series-b--63d38231,Good and Loan,https://www.crunchbase.com/organization/good-and-loan,Series B,80000000,CNY,11779430,2018-07-24
Series C - Boqii,https://www.crunchbase.com/funding_round/boqii-series-c--5f44d438,Boqii,https://www.crunchbase.com/organization/boqii,Series C,102000000,USD,102000000,2016-02-03
Series B - Huaqiang PCB,https://www.crunchbase.com/funding_round/huaqiang-pcb-series-b--4da92ebb,Huaqiang PCB,https://www.crunchbase.com/organization/huaqiang-pcb,Series B,,,,2018-07-13
Series C - Juanpi,https://www.crunchbase.com/funding_round/juanpi-com-series-c--ac9a3766,Juanpi,https://www.crunchbase.com/organization/juanpi-com,Series C,600000000,CNY,92625125,2016-04-15
Series B - Huitongda,https://www.crunchbase.com/funding_round/huitongda-series-b--71b3abe7,Huitongda,https://www.crunchbase.com/organization/huitongda,Series B,300000000,CNY,45599801,2016-06-01
Series C - InMyShow,https://www.crunchbase.com/funding_round/inmyshow-series-c--095dca3e,InMyShow,https://www.crunchbase.com/organization/inmyshow,Series C,600000000,CNY,89963115,2017-08-14
Series A - Aozon,https://www.crunchbase.com/funding_round/aozon-series-a--10d9d666,Aozon,https://www.crunchbase.com/organization/aozon,Series A,,,,2018-01-30
Seed Round - Cryptape,https://www.crunchbase.com/funding_round/cryptape-seed--4049a511,Cryptape,https://www.crunchbase.com/organization/cryptape,Seed,,,,2018-02-28
Private Equity Round - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-private-equity--efc1fb05,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Private Equity,5500000000,USD,5500000000,2017-04-28
Series D - Gu Sheng Tang,https://www.crunchbase.com/funding_round/gu-sheng-tang-series-d--05b01dca,Gu Sheng Tang,https://www.crunchbase.com/organization/gu-sheng-tang,Series D,510000000,CNY,75878742,2017-08-07
Series B - Novogene Corporation,https://www.crunchbase.com/funding_round/novogene-corporation-series-b--e1ee5ec7,Novogene Corporation,https://www.crunchbase.com/organization/novogene-corporation,Series B,515000000,CNY,74751986,2016-11-30
Venture Round - ChinaWeb,https://www.crunchbase.com/funding_round/chinaweb-2-series-unknown--4b77d022,ChinaWeb,https://www.crunchbase.com/organization/chinaweb-2,Venture - Series Unknown,,,,2000-02-08
Series B - Helichenguang International Culture Media,https://www.crunchbase.com/funding_round/helichenguang-international-culture-media-series-b--3eb87d3b,Helichenguang International Culture Media,https://www.crunchbase.com/organization/helichenguang-international-culture-media,Series B,96000000,USD,96000000,2016-01-26
Debt Financing - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-debt-financing--f1a0691a,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Debt Financing,2500000000,USD,2500000000,2016-06-15
Debt Financing - Jiuxian,https://www.crunchbase.com/funding_round/jiuxian-debt-financing--3aac02ec,Jiuxian,https://www.crunchbase.com/organization/jiuxian,Debt Financing,700000000,CNY,113748246,2014-08-22
Series F - Jiuxian,https://www.crunchbase.com/funding_round/jiuxian-series-f--332ce7e6,Jiuxian,https://www.crunchbase.com/organization/jiuxian,Series F,300000000,CNY,48763535,2014-08-21
Series B - Good Feeling Group,https://www.crunchbase.com/funding_round/good-feeling-group-series-b--b72c529d,Good Feeling Group,https://www.crunchbase.com/organization/good-feeling-group,Series B,100000000,CNY,15240998,2017-09-01
Funding Round - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-undisclosed--3a3f949f,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Funding Round,4500000000,USD,4500000000,2016-06-15
