Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Nuoling Biotech,https://www.crunchbase.com/funding_round/nuoling-biotech-series-a--ff5b72fd,Nuoling Biotech,https://www.crunchbase.com/organization/nuoling-biotech,Series A,50000000,CNY,7176072,2018-10-31
Series C - Wuhan Landing Medical High Technology,https://www.crunchbase.com/funding_round/wuhan-landing-medical-high-technology-series-c--4c480c7b,Wuhan Landing Medical High Technology,https://www.crunchbase.com/organization/wuhan-landing-medical-high-technology,Series C,,,,2018-10-24
Series C - WayRay,https://www.crunchbase.com/funding_round/wayray-series-c--f892c422,WayRay,https://www.crunchbase.com/organization/wayray,Series C,80000000,USD,80000000,2018-09-18
Seed Round - E-PORTS,https://www.crunchbase.com/funding_round/e-ports-seed--f0af855f,E-PORTS,https://www.crunchbase.com/organization/e-ports,Seed,,,,2018-08-27
Series B - eFreight Technology,https://www.crunchbase.com/funding_round/efreight-technology-series-b--c124cafc,eFreight Technology,https://www.crunchbase.com/organization/efreight-technology,Series B,20000000,CNY,2916472,2018-08-20
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--59b4a506,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,102000000,USD,102000000,2018-07-11
Series A - Imsight Medical,https://www.crunchbase.com/funding_round/imsight-medical-series-a--fda94ebc,Imsight Medical,https://www.crunchbase.com/organization/imsight-medical,Series A,20000000,CNY,3029430,2018-06-27
Series B - Firstbrave,https://www.crunchbase.com/funding_round/firstbrave-series-b--30ec9228,Firstbrave,https://www.crunchbase.com/organization/firstbrave,Series B,,,,2018-06-15
Venture Round - Mocar,https://www.crunchbase.com/funding_round/mocar-series-unknown--ea9a1406,Mocar,https://www.crunchbase.com/organization/mocar,Venture - Series Unknown,,,,2018-06-04
"Series C - Shanghai Ulucu Electronic Technology Co.,Ltd.",https://www.crunchbase.com/funding_round/shanghai-ulucu-electronic-technology-co-ltd-series-c--6dbf3f91,"Shanghai Ulucu Electronic Technology Co.,Ltd.",https://www.crunchbase.com/organization/shanghai-ulucu-electronic-technology-co-ltd,Series C,12000000,USD,12000000,2018-01-08
Series C - Ymatou,https://www.crunchbase.com/funding_round/ymatou-series-c--b2ec51e5,Ymatou,https://www.crunchbase.com/organization/ymatou,Series C,100000000,USD,100000000,2017-11-14
Corporate Round - YunQuNa,https://www.crunchbase.com/funding_round/yunquna-corporate-round--b8494698,YunQuNa,https://www.crunchbase.com/organization/yunquna,Corporate Round,15000000,USD,15000000,2017-10-31
Series A - DeePhi Tech,https://www.crunchbase.com/funding_round/deephi-tech-series-a--3dde8a5c,DeePhi Tech,https://www.crunchbase.com/organization/deephi-tech,Series A,40000000,USD,40000000,2017-10-24
Series A - 5 Colour Technology,https://www.crunchbase.com/funding_round/5-colour-technology-series-a--bca1060f,5 Colour Technology,https://www.crunchbase.com/organization/5-colour-technology,Series A,,,,2017-06-27
Series C - 24tidy,https://www.crunchbase.com/funding_round/24tidy-series-c--2c4041fa,24tidy,https://www.crunchbase.com/organization/24tidy,Series C,21000000,USD,21000000,2017-03-03
Series B - Haoqiao.cn,https://www.crunchbase.com/funding_round/haoqiao-cn-series-b--1d7c801e,Haoqiao.cn,https://www.crunchbase.com/organization/haoqiao-cn,Series B,17000000,USD,17000000,2017-02-21
Series C - Xueba100.com,https://www.crunchbase.com/funding_round/xueba100-com-series-c--26d1910d,Xueba100.com,https://www.crunchbase.com/organization/xueba100-com,Series C,100000000,USD,100000000,2017-01-23
Series A - One Space,https://www.crunchbase.com/funding_round/one-space-series-a--5023a296,One Space,https://www.crunchbase.com/organization/one-space,Series A,31000000,USD,31000000,2017-01-16
Venture Round - 36Kr,https://www.crunchbase.com/funding_round/36kr-series-unknown--d8e6d09b,36Kr,https://www.crunchbase.com/organization/36kr,Venture - Series Unknown,14400000,USD,14400000,2016-12-16
Series A - Yuezw.com,https://www.crunchbase.com/funding_round/yuezw-com-series-a--f1c8abba,Yuezw.com,https://www.crunchbase.com/organization/yuezw-com,Series A,100000000,CNY,14514948,2016-11-30
Series A - Ximu Credit,https://www.crunchbase.com/funding_round/ximu-credit-series-a--f47f0787,Ximu Credit,https://www.crunchbase.com/organization/ximu-credit,Series A,102000000,CNY,14752929,2016-11-23
