Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Kr Space,https://www.crunchbase.com/funding_round/kr-space-series-unknown--68f28e69,Kr Space,https://www.crunchbase.com/organization/kr-space,Venture - Series Unknown,600000000,CNY,92189972,2018-01-10
Series B - Thunder Stone Technology,https://www.crunchbase.com/funding_round/thunder-stone-technology-series-b--d5ff660b,Thunder Stone Technology,https://www.crunchbase.com/organization/thunder-stone-technology,Series B,200000000,CNY,29052243,2018-08-16
Series D - AISpeech,https://www.crunchbase.com/funding_round/aispeech-series-d--0a80338d,AISpeech,https://www.crunchbase.com/organization/aispeech,Series D,500000000,CNY,75987841,2018-06-26
Series B - Cowarobot,https://www.crunchbase.com/funding_round/cowarobot-series-b--fb1c6812,Cowarobot,https://www.crunchbase.com/organization/cowarobot,Series B,135000000,CNY,21163191,2018-05-15
Series B - Tricorn,https://www.crunchbase.com/funding_round/tricorn-technology-series-b--f47ff4ce,Tricorn,https://www.crunchbase.com/organization/tricorn-technology,Series B,17000000,USD,17000000,2018-05-16
Series A - Fengxianguanjia,https://www.crunchbase.com/funding_round/fengxianguanjia-series-a--ae9b2bb6,Fengxianguanjia,https://www.crunchbase.com/organization/fengxianguanjia,Series A,,,,2018-06-05
Angel Round - Jiaanpei.com,https://www.crunchbase.com/funding_round/jiaanpei-com-angel--1b32f9b2,Jiaanpei.com,https://www.crunchbase.com/organization/jiaanpei-com,Angel,60000000,USD,60000000,2017-12-21
Series D - Kingsoft Cloud,https://www.crunchbase.com/funding_round/kingsoft-cloud-series-d--593da880,Kingsoft Cloud,https://www.crunchbase.com/organization/kingsoft-cloud,Series D,300000000,USD,300000000,2017-12-13
Venture Round - Entegrity Solutions,https://www.crunchbase.com/funding_round/entegrity-solutions-ltd-series-unknown--8b134785,Entegrity Solutions,https://www.crunchbase.com/organization/entegrity-solutions-ltd,Venture - Series Unknown,29300000,USD,29300000,2000-04-24
Series D - RenRenChe,https://www.crunchbase.com/funding_round/renrenche-com-series-d--cf39514c,RenRenChe,https://www.crunchbase.com/organization/renrenche-com,Series D,150000000,USD,150000000,2016-09-05
Private Equity Round - Tuandaiwang,https://www.crunchbase.com/funding_round/tuandaiwang-private-equity--c372ba7f,Tuandaiwang,https://www.crunchbase.com/organization/tuandaiwang,Private Equity,1800000000,CNY,262572787,2017-05-29
Series D - Hujiang Education Technologies Co. Ltd,https://www.crunchbase.com/funding_round/hujiang-com-series-d--5aeaaadd,Hujiang Education Technologies Co. Ltd,https://www.crunchbase.com/organization/hujiang-com,Series D,157000000,USD,157000000,2015-10-29
