Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Private Equity Round - Chemclin,https://www.crunchbase.com/funding_round/chemclin-private-equity--b93a4b56,Chemclin,https://www.crunchbase.com/organization/chemclin,Private Equity,2000000000,CNY,293117598,2018-08-01
Corporate Round - OPM Biosciences,https://www.crunchbase.com/funding_round/opm-biosciences-corporate-round--0d316ce1,OPM Biosciences,https://www.crunchbase.com/organization/opm-biosciences,Corporate Round,15000000,USD,15000000,2018-04-15
Series C - MiningLamp,https://www.crunchbase.com/funding_round/mininglamp-series-c--106f639d,MiningLamp,https://www.crunchbase.com/organization/mininglamp,Series C,1000000000,CNY,159324464,2018-04-16
Series D - Shanghai ANE Logistics,https://www.crunchbase.com/funding_round/shanghai-ane-logistics-series-d--72b1310d,Shanghai ANE Logistics,https://www.crunchbase.com/organization/shanghai-ane-logistics,Series D,170000000,USD,170000000,2015-06-28
Series C - Medlinker,https://www.crunchbase.com/funding_round/medlinker-series-c--8b4d199d,Medlinker,https://www.crunchbase.com/organization/medlinker,Series C,400000000,CNY,60459035,2017-12-06
Seed Round - Lexin,https://www.crunchbase.com/funding_round/lexin-seed--8d7bc999,Lexin,https://www.crunchbase.com/organization/lexin,Seed,,,,2013-04-01
Series A - Xingbianli,https://www.crunchbase.com/funding_round/xingbianli-series-a--c6acd172,Xingbianli,https://www.crunchbase.com/organization/xingbianli,Series A,380000000,CNY,57572704,2017-11-01
Series A - 58fangdai,https://www.crunchbase.com/funding_round/58fangdai-series-a--e35dc5bb,58fangdai,https://www.crunchbase.com/organization/58fangdai,Series A,,,,2015-06-12
Series C - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-c--e5685b9d,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series C,46000000,USD,46000000,2016-04-12
Series B - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-b--c0a65833,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series B,26000000,USD,26000000,2015-08-01
