Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
"Seed Round - Drip Financial, Inc",https://www.crunchbase.com/funding_round/drip-financial-inc-seed--f38d88e4,"Drip Financial, Inc",https://www.crunchbase.com/organization/drip-financial-inc,Seed,180000,USD,180000,2018-08-15
Seed Round - Judolaunch,https://www.crunchbase.com/funding_round/judolaunch-seed--b976bff0,Judolaunch,https://www.crunchbase.com/organization/judolaunch,Seed,,,,2018-05-14
Seed Round - BEAM,https://www.crunchbase.com/funding_round/beam-connect-seed--6265512d,BEAM,https://www.crunchbase.com/organization/beam-connect,Seed,,,,2018-03-22
Seed Round - MGI Pacific,https://www.crunchbase.com/funding_round/mgi-pacific-seed--64d751e2,MGI Pacific,https://www.crunchbase.com/organization/mgi-pacific,Seed,,,,2018-03-15
Seed Round - International Learning Enterprises,https://www.crunchbase.com/funding_round/international-learning-enterprises-seed--fee9d3d7,International Learning Enterprises,https://www.crunchbase.com/organization/international-learning-enterprises,Seed,,,,2018-03-12
Seed Round - Hippo & Crate Ltd,https://www.crunchbase.com/funding_round/hippo-and-crate-seed--96ac3de1,Hippo & Crate Ltd,https://www.crunchbase.com/organization/hippo-and-crate,Seed,,,,2018-03-10
Seed Round - LiqEase,https://www.crunchbase.com/funding_round/liqease-seed--b6631c16,LiqEase,https://www.crunchbase.com/organization/liqease,Seed,,,,2017-09-30
Seed Round - Yana Trip,https://www.crunchbase.com/funding_round/yana-trip-seed--51539f3d,Yana Trip,https://www.crunchbase.com/organization/yana-trip,Seed,,,,2017-09-04
Seed Round - Lootcakes,https://www.crunchbase.com/funding_round/lootcakes-seed--6c8ad526,Lootcakes,https://www.crunchbase.com/organization/lootcakes,Seed,,,,2017-09-01
Series A - Tongdao,https://www.crunchbase.com/funding_round/tongdao-series-a--2ce542f0,Tongdao,https://www.crunchbase.com/organization/tongdao,Series A,,,,2017-06-28
Seed Round - Snapask,https://www.crunchbase.com/funding_round/appedu-seed--cb7c8ae2,Snapask,https://www.crunchbase.com/organization/appedu,Seed,5000000,USD,5000000,2017-06-01
Convertible Note - FASHORY,https://www.crunchbase.com/funding_round/fashory-convertible-note--df417a53,FASHORY,https://www.crunchbase.com/organization/fashory,Convertible Note,,,,2017-05-01
Convertible Note - 247tickets,https://www.crunchbase.com/funding_round/247tickets-convertible-note--4aaa39f9,247tickets,https://www.crunchbase.com/organization/247tickets,Convertible Note,,,,2017-04-27
Convertible Note - LUXSENS,https://www.crunchbase.com/funding_round/luxsens-convertible-note--89ba69ab,LUXSENS,https://www.crunchbase.com/organization/luxsens,Convertible Note,,,,2017-04-13
"Convertible Note - Clever Robot Labs, Inc.",https://www.crunchbase.com/funding_round/clever-robot-labs-inc-convertible-note--fdfaf82a,"Clever Robot Labs, Inc.",https://www.crunchbase.com/organization/clever-robot-labs-inc,Convertible Note,,,,2017-03-20
Seed Round - eFanswer,https://www.crunchbase.com/funding_round/efanswer-seed--155a891d,eFanswer,https://www.crunchbase.com/organization/efanswer,Seed,,,,2017-03-15
