Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series F - Souche,https://www.crunchbase.com/funding_round/souche-series-f--9f437a18,Souche,https://www.crunchbase.com/organization/souche,Series F,578000000,USD,578000000,2018-09-03
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--59b4a506,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,102000000,USD,102000000,2018-07-11
Series B - Citybox,https://www.crunchbase.com/funding_round/citybox-series-b--ec684d9e,Citybox,https://www.crunchbase.com/organization/citybox,Series B,25000000,USD,25000000,2017-12-21
Series D - Qingqing Jiajiao,https://www.crunchbase.com/funding_round/qingqing-jiajiao-series-d--c28fcd92,Qingqing Jiajiao,https://www.crunchbase.com/organization/qingqing-jiajiao,Series D,55000000,USD,55000000,2017-10-31
Series D - Changingedu,https://www.crunchbase.com/funding_round/changingedu-series-d--343e0811,Changingedu,https://www.crunchbase.com/organization/changingedu,Series D,55000000,USD,55000000,2017-10-30
Series D - Souche,https://www.crunchbase.com/funding_round/souche-series-d--22f3f5bf,Souche,https://www.crunchbase.com/organization/souche,Series D,180000000,USD,180000000,2017-05-11
Series B - I Believe,https://www.crunchbase.com/funding_round/i-believe-series-b--d9b71e7d,I Believe,https://www.crunchbase.com/organization/i-believe,Series B,200000000,CNY,29028840,2017-03-31
Venture Round - Chic Fresh,https://www.crunchbase.com/funding_round/chic-fresh-series-unknown--d609f8db,Chic Fresh,https://www.crunchbase.com/organization/chic-fresh,Venture - Series Unknown,30000000,USD,30000000,2016-05-11
Series C - Yummy Express,https://www.crunchbase.com/funding_round/yummy-express-series-c--fdbef306,Yummy Express,https://www.crunchbase.com/organization/yummy-express,Series C,10000000,USD,10000000,2016-04-20
Series A - I Believe,https://www.crunchbase.com/funding_round/i-believe-series-a--f01fee4c,I Believe,https://www.crunchbase.com/organization/i-believe,Series A,110000000,CNY,16791842,2016-03-01
Series B - QuanCheng,https://www.crunchbase.com/funding_round/quancheng-series-b--ac2c3330,QuanCheng,https://www.crunchbase.com/organization/quancheng,Series B,30000000,USD,30000000,2016-01-07
Series C - Fruitday,https://www.crunchbase.com/funding_round/fruitday-com-series-c--8798137e,Fruitday,https://www.crunchbase.com/organization/fruitday-com,Series C,70000000,USD,70000000,2015-05-25
"Series C - 111, Inc.",https://www.crunchbase.com/funding_round/111-inc-series-c--473e2b07,"111, Inc.",https://www.crunchbase.com/organization/111-inc,Series C,73000000,USD,73000000,2014-12-01
Series A - Weichaishi.com,https://www.crunchbase.com/funding_round/weichaishi-com-series-a--0c878c8d,Weichaishi.com,https://www.crunchbase.com/organization/weichaishi-com,Series A,3200000,USD,3200000,2014-09-15
Series A - Handpick Inc,https://www.crunchbase.com/funding_round/handpickfood-series-a--f7490175,Handpick Inc,https://www.crunchbase.com/organization/handpickfood,Series A,3000000,USD,3000000,2014-09-01
Series B - 1006.tv,https://www.crunchbase.com/funding_round/1006-tv-series-b--b6aeb740,1006.tv,https://www.crunchbase.com/organization/1006-tv,Series B,10000000,USD,10000000,2014-07-31
Series A - QuanCheng,https://www.crunchbase.com/funding_round/quancheng-series-a--1878f959,QuanCheng,https://www.crunchbase.com/organization/quancheng,Series A,,,,2014-05-01
Series B - Fruitday,https://www.crunchbase.com/funding_round/fruitday-com-series-b--02a1aba4,Fruitday,https://www.crunchbase.com/organization/fruitday-com,Series B,10000000,USD,10000000,2014-03-26
"Series B - 111, Inc.",https://www.crunchbase.com/funding_round/111-inc-series-b--31f07bda,"111, Inc.",https://www.crunchbase.com/organization/111-inc,Series B,9500000,USD,9500000,2013-12-01
Series A - FIELDS CHINA,https://www.crunchbase.com/funding_round/fields-china-series-a--8e670a8b,FIELDS CHINA,https://www.crunchbase.com/organization/fields-china,Series A,5000000,USD,5000000,2013-10-17
Series B - B5M.COM,https://www.crunchbase.com/funding_round/b5m-series-b--7790ba6c,B5M.COM,https://www.crunchbase.com/organization/b5m,Series B,16000000,USD,16000000,2013-10-08
Series B - Gshopper,https://www.crunchbase.com/funding_round/gshopper-series-b--9e33ebd2,Gshopper,https://www.crunchbase.com/organization/gshopper,Series B,16000000,USD,16000000,2013-06-20
Series A - Lumi Shanghai,https://www.crunchbase.com/funding_round/shanghai-lumi-information-technology-limited-company-series-a--e3a173e2,Lumi Shanghai,https://www.crunchbase.com/organization/shanghai-lumi-information-technology-limited-company,Series A,,,,2012-11-01
Venture Round - SteelSeries,https://www.crunchbase.com/funding_round/steelseries-series-unknown--b798156b,SteelSeries,https://www.crunchbase.com/organization/steelseries,Venture - Series Unknown,,,,2012-09-01
