Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Binance Support Number +1-(8OO)-777-(1992) Customer Service Phone Number USA,https://www.crunchbase.com/funding_round/certik-series-unknown--49d89914,Binance Support Number +1-(8OO)-777-(1992) Customer Service Phone Number USA,https://www.crunchbase.com/organization/certik,Venture - Series Unknown,,,,2018-10-09
Venture Round - BGOGO,https://www.crunchbase.com/funding_round/bgogo-29b2-series-unknown--d5554a1d,BGOGO,https://www.crunchbase.com/organization/bgogo-29b2,Venture - Series Unknown,,,,2018-09-18
Corporate Round - Bhex,https://www.crunchbase.com/funding_round/bhex-corporate-round--743b610a,Bhex,https://www.crunchbase.com/organization/bhex,Corporate Round,,,,2018-08-17
Venture Round - BLOCKCLOUD,https://www.crunchbase.com/funding_round/blockcloud-series-unknown--861be404,BLOCKCLOUD,https://www.crunchbase.com/organization/blockcloud,Venture - Series Unknown,,,,2018-07-16
Venture Round - DxChain,https://www.crunchbase.com/funding_round/dxchain-series-unknown--f3d9aa67,DxChain,https://www.crunchbase.com/organization/dxchain,Venture - Series Unknown,,,,2018-08-02
Venture Round - BiUP,https://www.crunchbase.com/funding_round/biup-series-unknown--1f48f760,BiUP,https://www.crunchbase.com/organization/biup,Venture - Series Unknown,,,,2018-05-27
Venture Round - Hashgard,https://www.crunchbase.com/funding_round/hashgard-series-unknown--3690d122,Hashgard,https://www.crunchbase.com/organization/hashgard,Venture - Series Unknown,,,,2018-06-25
Venture Round - Path Network,https://www.crunchbase.com/funding_round/path-network-series-unknown--f30d0b85,Path Network,https://www.crunchbase.com/organization/path-network,Venture - Series Unknown,,,,2018-07-09
Venture Round - Celer Network,https://www.crunchbase.com/funding_round/celer-network-series-unknown--7a813f47,Celer Network,https://www.crunchbase.com/organization/celer-network,Venture - Series Unknown,,,,2018-07-11
Venture Round - BeeStore,https://www.crunchbase.com/funding_round/beestore-series-unknown--15d4634b,BeeStore,https://www.crunchbase.com/organization/beestore,Venture - Series Unknown,,,,2018-07-10
Venture Round - QuarkChain,https://www.crunchbase.com/funding_round/quarkchain-series-unknown--dd54d9ca,QuarkChain,https://www.crunchbase.com/organization/quarkchain,Venture - Series Unknown,,,,2018-06-13
Venture Round - CarBlock,https://www.crunchbase.com/funding_round/carblock-series-unknown--0b7baa50,CarBlock,https://www.crunchbase.com/organization/carblock,Venture - Series Unknown,,,,2018-05-28
Venture Round - Coinsuper,https://www.crunchbase.com/funding_round/coinsuper-series-unknown--24a7e413,Coinsuper,https://www.crunchbase.com/organization/coinsuper,Venture - Series Unknown,,,,2018-07-03
Venture Round - Origo Network,https://www.crunchbase.com/funding_round/origo-network-series-unknown--2e09af47,Origo Network,https://www.crunchbase.com/organization/origo-network,Venture - Series Unknown,,,,2018-08-07
Venture Round - CoinMex,https://www.crunchbase.com/funding_round/coinmex-series-unknown--c172f579,CoinMex,https://www.crunchbase.com/organization/coinmex,Venture - Series Unknown,,,,2018-07-30
Venture Round - Nervos Network,https://www.crunchbase.com/funding_round/nervos-series-unknown--510e8890,Nervos Network,https://www.crunchbase.com/organization/nervos,Venture - Series Unknown,,,,2018-07-18
Venture Round - Bizkey,https://www.crunchbase.com/funding_round/bizkey-series-unknown--7fc4d0d0,Bizkey,https://www.crunchbase.com/organization/bizkey,Venture - Series Unknown,,,,2018-08-03
Venture Round - Ultrain,https://www.crunchbase.com/funding_round/ultrain-series-unknown--d61c43ed,Ultrain,https://www.crunchbase.com/organization/ultrain,Venture - Series Unknown,,,,2018-07-30
Venture Round - Cocos,https://www.crunchbase.com/funding_round/cocos-series-unknown--4e197d6e,Cocos,https://www.crunchbase.com/organization/cocos,Venture - Series Unknown,,,,2018-07-10
