Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Riseye,https://www.crunchbase.com/funding_round/riseye-series-a--4c814219,Riseye,https://www.crunchbase.com/organization/riseye,Series A,,,,2018-09-21
Series A - Yetan Finance,https://www.crunchbase.com/funding_round/yetan-finance-series-a--f46f0714,Yetan Finance,https://www.crunchbase.com/organization/yetan-finance,Series A,40000000,CNY,5862437,2018-09-03
Series C - LiWeiJia,https://www.crunchbase.com/funding_round/liweijia-series-c--aee43849,LiWeiJia,https://www.crunchbase.com/organization/liweijia,Series C,,,,2018-07-11
Series C - Biocytogen,https://www.crunchbase.com/funding_round/biocytogen-series-c--eb3f5a52,Biocytogen,https://www.crunchbase.com/organization/biocytogen,Series C,410000000,CNY,65250258,2018-04-10
Series A - KBP Biosciences,https://www.crunchbase.com/funding_round/kbp-biosciences-series-a--e7beaf65,KBP Biosciences,https://www.crunchbase.com/organization/kbp-biosciences,Series A,76000000,USD,76000000,2018-01-05
Series B - Huaqiang PCB,https://www.crunchbase.com/funding_round/huaqiang-pcb-series-b--4da92ebb,Huaqiang PCB,https://www.crunchbase.com/organization/huaqiang-pcb,Series B,,,,2018-07-13
Series D - Taimei Medical Technology,https://www.crunchbase.com/funding_round/taimei-medical-technology-series-d--6e718f2d,Taimei Medical Technology,https://www.crunchbase.com/organization/taimei-medical-technology,Series D,300000000,CNY,47808764,2018-04-13
Angel Round - Gippro,https://www.crunchbase.com/funding_round/gippro-angel--b10caf9e,Gippro,https://www.crunchbase.com/organization/gippro,Angel,,,,2018-07-19
Seed Round - Riseye,https://www.crunchbase.com/funding_round/riseye-seed--7badf791,Riseye,https://www.crunchbase.com/organization/riseye,Seed,,,,2018-02-28
Angel Round - SemiTrip,https://www.crunchbase.com/funding_round/semitrip-angel--99e3193a,SemiTrip,https://www.crunchbase.com/organization/semitrip,Angel,,,,2018-06-06
Series B - Hangzhou GreenCloud Tech Co.,https://www.crunchbase.com/funding_round/hangzhou-green-cloud-technology-co-series-b--dc45cc51,Hangzhou GreenCloud Tech Co.,https://www.crunchbase.com/organization/hangzhou-green-cloud-technology-co,Series B,,,,2018-05-08
Series A - RingDoll,https://www.crunchbase.com/funding_round/ringdoll-series-a--b6d741ce,RingDoll,https://www.crunchbase.com/organization/ringdoll,Series A,4800000,USD,4800000,2018-03-23
Series C - ImbaTV,https://www.crunchbase.com/funding_round/imbatv-series-c--11d26601,ImbaTV,https://www.crunchbase.com/organization/imbatv,Series C,,,,2018-02-09
Seed Round - Wetalk TV,https://www.crunchbase.com/funding_round/wetalk-tv-seed--8b36d363,Wetalk TV,https://www.crunchbase.com/organization/wetalk-tv,Seed,,,,2017-12-29
Series B - Liking Fit,https://www.crunchbase.com/funding_round/liking-fit-series-b--af519476,Liking Fit,https://www.crunchbase.com/organization/liking-fit,Series B,50000000,CNY,7766507,2018-01-15
Series B - Shanxiuxia,https://www.crunchbase.com/funding_round/shanxiuxia-series-b--9a1055ca,Shanxiuxia,https://www.crunchbase.com/organization/shanxiuxia,Series B,15000000,USD,15000000,2017-11-29
Series C - Geneseeq,https://www.crunchbase.com/funding_round/geneseeq-series-c--02fa7fc4,Geneseeq,https://www.crunchbase.com/organization/geneseeq,Series C,,,,2017-07-21
Series B - Haochushi,https://www.crunchbase.com/funding_round/haochushi-series-b--d8d4d0da,Haochushi,https://www.crunchbase.com/organization/haochushi,Series B,16000000,USD,16000000,2015-08-06
