Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - UBTech Robotics,https://www.crunchbase.com/funding_round/ubtech-series-c--d7b76e2a,UBTech Robotics,https://www.crunchbase.com/organization/ubtech,Series C,820000000,USD,820000000,2018-05-03
Seed Round - Shieldpay,https://www.crunchbase.com/funding_round/shieldpay-seed--7e6611f0,Shieldpay,https://www.crunchbase.com/organization/shieldpay,Seed,6400000,USD,6400000,2018-06-01
Series B - Hsuanzhang,https://www.crunchbase.com/funding_round/hsuanzhang-series-b--bdc38f2e,Hsuanzhang,https://www.crunchbase.com/organization/hsuanzhang,Series B,200000000,CNY,30071118,2017-10-03
Series B - Nav Technologies,https://www.crunchbase.com/funding_round/creditera-series-b--8f321246,Nav Technologies,https://www.crunchbase.com/organization/creditera,Series B,13849972,USD,13849972,2017-05-24
Series D - Circle,https://www.crunchbase.com/funding_round/circle-2-series-d--dd1208e0,Circle,https://www.crunchbase.com/organization/circle-2,Series D,60000000,USD,60000000,2016-05-13
Series B - Chedai.com,https://www.crunchbase.com/funding_round/chedai-com-series-b--4386e6aa,Chedai.com,https://www.crunchbase.com/organization/chedai-com,Series B,,,,2017-01-06
Series D - Tradeshift,https://www.crunchbase.com/funding_round/tradeshift-series-d--30d12564,Tradeshift,https://www.crunchbase.com/organization/tradeshift,Series D,75000000,USD,75000000,2016-06-09
Series D - Marqeta,https://www.crunchbase.com/funding_round/marqeta-series-d--0316aba2,Marqeta,https://www.crunchbase.com/organization/marqeta,Series D,25000000,USD,25000000,2017-06-12
Series A - Upgrade Inc.,https://www.crunchbase.com/funding_round/upgrade-series-a--a8456b47,Upgrade Inc.,https://www.crunchbase.com/organization/upgrade,Series A,60000000,USD,60000000,2017-03-13
Series B - WeConvene,https://www.crunchbase.com/funding_round/weconvene-series-b--fdde6b10,WeConvene,https://www.crunchbase.com/organization/weconvene,Series B,12500000,USD,12500000,2016-07-29
Series D - Souche,https://www.crunchbase.com/funding_round/souche-series-d--22f3f5bf,Souche,https://www.crunchbase.com/organization/souche,Series D,180000000,USD,180000000,2017-05-11
