Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Meiweibuyongdeng,https://www.crunchbase.com/funding_round/meiweibuyongdeng-series-d--3b7dede5,Meiweibuyongdeng,https://www.crunchbase.com/organization/meiweibuyongdeng,Series D,400000000,CNY,63243106,2018-05-11
Series B - Hinabian,https://www.crunchbase.com/funding_round/hainabian-series-b--82811d3e,Hinabian,https://www.crunchbase.com/organization/hainabian,Series B,,,,2018-08-17
Series E - Tujia,https://www.crunchbase.com/funding_round/tujia-series-e--269a361f,Tujia,https://www.crunchbase.com/organization/tujia,Series E,300000000,USD,300000000,2017-10-09
Corporate Round - LY.com,https://www.crunchbase.com/funding_round/ly-com-corporate-round--14764c1e,LY.com,https://www.crunchbase.com/organization/ly-com,Corporate Round,200000000,USD,200000000,2014-04-28
Post-IPO Equity - China Eastern Airlines,https://www.crunchbase.com/funding_round/china-eastern-airlines-post-ipo-equity--8b25fcff,China Eastern Airlines,https://www.crunchbase.com/organization/china-eastern-airlines,Post-IPO Equity,3000000000,CNY,463059219,2016-04-21
Series C - Tujia,https://www.crunchbase.com/funding_round/tujia-series-c--3a27faf0,Tujia,https://www.crunchbase.com/organization/tujia,Series C,100000000,USD,100000000,2014-06-18
Post-IPO Equity - MakeMyTrip.com,https://www.crunchbase.com/funding_round/makemytrip-com-post-ipo-equity--1e65296e,MakeMyTrip.com,https://www.crunchbase.com/organization/makemytrip-com,Post-IPO Equity,330000000,USD,330000000,2017-05-03
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--3d2b6c64,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,500000000,USD,500000000,2015-05-08
Series E - eHi Car Rental,https://www.crunchbase.com/funding_round/ehi-car-rental-series-e--00ebbd24,eHi Car Rental,https://www.crunchbase.com/organization/ehi-car-rental,Series E,102050000,USD,102050000,2013-12-01
Series E - eHi Car Rental,https://www.crunchbase.com/funding_round/ehi-car-rental-series-e--d96c01da,eHi Car Rental,https://www.crunchbase.com/organization/ehi-car-rental,Series E,25000000,USD,25000000,2014-04-01
Post-IPO Equity - MakeMyTrip.com,https://www.crunchbase.com/funding_round/makemytrip-com-post-ipo-equity--c6be719c,MakeMyTrip.com,https://www.crunchbase.com/organization/makemytrip-com,Post-IPO Equity,180000000,USD,180000000,2016-01-08
Series C - Yidao Yongche,https://www.crunchbase.com/funding_round/yongche-series-c--9902b18e,Yidao Yongche,https://www.crunchbase.com/organization/yongche,Series C,60000000,USD,60000000,2013-12-18
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--296de362,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,148000000,USD,148000000,2014-12-15
Series D - Tujia,https://www.crunchbase.com/funding_round/tujia-series-d--7adb3132,Tujia,https://www.crunchbase.com/organization/tujia,Series D,300000000,USD,300000000,2015-08-03
