Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Panshi,https://www.crunchbase.com/funding_round/panshi-series-d--39fa79b9,Panshi,https://www.crunchbase.com/organization/panshi,Series D,2250000000,CNY,324805950,2018-10-17
Series B - Bliss Mall,https://www.crunchbase.com/funding_round/bliss-mall-series-b--c24ef2b9,Bliss Mall,https://www.crunchbase.com/organization/bliss-mall,Series B,59000000,USD,59000000,2018-07-25
Series C - Winicssec,https://www.crunchbase.com/funding_round/winicssec-series-c--3b66dbae,Winicssec,https://www.crunchbase.com/organization/winicssec,Series C,,,,2018-04-11
Series A - Gongguizhijia,https://www.crunchbase.com/funding_round/gongguizhijia-series-a--8ac6f684,Gongguizhijia,https://www.crunchbase.com/organization/gongguizhijia,Series A,,,,2018-06-21
Series B - Drore Technology,https://www.crunchbase.com/funding_round/drore-technology-series-b--ea215dae,Drore Technology,https://www.crunchbase.com/organization/drore-technology,Series B,,,,2018-05-04
Series B - IdentityMind,https://www.crunchbase.com/funding_round/identitymind-global-series-b--8aa7a2b7,IdentityMind,https://www.crunchbase.com/organization/identitymind-global,Series B,8500000,USD,8500000,2014-12-11
Series B - Caicloud,https://www.crunchbase.com/funding_round/caicloud-series-b--d6c4512c,Caicloud,https://www.crunchbase.com/organization/caicloud,Series B,,,,2018-02-27
Series E - Kateeva,https://www.crunchbase.com/funding_round/kateeva-series-e--39f1a783,Kateeva,https://www.crunchbase.com/organization/kateeva,Series E,88000000,USD,88000000,2016-05-19
Series A - HanSight,https://www.crunchbase.com/funding_round/hansight-series-a--4f545f2c,HanSight,https://www.crunchbase.com/organization/hansight,Series A,30000000,CNY,4559980,2016-06-01
Series C - Zhubajie,https://www.crunchbase.com/funding_round/zhubajie-com-series-c--ca885b6c,Zhubajie,https://www.crunchbase.com/organization/zhubajie-com,Series C,2600000000,CNY,420001641,2015-06-15
Angel Round - Caicloud,https://www.crunchbase.com/funding_round/caicloud-angel--d59d29bf,Caicloud,https://www.crunchbase.com/organization/caicloud,Angel,1300000,USD,1300000,2015-10-01
Series A - Caicloud,https://www.crunchbase.com/funding_round/caicloud-series-a--e7412b26,Caicloud,https://www.crunchbase.com/organization/caicloud,Series A,6000000,USD,6000000,2017-03-06
Series D - Vobile,https://www.crunchbase.com/funding_round/vobile-series-d--c69fa8d9,Vobile,https://www.crunchbase.com/organization/vobile,Series D,17100000,USD,17100000,2015-01-01
