Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Eartharbor,https://www.crunchbase.com/funding_round/eartharbor-seed--5a0fd4c4,Eartharbor,https://www.crunchbase.com/organization/eartharbor,Seed,,,,2018-08-13
Series A - AISense Inc.,https://www.crunchbase.com/funding_round/aisense-inc-series-a--0cd74768,AISense Inc.,https://www.crunchbase.com/organization/aisense-inc,Series A,10000000,USD,10000000,2017-11-20
Seed Round - Haopu Technology,https://www.crunchbase.com/funding_round/haopu-technology-seed--c8f340eb,Haopu Technology,https://www.crunchbase.com/organization/haopu-technology,Seed,28000000,CNY,4258652,2017-09-20
Seed Round - Kubos,https://www.crunchbase.com/funding_round/kubos-seed--cec36c9e,Kubos,https://www.crunchbase.com/organization/kubos,Seed,1650000,USD,1650000,2017-04-06
Seed Round - AISense Inc.,https://www.crunchbase.com/funding_round/aisense-inc-seed--2410aa24,AISense Inc.,https://www.crunchbase.com/organization/aisense-inc,Seed,3000000,USD,3000000,2016-09-15
Seed Round - Verse,https://www.crunchbase.com/funding_round/verse-2-seed--3bd525fc,Verse,https://www.crunchbase.com/organization/verse-2,Seed,1800000,USD,1800000,2015-08-15
Series B - Lomark,https://www.crunchbase.com/funding_round/lomark-series-b--79fda287,Lomark,https://www.crunchbase.com/organization/lomark,Series B,30000000,USD,30000000,2014-10-28
Series D - Altobeam,https://www.crunchbase.com/funding_round/altobeam-series-d--fe7d9e1c,Altobeam,https://www.crunchbase.com/organization/altobeam,Series D,6000000,USD,6000000,2012-05-14
Venture Round - Lomark,https://www.crunchbase.com/funding_round/lomark-series-unknown--f179511f,Lomark,https://www.crunchbase.com/organization/lomark,Venture - Series Unknown,,,,2011-05-01
Series C - Altobeam,https://www.crunchbase.com/funding_round/altobeam-series-c--1752a72a,Altobeam,https://www.crunchbase.com/organization/altobeam,Series C,6000000,USD,6000000,2010-12-12
Series D - Splashtop,https://www.crunchbase.com/funding_round/devicevm-series-d--216c9d6e,Splashtop,https://www.crunchbase.com/organization/devicevm,Series D,10000000,USD,10000000,2010-06-02
Series B - RotoHog,https://www.crunchbase.com/funding_round/rotohog-series-b--56d21bad,RotoHog,https://www.crunchbase.com/organization/rotohog,Series B,2000000,USD,2000000,2009-03-10
Series B - Fastpoint,https://www.crunchbase.com/funding_round/fastpoint-games-2-series-b--30fddf06,Fastpoint,https://www.crunchbase.com/organization/fastpoint-games-2,Series B,2000000,USD,2000000,2009-03-05
Venture Round - Altobeam,https://www.crunchbase.com/funding_round/altobeam-series-unknown--1c7dfb70,Altobeam,https://www.crunchbase.com/organization/altobeam,Venture - Series Unknown,8000000,USD,8000000,2009-02-12
Series C - Splashtop,https://www.crunchbase.com/funding_round/devicevm-series-c--679d6564,Splashtop,https://www.crunchbase.com/organization/devicevm,Series C,15000000,USD,15000000,2008-08-19
Series C - Vital Therapies,https://www.crunchbase.com/funding_round/vital-therapies-series-c--046950ac,Vital Therapies,https://www.crunchbase.com/organization/vital-therapies,Series C,28100000,USD,28100000,2007-10-10
Series B - PPTV,https://www.crunchbase.com/funding_round/pptv-series-b--26e8c55b,PPTV,https://www.crunchbase.com/organization/pptv,Series B,21000000,USD,21000000,2007-09-27
Series A - RotoHog,https://www.crunchbase.com/funding_round/rotohog-series-a--44f4754e,RotoHog,https://www.crunchbase.com/organization/rotohog,Series A,6000000,USD,6000000,2007-08-01
Series A - Fastpoint,https://www.crunchbase.com/funding_round/fastpoint-games-2-series-a--ee5d315a,Fastpoint,https://www.crunchbase.com/organization/fastpoint-games-2,Series A,6110000,USD,6110000,2007-06-27
Series C - YeePay,https://www.crunchbase.com/funding_round/yeepay-series-c--5d174be4,YeePay,https://www.crunchbase.com/organization/yeepay,Series C,3350000,USD,3350000,2006-12-01
Series B - YeePay,https://www.crunchbase.com/funding_round/yeepay-series-b--67a2f8ec,YeePay,https://www.crunchbase.com/organization/yeepay,Series B,6000000,USD,6000000,2006-08-30
Series A - Miartech (Shanghai),https://www.crunchbase.com/funding_round/miartech-shanghai-series-a--237d37c7,Miartech (Shanghai),https://www.crunchbase.com/organization/miartech-shanghai,Series A,6000000,USD,6000000,2006-04-19
Series A - YeePay,https://www.crunchbase.com/funding_round/yeepay-series-a--f131c9f6,YeePay,https://www.crunchbase.com/organization/yeepay,Series A,2500000,USD,2500000,2005-01-01
