Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Change Clothing Technology,https://www.crunchbase.com/funding_round/change-clothing-technology-seed--6b79f724,Change Clothing Technology,https://www.crunchbase.com/organization/change-clothing-technology,Seed,25000000,CNY,3607711,2018-10-19
Series B - WeShare,https://www.crunchbase.com/funding_round/weshare-b67b-series-b--faf10f4d,WeShare,https://www.crunchbase.com/organization/weshare-b67b,Series B,90000000,USD,90000000,2018-09-30
Seed Round - Life Perfusor Medical Technology (Laipu Medical),https://www.crunchbase.com/funding_round/hangzhou-laipu-medical-technology-seed--0029f88f,Life Perfusor Medical Technology (Laipu Medical),https://www.crunchbase.com/organization/hangzhou-laipu-medical-technology,Seed,,,,2018-08-21
Angel Round - Champion rink,https://www.crunchbase.com/funding_round/champion-rink-angel--7c4790fc,Champion rink,https://www.crunchbase.com/organization/champion-rink,Angel,,,,2018-08-21
Series C - Yunding Technology,https://www.crunchbase.com/funding_round/yunding-technology-series-c--4a091c87,Yunding Technology,https://www.crunchbase.com/organization/yunding-technology,Series C,40000000,USD,40000000,2018-07-12
Series C - LiWeiJia,https://www.crunchbase.com/funding_round/liweijia-series-c--aee43849,LiWeiJia,https://www.crunchbase.com/organization/liweijia,Series C,,,,2018-07-11
Series A - iYunbao,https://www.crunchbase.com/funding_round/iyunbao-series-a--71e1c916,iYunbao,https://www.crunchbase.com/organization/iyunbao,Series A,,,,2018-07-09
Series B - Adlai Nortye,https://www.crunchbase.com/funding_round/adlai-nortye-series-b--e988646b,Adlai Nortye,https://www.crunchbase.com/organization/adlai-nortye,Series B,53000000,USD,53000000,2018-06-26
Series B - GumpCome,https://www.crunchbase.com/funding_round/gumpcome-series-b--c63febb7,GumpCome,https://www.crunchbase.com/organization/gumpcome,Series B,15000000,USD,15000000,2017-11-13
Series B - Tmeng.cn,https://www.crunchbase.com/funding_round/tmeng-cn-series-b--800c6447,Tmeng.cn,https://www.crunchbase.com/organization/tmeng-cn,Series B,13500000,USD,13500000,2017-11-13
Series A - Mobrella,https://www.crunchbase.com/funding_round/mobrella-series-a--56d0101a,Mobrella,https://www.crunchbase.com/organization/mobrella,Series A,,,,2017-10-18
Series A - Xiaodian,https://www.crunchbase.com/funding_round/xiaodian-series-a--c48a2339,Xiaodian,https://www.crunchbase.com/organization/xiaodian,Series A,100000000,CNY,14510247,2017-04-11
Series B - Qingsongchou Network Technology,https://www.crunchbase.com/funding_round/qingsongchou-network-technology-series-b--18d34b11,Qingsongchou Network Technology,https://www.crunchbase.com/organization/qingsongchou-network-technology,Series B,20000000,USD,20000000,2016-06-03
Series B - AccuraGen Holdings,https://www.crunchbase.com/funding_round/accuragen-holdings-series-b--3f270047,AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,Series B,40000000,USD,40000000,2016-06-01
Series B - Weiche,https://www.crunchbase.com/funding_round/weiche-series-b--2a0e0f00,Weiche,https://www.crunchbase.com/organization/weiche,Series B,24000000,USD,24000000,2016-04-20
Series B - MyMusicTaste,https://www.crunchbase.com/funding_round/jjsmedia-series-b--e19d4ff6,MyMusicTaste,https://www.crunchbase.com/organization/jjsmedia,Series B,6000000,USD,6000000,2016-01-08
Series A - Mocha.cn,https://www.crunchbase.com/funding_round/mocha-cn-series-a--ff47e914,Mocha.cn,https://www.crunchbase.com/organization/mocha-cn,Series A,7600000,USD,7600000,2015-12-01
Series A - Epet.com,https://www.crunchbase.com/funding_round/epet-com-series-a--b18687b0,Epet.com,https://www.crunchbase.com/organization/epet-com,Series A,50000000,CNY,8081604,2015-06-10
Series A - SMARTSTUDY,https://www.crunchbase.com/funding_round/smartstudy-series-a--daecd6c8,SMARTSTUDY,https://www.crunchbase.com/organization/smartstudy,Series A,12000000,USD,12000000,2015-06-01
Series B - Mofang Gongyu,https://www.crunchbase.com/funding_round/mofang-gongyu-series-b--3ad53cf9,Mofang Gongyu,https://www.crunchbase.com/organization/mofang-gongyu,Series B,200000000,USD,200000000,2015-05-21
Series A - Lamahui,https://www.crunchbase.com/funding_round/lamahui-series-a--780e83ea,Lamahui,https://www.crunchbase.com/organization/lamahui,Series A,14600000,USD,14600000,2014-08-15
Series C - Neurotron Biotechnology,https://www.crunchbase.com/funding_round/neurotron-biotechnology-series-c--f9b0a204,Neurotron Biotechnology,https://www.crunchbase.com/organization/neurotron-biotechnology,Series C,16500000,USD,16500000,2013-12-27
Series C - Nurotron Biotechnology,https://www.crunchbase.com/funding_round/nurotron-biotechnology-series-c--9a23dd08,Nurotron Biotechnology,https://www.crunchbase.com/organization/nurotron-biotechnology,Series C,16236400,USD,16236400,2013-12-01
Series B - TaoTaoSou,https://www.crunchbase.com/funding_round/taotaosou-series-b--70fc134b,TaoTaoSou,https://www.crunchbase.com/organization/taotaosou,Series B,10000000,USD,10000000,2013-06-01
Series A - Mofang Gongyu,https://www.crunchbase.com/funding_round/mofang-gongyu-series-a--7307d188,Mofang Gongyu,https://www.crunchbase.com/organization/mofang-gongyu,Series A,,,,2013-01-01
Series B - 91 Boyuan Wireless,https://www.crunchbase.com/funding_round/91-boyuan-wireles-series-b--83eebe05,91 Boyuan Wireless,https://www.crunchbase.com/organization/91-boyuan-wireles,Series B,30000000,USD,30000000,2011-12-01
Venture Round - Prudent Energy,https://www.crunchbase.com/funding_round/prudent-energy-series-unknown--6dcd39f9,Prudent Energy,https://www.crunchbase.com/organization/prudent-energy,Venture - Series Unknown,29500000,USD,29500000,2011-10-12
Series A - The miqi.cn,https://www.crunchbase.com/funding_round/miqi-cn-series-a--1c8caee7,The miqi.cn,https://www.crunchbase.com/organization/miqi-cn,Series A,10000000,USD,10000000,2011-09-01
Venture Round - Jiangsu Sanhuan Industrial (Group),https://www.crunchbase.com/funding_round/jiangsu-sanhuan-industrial-group-series-unknown--e3cc1a73,Jiangsu Sanhuan Industrial (Group),https://www.crunchbase.com/organization/jiangsu-sanhuan-industrial-group,Venture - Series Unknown,10000000,CNY,1567118,2011-09-01
Series B - Centec Networks,https://www.crunchbase.com/funding_round/centec-networks-series-b--d82fa158,Centec Networks,https://www.crunchbase.com/organization/centec-networks,Series B,13000000,USD,13000000,2011-08-01
Series D - Letao,https://www.crunchbase.com/funding_round/letao-series-d--85a80492,Letao,https://www.crunchbase.com/organization/letao,Series D,30000000,USD,30000000,2011-01-01
Series C - Letao,https://www.crunchbase.com/funding_round/letao-series-c--22e6c44a,Letao,https://www.crunchbase.com/organization/letao,Series C,32472800,USD,32472800,2010-12-01
Series B - Letao,https://www.crunchbase.com/funding_round/letao-series-b--429a7694,Letao,https://www.crunchbase.com/organization/letao,Series B,10000000,USD,10000000,2010-06-01
Series A - Letao,https://www.crunchbase.com/funding_round/letao-series-a--91ed2b81,Letao,https://www.crunchbase.com/organization/letao,Series A,2000000,USD,2000000,2010-04-01
Series C - Prudent Energy,https://www.crunchbase.com/funding_round/prudent-energy-series-c--7f0b3943,Prudent Energy,https://www.crunchbase.com/organization/prudent-energy,Series C,22000000,USD,22000000,2010-03-02
Venture Round - 51 Auto,https://www.crunchbase.com/funding_round/51-auto-series-unknown--b162ac17,51 Auto,https://www.crunchbase.com/organization/51-auto,Venture - Series Unknown,4500000,USD,4500000,2008-06-01
Series A - 0-6.com,https://www.crunchbase.com/funding_round/0-6-com-series-a--5727acca,0-6.com,https://www.crunchbase.com/organization/0-6-com,Series A,2000000,USD,2000000,2008-03-19
Series A - ICE Entertainment,https://www.crunchbase.com/funding_round/ice-information-technology-shanghai-co-ltd-series-a--4931c64c,ICE Entertainment,https://www.crunchbase.com/organization/ice-information-technology-shanghai-co-ltd,Series A,8500000,USD,8500000,2007-06-01
Post-IPO Equity - Ku6,https://www.crunchbase.com/funding_round/ku6-post-ipo-equity--fe9cc9da,Ku6,https://www.crunchbase.com/organization/ku6,Post-IPO Equity,10000000,USD,10000000,2007-05-01
Series A - Lucky Pai,https://www.crunchbase.com/funding_round/lucky-pai-series-a--17c5643a,Lucky Pai,https://www.crunchbase.com/organization/lucky-pai,Series A,15000000,USD,15000000,2006-09-30
