Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - HaoStay,https://www.crunchbase.com/funding_round/haoedu-inc-seed--e04b2cf8,HaoStay,https://www.crunchbase.com/organization/haoedu-inc,Seed,,,,2018-10-16
Angel Round - VSBUY,https://www.crunchbase.com/funding_round/vsbuy-angel--011a745d,VSBUY,https://www.crunchbase.com/organization/vsbuy,Angel,10000000,CNY,1444189,2018-10-10
Seed Round - Benpaobao,https://www.crunchbase.com/funding_round/benpaobao-seed--c2c77c52,Benpaobao,https://www.crunchbase.com/organization/benpaobao,Seed,10000000,CNY,1460600,2018-09-20
Seed Round - Koku,https://www.crunchbase.com/funding_round/koku-seed--75a87234,Koku,https://www.crunchbase.com/organization/koku,Seed,250000,USD,250000,2017-10-01
Series A - Lime,https://www.crunchbase.com/funding_round/limebike-series-a--7f8ae7e7,Lime,https://www.crunchbase.com/organization/limebike,Series A,12000000,USD,12000000,2017-03-15
Seed Round - Koku,https://www.crunchbase.com/funding_round/koku-seed--3a1ff2e7,Koku,https://www.crunchbase.com/organization/koku,Seed,250000,USD,250000,2016-12-01
Seed Round - HaoStay,https://www.crunchbase.com/funding_round/haoedu-inc-seed--45daa02a,HaoStay,https://www.crunchbase.com/organization/haoedu-inc,Seed,1000000,USD,1000000,2015-10-01
Angel Round - BlueStone Securities,https://www.crunchbase.com/funding_round/bluestone-securities-angel--c4a375ea,BlueStone Securities,https://www.crunchbase.com/organization/bluestone-securities,Angel,1000000,USD,1000000,2015-03-15
Angel Round - VentureShares,https://www.crunchbase.com/funding_round/venture-shares-angel--e53ef7ec,VentureShares,https://www.crunchbase.com/organization/venture-shares,Angel,2000000,USD,2000000,2015-01-09
Seed Round - Oculii,https://www.crunchbase.com/funding_round/oculii-seed--98cf6cb7,Oculii,https://www.crunchbase.com/organization/oculii,Seed,3400000,USD,3400000,2015-01-08
Angel Round - Angel Club,https://www.crunchbase.com/funding_round/angel-club-angel--86e52cb5,Angel Club,https://www.crunchbase.com/organization/angel-club,Angel,300000,USD,300000,2014-11-01
Seed Round - EnergyStone Games,https://www.crunchbase.com/funding_round/energystone-games-灵石游戏-seed--b89553f3,EnergyStone Games,https://www.crunchbase.com/organization/energystone-games-灵石游戏,Seed,,,,2014-08-09
Angel Round - Qiniu Internet Finance,https://www.crunchbase.com/funding_round/qiniu-internet-finance-angel--b991ab23,Qiniu Internet Finance,https://www.crunchbase.com/organization/qiniu-internet-finance,Angel,2000000,USD,2000000,2014-07-14
Angel Round - Weiche Tech,https://www.crunchbase.com/funding_round/weiche-tech-喂车科技-angel--27b0cd2e,Weiche Tech,https://www.crunchbase.com/organization/weiche-tech-喂车科技,Angel,,,,2014-06-16
Angel Round - Grape Life,https://www.crunchbase.com/funding_round/grape-life-angel--4a78c78a,Grape Life,https://www.crunchbase.com/organization/grape-life,Angel,1000000,USD,1000000,2014-04-20
Angel Round - Wanjee Operation and Maintenance,https://www.crunchbase.com/funding_round/wanjee-operation-and-maintenance-angel--adb05bc2,Wanjee Operation and Maintenance,https://www.crunchbase.com/organization/wanjee-operation-and-maintenance,Angel,3000000,CNY,483882,2014-04-01
Venture Round - Chuguobang,https://www.crunchbase.com/funding_round/chuguobang-series-unknown--418f5da0,Chuguobang,https://www.crunchbase.com/organization/chuguobang,Venture - Series Unknown,3000000,CNY,483882,2014-04-01
Venture Round - Fangxinmei,https://www.crunchbase.com/funding_round/fangxinmei-series-unknown--a48c52a1,Fangxinmei,https://www.crunchbase.com/organization/fangxinmei,Venture - Series Unknown,4000000,CNY,659478,2014-01-01
Angel Round - WheelNet,https://www.crunchbase.com/funding_round/wheelnet-angel--820d7c4b,WheelNet,https://www.crunchbase.com/organization/wheelnet,Angel,10000000,CNY,1633315,2013-08-16
Seed Round - Lagou,https://www.crunchbase.com/funding_round/lagou-seed--859676da,Lagou,https://www.crunchbase.com/organization/lagou,Seed,,,,2013-07-17
Angel Round - Kuaizi Technology,https://www.crunchbase.com/funding_round/kuaizi-tech-angel--6ac0ebdf,Kuaizi Technology,https://www.crunchbase.com/organization/kuaizi-tech,Angel,,,,2013-03-28
Angel Round - Fish Ball Technology,https://www.crunchbase.com/funding_round/fish-ball-technology-angel--1ef1597d,Fish Ball Technology,https://www.crunchbase.com/organization/fish-ball-technology,Angel,,,,2013-03-24
Seed Round - Autotiming,https://www.crunchbase.com/funding_round/autotiming-seed--8de9c2b8,Autotiming,https://www.crunchbase.com/organization/autotiming,Seed,,,,2013-01-01
Series B - Changba,https://www.crunchbase.com/funding_round/changba-series-b--dda77ec4,Changba,https://www.crunchbase.com/organization/changba,Series B,16000000,USD,16000000,2012-08-14
Seed Round - Jinfuzi,https://www.crunchbase.com/funding_round/jinfuzi-seed--0dcff08a,Jinfuzi,https://www.crunchbase.com/organization/jinfuzi,Seed,,,,2012-07-17
Angel Round - FangDD.com,https://www.crunchbase.com/funding_round/fangdd-angel--10d25d3c,FangDD.com,https://www.crunchbase.com/organization/fangdd,Angel,1000000,USD,1000000,2012-07-14
Angel Round - Com4Loves,https://www.crunchbase.com/funding_round/com4loves-angel--b8b2e8b9,Com4Loves,https://www.crunchbase.com/organization/com4loves,Angel,,,,2012-04-14
Seed Round - Jiwu,https://www.crunchbase.com/funding_round/jiwu-吉屋网-seed--c5a5c6ce,Jiwu,https://www.crunchbase.com/organization/jiwu-吉屋网,Seed,4000000,CNY,625941,2011-09-06
Venture Round - Taomee,https://www.crunchbase.com/funding_round/taomee-series-unknown--b878e147,Taomee,https://www.crunchbase.com/organization/taomee,Venture - Series Unknown,,,,2011-06-01
Seed Round - Inveno,https://www.crunchbase.com/funding_round/inveno-seed--5fe36660,Inveno,https://www.crunchbase.com/organization/inveno,Seed,,,,2011-01-01
Series C - 7Road,https://www.crunchbase.com/funding_round/shenzhen-7road-technology-co-ltd-series-c--a8f82fc5,7Road,https://www.crunchbase.com/organization/shenzhen-7road-technology-co-ltd,Series C,,,,2011-01-01
Venture Round - QVOD Technology,https://www.crunchbase.com/funding_round/shenzhen-qvod-technology-co-ltd-series-unknown--b37d2c7a,QVOD Technology,https://www.crunchbase.com/organization/shenzhen-qvod-technology-co-ltd,Venture - Series Unknown,,,,2011-01-01
Venture Round - Taomee,https://www.crunchbase.com/funding_round/taomee-series-unknown--1f85d207,Taomee,https://www.crunchbase.com/organization/taomee,Venture - Series Unknown,,,,2011-01-01
Seed Round - ZenGame,https://www.crunchbase.com/funding_round/zengame-禅游科技-seed--6ba28fb4,ZenGame,https://www.crunchbase.com/organization/zengame-禅游科技,Seed,,,,2010-07-17
Angel Round - Beva,https://www.crunchbase.com/funding_round/beva-angel--45eb1a6b,Beva,https://www.crunchbase.com/organization/beva,Angel,,,,2010-04-14
Series A - 7Road,https://www.crunchbase.com/funding_round/shenzhen-7road-technology-co-ltd-series-a--0a04b9fa,7Road,https://www.crunchbase.com/organization/shenzhen-7road-technology-co-ltd,Series A,,,,2009-05-01
Venture Round - Taomee,https://www.crunchbase.com/funding_round/taomee-series-unknown--1bd8058e,Taomee,https://www.crunchbase.com/organization/taomee,Venture - Series Unknown,8000000,USD,8000000,2008-03-01
