Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Terns Pharmaceuticals,https://www.crunchbase.com/funding_round/terns-pharmaceuticals-series-b--6436f023,Terns Pharmaceuticals,https://www.crunchbase.com/organization/terns-pharmaceuticals,Series B,80000000,USD,80000000,2018-10-30
Series B - Omniome,https://www.crunchbase.com/funding_round/omniome-series-b--8ac37120,Omniome,https://www.crunchbase.com/organization/omniome,Series B,60000000,USD,60000000,2018-07-31
Venture Round - Polares Medical,https://www.crunchbase.com/funding_round/polares-medical-series-unknown--4b971692,Polares Medical,https://www.crunchbase.com/organization/polares-medical,Venture - Series Unknown,25000000,USD,25000000,2018-07-17
Series B - Mindstrong Health,https://www.crunchbase.com/funding_round/mindstrong-health-series-b--f708d671,Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,Series B,15000000,USD,15000000,2018-06-14
Series C - IMPACT Therapeutics,https://www.crunchbase.com/funding_round/impact-therapeutics-series-c--94bc240e,IMPACT Therapeutics,https://www.crunchbase.com/organization/impact-therapeutics,Series C,30000000,USD,30000000,2018-08-03
Series B - Apexigen,https://www.crunchbase.com/funding_round/apexigen-series-b--aba6e22c,Apexigen,https://www.crunchbase.com/organization/apexigen,Series B,15000000,USD,15000000,2018-08-08
Series C - Arcus Biosciences,https://www.crunchbase.com/funding_round/arcus-biosciences-series-c--9b82a6a5,Arcus Biosciences,https://www.crunchbase.com/organization/arcus-biosciences,Series C,107000000,USD,107000000,2017-11-13
Series A - Genapsys Inc.,https://www.crunchbase.com/funding_round/genapsys-series-a--df134feb,Genapsys Inc.,https://www.crunchbase.com/organization/genapsys,Series A,8500000,USD,8500000,2013-03-22
Series C - ARMO BioSciences,https://www.crunchbase.com/funding_round/armo-biosciences-series-c--35ccf573,ARMO BioSciences,https://www.crunchbase.com/organization/armo-biosciences,Series C,67000000,USD,67000000,2017-08-29
"Series A - ReadCoor, Inc.",https://www.crunchbase.com/funding_round/readcoor-series-a--dbb5a4e2,"ReadCoor, Inc.",https://www.crunchbase.com/organization/readcoor,Series A,23000000,USD,23000000,2016-09-29
Series A - EpimAb Biotherapeutics,https://www.crunchbase.com/funding_round/epimab-biotherapeutics-series-a--d7fd2432,EpimAb Biotherapeutics,https://www.crunchbase.com/organization/epimab-biotherapeutics,Series A,25000000,USD,25000000,2017-04-24
Series B - GeneWEAVE,https://www.crunchbase.com/funding_round/geneweave-biosciences-series-b--829d11ec,GeneWEAVE,https://www.crunchbase.com/organization/geneweave-biosciences,Series B,11999998,USD,11999998,2014-06-20
Series A - Aadi Bioscience,https://www.crunchbase.com/funding_round/aadi-bioscience-series-a--410f931f,Aadi Bioscience,https://www.crunchbase.com/organization/aadi-bioscience,Series A,23000000,USD,23000000,2017-05-08
Series B - AccuraGen Holdings,https://www.crunchbase.com/funding_round/accuragen-holdings-series-b--3f270047,AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,Series B,40000000,USD,40000000,2016-06-01
Series B - Genapsys Inc.,https://www.crunchbase.com/funding_round/genapsys-series-b--19653440,Genapsys Inc.,https://www.crunchbase.com/organization/genapsys,Series B,37500000,USD,37500000,2013-11-14
Series D - SentreHEART,https://www.crunchbase.com/funding_round/sentreheart-series-d--2560f60f,SentreHEART,https://www.crunchbase.com/organization/sentreheart,Series D,35000000,USD,35000000,2016-09-27
Series F - Invitae,https://www.crunchbase.com/funding_round/invitae-corporation-series-f--126ee704,Invitae,https://www.crunchbase.com/organization/invitae-corporation,Series F,120000000,USD,120000000,2014-10-13
Series A - GeneWEAVE,https://www.crunchbase.com/funding_round/geneweave-biosciences-series-a--9fbe0d7b,GeneWEAVE,https://www.crunchbase.com/organization/geneweave-biosciences,Series A,12000000,USD,12000000,2012-02-28
