Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - TrunkTech,https://www.crunchbase.com/funding_round/trunktech-series-a--cb9a1819,TrunkTech,https://www.crunchbase.com/organization/trunktech,Series A,,,,2018-10-16
Series C - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-c--f842dac7,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series C,129000000,USD,129000000,2018-08-28
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--250ae6c2,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,4000000000,CNY,584513319,2018-08-02
Series A - Haogongpin,https://www.crunchbase.com/funding_round/haogongpin-series-a--a22f9d55,Haogongpin,https://www.crunchbase.com/organization/haogongpin,Series A,16000000,USD,16000000,2018-07-30
Series B - Aikucun,https://www.crunchbase.com/funding_round/aikucun-series-b--1e0fdf96,Aikucun,https://www.crunchbase.com/organization/aikucun,Series B,87000000,USD,87000000,2018-07-02
Seed Round - Mad Science,https://www.crunchbase.com/funding_round/mad-science-3df1-seed--9c3ee8c3,Mad Science,https://www.crunchbase.com/organization/mad-science-3df1,Seed,,,,2018-06-29
Series A - ForwardX Robotics,https://www.crunchbase.com/funding_round/forwardx-series-a--37944eac,ForwardX Robotics,https://www.crunchbase.com/organization/forwardx,Series A,10000000,USD,10000000,2018-05-29
Series A - xyb2b.com,https://www.crunchbase.com/funding_round/xyb2b-com-series-a--3ba2e97c,xyb2b.com,https://www.crunchbase.com/organization/xyb2b-com,Series A,,,,2018-05-09
Series B - XiaoMa.Wang,https://www.crunchbase.com/funding_round/xiaoma-wang-series-b--3e2b086d,XiaoMa.Wang,https://www.crunchbase.com/organization/xiaoma-wang,Series B,,,,2018-05-03
Series A - Dishangtie Car Rental,https://www.crunchbase.com/funding_round/dishangtie-series-a--cc44df22,Dishangtie Car Rental,https://www.crunchbase.com/organization/dishangtie,Series A,47800000,USD,47800000,2018-03-27
Series A - Fuliaoyi,https://www.crunchbase.com/funding_round/fuliaoyi-series-a--a6c531a7,Fuliaoyi,https://www.crunchbase.com/organization/fuliaoyi,Series A,15000000,USD,15000000,2018-03-12
Series B - Hive Box,https://www.crunchbase.com/funding_round/hive-box-series-b--99234b97,Hive Box,https://www.crunchbase.com/organization/hive-box,Series B,323000000,USD,323000000,2018-01-23
Series A - Aikucun,https://www.crunchbase.com/funding_round/aikucun-series-a--d9ebd850,Aikucun,https://www.crunchbase.com/organization/aikucun,Series A,15000000,USD,15000000,2018-01-15
Series C - Fuyoukache,https://www.crunchbase.com/funding_round/fuyoukache-series-c--a0824f38,Fuyoukache,https://www.crunchbase.com/organization/fuyoukache,Series C,150000000,CNY,23099845,2018-01-02
Series B - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-b--f7821e0f,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series B,33000000,USD,33000000,2017-12-11
Series A - Putiandi,https://www.crunchbase.com/funding_round/putiandi-series-a--20efd24f,Putiandi,https://www.crunchbase.com/organization/putiandi,Series A,13600000,USD,13600000,2017-10-18
Series A - Youshu.cc,https://www.crunchbase.com/funding_round/youshu-cc-series-a--7d26e808,Youshu.cc,https://www.crunchbase.com/organization/youshu-cc,Series A,12000000,USD,12000000,2017-10-13
Series A - Haizol.com,https://www.crunchbase.com/funding_round/haizol-com-series-a--860cfaf5,Haizol.com,https://www.crunchbase.com/organization/haizol-com,Series A,6000000,USD,6000000,2017-07-14
Series B - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-b--7905b73d,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series B,52000000,USD,52000000,2017-07-12
Series C - Baturu Information Technology,https://www.crunchbase.com/funding_round/baturu-information-technology-series-c--7d1686b0,Baturu Information Technology,https://www.crunchbase.com/organization/baturu-information-technology,Series C,100000000,USD,100000000,2017-07-06
Series C - Fuyoukache,https://www.crunchbase.com/funding_round/fuyoukache-series-c--853e4638,Fuyoukache,https://www.crunchbase.com/organization/fuyoukache,Series C,250000000,CNY,36180497,2017-03-09
Series B - Baturu Information Technology,https://www.crunchbase.com/funding_round/baturu-information-technology-series-b--d3e40c74,Baturu Information Technology,https://www.crunchbase.com/organization/baturu-information-technology,Series B,100000000,CNY,15028902,2016-07-01
Series C - Chuchujie,https://www.crunchbase.com/funding_round/chuchujie-series-c--252e3bb9,Chuchujie,https://www.crunchbase.com/organization/chuchujie,Series C,119000000,USD,119000000,2016-05-06
Series C - G7,https://www.crunchbase.com/funding_round/g7-series-c--da385395,G7,https://www.crunchbase.com/organization/g7,Series C,45000000,USD,45000000,2016-04-05
Series B - Fuyoukache,https://www.crunchbase.com/funding_round/fuyoukache-series-b--22f8d2de,Fuyoukache,https://www.crunchbase.com/organization/fuyoukache,Series B,15000000,USD,15000000,2016-04-01
Series B - Yi Jiu Pi,https://www.crunchbase.com/funding_round/yi-jiu-pi-series-b--cd11798e,Yi Jiu Pi,https://www.crunchbase.com/organization/yi-jiu-pi,Series B,30000000,USD,30000000,2016-03-21
Series A - Yunji Technology,https://www.crunchbase.com/funding_round/yunji-technology-series-a--4c267520,Yunji Technology,https://www.crunchbase.com/organization/yunji-technology,Series A,228000000,CNY,34911923,2016-03-03
Series A - Hive Box,https://www.crunchbase.com/funding_round/hive-box-series-a--c03b8587,Hive Box,https://www.crunchbase.com/organization/hive-box,Series A,2500000000,CNY,383303366,2016-01-05
Series C - Beequick,https://www.crunchbase.com/funding_round/beequick-series-c--d468bd41,Beequick,https://www.crunchbase.com/organization/beequick,Series C,70000000,USD,70000000,2015-09-23
Series A - G7,https://www.crunchbase.com/funding_round/g7-series-a--b3404f2d,G7,https://www.crunchbase.com/organization/g7,Series A,,,,2011-01-01
