Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Tangshi Logistics,https://www.crunchbase.com/funding_round/tangshi-logistics-series-a--e541d69a,Tangshi Logistics,https://www.crunchbase.com/organization/tangshi-logistics,Series A,,,,2018-06-01
Venture Round - Virgin Hyperloop One,https://www.crunchbase.com/funding_round/hyperloop-technolgies-series-unknown--93a38585,Virgin Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,Venture - Series Unknown,,,,2015-10-09
Angel Round - NewsCred,https://www.crunchbase.com/funding_round/newscred-angel--7b535725,NewsCred,https://www.crunchbase.com/organization/newscred,Angel,,,,2016-06-01
Venture Round - StockRadar,https://www.crunchbase.com/funding_round/stockradar-series-unknown--7de62683,StockRadar,https://www.crunchbase.com/organization/stockradar,Venture - Series Unknown,,,,2014-05-01
Angel Round - 1001 Hao,https://www.crunchbase.com/funding_round/1001-hao-angel--8d1f8d1b,1001 Hao,https://www.crunchbase.com/organization/1001-hao,Angel,,,,2015-03-01
Angel Round - YanYan Video,https://www.crunchbase.com/funding_round/yanyan-video-angel--15fe4d3c,YanYan Video,https://www.crunchbase.com/organization/yanyan-video,Angel,,,,2016-03-01
Angel Round - iFanr,https://www.crunchbase.com/funding_round/ifanr-angel--38d959a7,iFanr,https://www.crunchbase.com/organization/ifanr,Angel,,,,2014-07-01
Angel Round - Cosmeapp,https://www.crunchbase.com/funding_round/cosmeapp-angel--d3c1c911,Cosmeapp,https://www.crunchbase.com/organization/cosmeapp,Angel,,,,2013-07-01
Angel Round - Cobot,https://www.crunchbase.com/funding_round/cobot-2-angel--f2d58db1,Cobot,https://www.crunchbase.com/organization/cobot-2,Angel,,,,2016-08-01
Series A - Moji Fengyun (Beijing) Software Technology Development Co.,https://www.crunchbase.com/funding_round/moji-fengyun-beijing-software-technology-development-co-series-a--de7c80f8,Moji Fengyun (Beijing) Software Technology Development Co.,https://www.crunchbase.com/organization/moji-fengyun-beijing-software-technology-development-co,Series A,,,,2013-09-01
Angel Round - XiuMeiJia,https://www.crunchbase.com/funding_round/xiumeijia-angel--5984c3bb,XiuMeiJia,https://www.crunchbase.com/organization/xiumeijia,Angel,,,,2014-05-01
Angel Round - BeiShiTe,https://www.crunchbase.com/funding_round/beishite-angel--271a4855,BeiShiTe,https://www.crunchbase.com/organization/beishite,Angel,,,,2013-12-01
Series A - Dianba Technology,https://www.crunchbase.com/funding_round/dianba-technology-series-a--3d60920b,Dianba Technology,https://www.crunchbase.com/organization/dianba-technology,Series A,,,,2016-11-01
Angel Round - DHHT,https://www.crunchbase.com/funding_round/dhht-angel--74a2ae22,DHHT,https://www.crunchbase.com/organization/dhht,Angel,,,,2015-01-01
Angel Round - LeiSen Payment,https://www.crunchbase.com/funding_round/leisen-payment-angel--09062f84,LeiSen Payment,https://www.crunchbase.com/organization/leisen-payment,Angel,,,,2015-03-01
Angel Round - Deer Tinker,https://www.crunchbase.com/funding_round/deer-tinker-angel--025b8321,Deer Tinker,https://www.crunchbase.com/organization/deer-tinker,Angel,,,,2014-12-01
Angel Round - NetQuantum Finance,https://www.crunchbase.com/funding_round/netquantum-finance-angel--543259a9,NetQuantum Finance,https://www.crunchbase.com/organization/netquantum-finance,Angel,,,,2015-04-01
Angel Round - Huosu,https://www.crunchbase.com/funding_round/huosu-angel--033d2530,Huosu,https://www.crunchbase.com/organization/huosu,Angel,,,,2013-07-01
Seed Round - Huizhuang,https://www.crunchbase.com/funding_round/huizhuang-seed--ad83952a,Huizhuang,https://www.crunchbase.com/organization/huizhuang,Seed,1000000,CNY,164869,2014-01-01
Angel Round - Rotex Tech,https://www.crunchbase.com/funding_round/rotex-tech-angel--4644dff5,Rotex Tech,https://www.crunchbase.com/organization/rotex-tech,Angel,,,,2016-06-01
Angel Round - XiaMi Game,https://www.crunchbase.com/funding_round/xiami-game-angel--b69b46c9,XiaMi Game,https://www.crunchbase.com/organization/xiami-game,Angel,,,,2014-01-01
Angel Round - YinHan,https://www.crunchbase.com/funding_round/yinhan-angel--b250a08a,YinHan,https://www.crunchbase.com/organization/yinhan,Angel,,,,2016-06-01
Angel Round - Cenntro,https://www.crunchbase.com/funding_round/cenntro-angel--c9709809,Cenntro,https://www.crunchbase.com/organization/cenntro,Angel,,,,2014-05-01
Angel Round - CharJe,https://www.crunchbase.com/funding_round/charje-angel--c6ad3e3f,CharJe,https://www.crunchbase.com/organization/charje,Angel,,,,2015-01-01
Angel Round - FastJob,https://www.crunchbase.com/funding_round/fastjob-angel--1ae219a6,FastJob,https://www.crunchbase.com/organization/fastjob,Angel,,,,2015-01-01
Angel Round - Heartbit,https://www.crunchbase.com/funding_round/heartbit-angel--a8e0b8ca,Heartbit,https://www.crunchbase.com/organization/heartbit,Angel,,,,2014-07-01
