Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - TokenInsight,https://www.crunchbase.com/funding_round/tokeninsight-series-a--b1f40e68,TokenInsight,https://www.crunchbase.com/organization/tokeninsight,Series A,,,,2018-10-15
Series A - Nebula Genomics,https://www.crunchbase.com/funding_round/nebula-genomics-series-a--c3c0d85b,Nebula Genomics,https://www.crunchbase.com/organization/nebula-genomics,Series A,4300000,USD,4300000,2018-08-29
Seed Round - Atlas Protocol,https://www.crunchbase.com/funding_round/atlas-protocol-seed--b769961a,Atlas Protocol,https://www.crunchbase.com/organization/atlas-protocol,Seed,3000000,USD,3000000,2018-08-20
Angel Round - MAD Network,https://www.crunchbase.com/funding_round/mad-network-angel--91fdcc76,MAD Network,https://www.crunchbase.com/organization/mad-network,Angel,,,,2018-08-20
Seed Round - everiToken,https://www.crunchbase.com/funding_round/everitoken-seed--e172536f,everiToken,https://www.crunchbase.com/organization/everitoken,Seed,,,,2018-08-07
Corporate Round - Easy Pay Chain (EPC),https://www.crunchbase.com/funding_round/easy-pay-chain-corporate-round--141548f6,Easy Pay Chain (EPC),https://www.crunchbase.com/organization/easy-pay-chain,Corporate Round,30000000,USD,30000000,2018-08-03
Series A - 51signing.com,https://www.crunchbase.com/funding_round/51signing-com-series-a--4628bd6b,51signing.com,https://www.crunchbase.com/organization/51signing-com,Series A,,,,2018-07-13
Angel Round - CoinMex,https://www.crunchbase.com/funding_round/coinmex-angel--53fd4222,CoinMex,https://www.crunchbase.com/organization/coinmex,Angel,,,,2018-06-21
Initial Coin Offering - Hub,https://www.crunchbase.com/funding_round/hub-4-initial-coin-offering--1625c7b6,Hub,https://www.crunchbase.com/organization/hub-4,Initial Coin Offering,20000000,USD,20000000,2018-06-02
Venture Round - CarBlock,https://www.crunchbase.com/funding_round/carblock-series-unknown--c082f7a6,CarBlock,https://www.crunchbase.com/organization/carblock,Venture - Series Unknown,,,,2018-05-30
Venture Round - Hashgard,https://www.crunchbase.com/funding_round/hashgard-series-unknown--a847be92,Hashgard,https://www.crunchbase.com/organization/hashgard,Venture - Series Unknown,,,,2018-05-25
Series A - Everledger,https://www.crunchbase.com/funding_round/blocktrace-series-a--c37ee56d,Everledger,https://www.crunchbase.com/organization/blocktrace,Series A,10400000,USD,10400000,2018-03-23
Angel Round - CoAlpha,https://www.crunchbase.com/funding_round/coalpha-angel--ade9e7cd,CoAlpha,https://www.crunchbase.com/organization/coalpha,Angel,,,,2018-03-14
Seed Round - Digix,https://www.crunchbase.com/funding_round/digix-global-seed--cc25489f,Digix,https://www.crunchbase.com/organization/digix-global,Seed,1250000,USD,1250000,2017-11-29
Initial Coin Offering - Stream Token,https://www.crunchbase.com/funding_round/stream-token-initial-coin-offering--5691758d,Stream Token,https://www.crunchbase.com/organization/stream-token,Initial Coin Offering,5000000,USD,5000000,2017-10-26
Series A - Symbiont,https://www.crunchbase.com/funding_round/symbiont-series-a--4ddb868b,Symbiont,https://www.crunchbase.com/organization/symbiont,Series A,15000000,USD,15000000,2017-05-04
Seed Round - TenX,https://www.crunchbase.com/funding_round/tenx-2-seed--920e5085,TenX,https://www.crunchbase.com/organization/tenx-2,Seed,1000000,USD,1000000,2017-03-01
Seed Round - Hashed Health,https://www.crunchbase.com/funding_round/hashed-health-seed--e4bfc29d,Hashed Health,https://www.crunchbase.com/organization/hashed-health,Seed,1800000,USD,1800000,2017-02-07
Series A - Ripio,https://www.crunchbase.com/funding_round/bitpagos-series-a--8d65f827,Ripio,https://www.crunchbase.com/organization/bitpagos,Series A,1900000,USD,1900000,2017-01-03
Series A - Nebulous Labs (Sia & Obelisk),https://www.crunchbase.com/funding_round/nebulous-llc-series-a--4e214ebb,Nebulous Labs (Sia & Obelisk),https://www.crunchbase.com/organization/nebulous-llc,Series A,750000,USD,750000,2016-09-07
Series D - Circle,https://www.crunchbase.com/funding_round/circle-2-series-d--dd1208e0,Circle,https://www.crunchbase.com/organization/circle-2,Series D,60000000,USD,60000000,2016-05-13
Seed Round - Hijro,https://www.crunchbase.com/funding_round/hijro-seed--55a8c916,Hijro,https://www.crunchbase.com/organization/hijro,Seed,1650000,USD,1650000,2016-05-10
Seed Round - Tierion,https://www.crunchbase.com/funding_round/tierion-seed--ad40c5ce,Tierion,https://www.crunchbase.com/organization/tierion,Seed,1000000,USD,1000000,2016-04-30
Seed Round - Parity Technologies,https://www.crunchbase.com/funding_round/ethcore-seed--d73a9352,Parity Technologies,https://www.crunchbase.com/organization/ethcore,Seed,750000,USD,750000,2016-04-23
Seed Round - Skuchain,https://www.crunchbase.com/funding_round/skuchain-seed--7af2dade,Skuchain,https://www.crunchbase.com/organization/skuchain,Seed,,,,2016-02-03
Seed Round - Zcash,https://www.crunchbase.com/funding_round/zcash-seed--9a814bdb,Zcash,https://www.crunchbase.com/organization/zcash,Seed,1000000,USD,1000000,2016-01-20
Series A - Gem,https://www.crunchbase.com/funding_round/gem-series-a--9aa72e2b,Gem,https://www.crunchbase.com/organization/gem,Series A,7600000,USD,7600000,2016-01-06
Seed Round - BTC Media,https://www.crunchbase.com/funding_round/btc-media-seed--43d7dd97,BTC Media,https://www.crunchbase.com/organization/btc-media,Seed,,,,2015-11-01
