Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Fushoukang,https://www.crunchbase.com/funding_round/fushoukang-series-a--2d2ef783,Fushoukang,https://www.crunchbase.com/organization/fushoukang,Series A,,,,2018-09-26
Series B - Global Technology,https://www.crunchbase.com/funding_round/glubo-technology-series-b--bcc97118,Global Technology,https://www.crunchbase.com/organization/glubo-technology,Series B,40000000,CNY,5844620,2018-09-13
Seed Round - RaySea,https://www.crunchbase.com/funding_round/raysea-seed--b7dd6dea,RaySea,https://www.crunchbase.com/organization/raysea,Seed,14500000,USD,14500000,2018-08-16
Series C - Red Core Security,https://www.crunchbase.com/funding_round/red-core-security-series-c--73820129,Red Core Security,https://www.crunchbase.com/organization/red-core-security,Series C,250000000,CNY,36590363,2018-08-07
Series A - GMEMS Technologies,https://www.crunchbase.com/funding_round/gmems-technologies-series-a--f491c720,GMEMS Technologies,https://www.crunchbase.com/organization/gmems-technologies,Series A,7500000,USD,7500000,2018-07-10
Series A - Shihou TV,https://www.crunchbase.com/funding_round/shihou-tv-series-a--7d506aea,Shihou TV,https://www.crunchbase.com/organization/shihou-tv,Series A,15000000,USD,15000000,2018-01-05
Series B - Good Feeling Group,https://www.crunchbase.com/funding_round/good-feeling-group-series-b--b72c529d,Good Feeling Group,https://www.crunchbase.com/organization/good-feeling-group,Series B,100000000,CNY,15240998,2017-09-01
Series B - Floadia Corporation,https://www.crunchbase.com/funding_round/floadia-corporation-series-b--81d7e9c9,Floadia Corporation,https://www.crunchbase.com/organization/floadia-corporation,Series B,1600000000,JPY,14134200,2017-07-05
Series A - CloudIn,https://www.crunchbase.com/funding_round/cloudin-series-a--9ad818a8,CloudIn,https://www.crunchbase.com/organization/cloudin,Series A,70000000,CNY,10172644,2017-05-17
Series D - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-d--b835115f,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series D,400000000,CNY,57616962,2016-12-21
Series A - Samoyed Financial Service,https://www.crunchbase.com/funding_round/samoyed-financial-service-series-a--63819efc,Samoyed Financial Service,https://www.crunchbase.com/organization/samoyed-financial-service,Series A,,,,2016-04-01
Venture Round - ZifiSense,https://www.crunchbase.com/funding_round/zifisense-series-unknown--e16bca2e,ZifiSense,https://www.crunchbase.com/organization/zifisense,Venture - Series Unknown,,,,2016-03-01
Series D - YOHO,https://www.crunchbase.com/funding_round/yoho-series-d--102d734d,YOHO,https://www.crunchbase.com/organization/yoho,Series D,100000000,USD,100000000,2015-07-16
Series C - Yuyuto,https://www.crunchbase.com/funding_round/yuyuto-series-c--44b7b603,Yuyuto,https://www.crunchbase.com/organization/yuyuto,Series C,32000000,USD,32000000,2015-02-24
Series B - Youxiduo,https://www.crunchbase.com/funding_round/youxiduo-series-b--1015c5d1,Youxiduo,https://www.crunchbase.com/organization/youxiduo,Series B,16000000,USD,16000000,2015-01-28
Series A - Inveno,https://www.crunchbase.com/funding_round/inveno-series-a--f67060be,Inveno,https://www.crunchbase.com/organization/inveno,Series A,,,,2014-07-07
Series B - Shanghai Kidstone Network Technology,https://www.crunchbase.com/funding_round/shanghai-kidstone-network-technology-series-b--fe530c19,Shanghai Kidstone Network Technology,https://www.crunchbase.com/organization/shanghai-kidstone-network-technology,Series B,,,,2012-10-01
Series A - Beijing Lingdong Kuaipai Information Technology,https://www.crunchbase.com/funding_round/beijing-lingdong-kuaipai-information-technology-series-a--fd358732,Beijing Lingdong Kuaipai Information Technology,https://www.crunchbase.com/organization/beijing-lingdong-kuaipai-information-technology,Series A,20000000,CNY,3174126,2012-04-01
Series B - 159.com,https://www.crunchbase.com/funding_round/phoneuser-network-series-b--18894bfe,159.com,https://www.crunchbase.com/organization/phoneuser-network,Series B,1704822,USD,1704822,2011-03-01
Series D - Sinosun Technology,https://www.crunchbase.com/funding_round/sinosun-technology-series-d--1a0a5c11,Sinosun Technology,https://www.crunchbase.com/organization/sinosun-technology,Series D,1000000,USD,1000000,2010-12-01
Series A - Lily BlueFlame Culture Media,https://www.crunchbase.com/funding_round/guangdong-lily-blueflame-culture-media-co-ltd-series-a--1ebf030f,Lily BlueFlame Culture Media,https://www.crunchbase.com/organization/guangdong-lily-blueflame-culture-media-co-ltd,Series A,51000000,CNY,7653713,2010-12-01
Series A - AMT,https://www.crunchbase.com/funding_round/amt-series-a--a111c691,AMT,https://www.crunchbase.com/organization/amt,Series A,50000000,CNY,7472350,2010-10-01
Series C - Yuanpei Translation,https://www.crunchbase.com/funding_round/yuanpei-translation-series-c--fbc79500,Yuanpei Translation,https://www.crunchbase.com/organization/yuanpei-translation,Series C,42900000,CNY,6326476,2010-07-01
Series B - Careland,https://www.crunchbase.com/funding_round/careland-series-b--8afafe2b,Careland,https://www.crunchbase.com/organization/careland,Series B,22000000,USD,22000000,2010-06-01
Venture Round - Beijing Leputai Science and Technology Development,https://www.crunchbase.com/funding_round/beijing-leputai-science-and-technology-development-series-unknown--384f22ea,Beijing Leputai Science and Technology Development,https://www.crunchbase.com/organization/beijing-leputai-science-and-technology-development,Venture - Series Unknown,30000000,CNY,4394307,2010-04-01
Angel Round - Job36,https://www.crunchbase.com/funding_round/job36-angel--0099896a,Job36,https://www.crunchbase.com/organization/job36,Angel,,,,2009-11-01
Series D - ChinaNetCenter,https://www.crunchbase.com/funding_round/chinanetcenter-series-d--9c647926,ChinaNetCenter,https://www.crunchbase.com/organization/chinanetcenter,Series D,30000000,CNY,4392313,2009-09-01
Series A - Chenguang Biotech,https://www.crunchbase.com/funding_round/chenguang-biotech-group-co-ltd-series-a--c4fb292e,Chenguang Biotech,https://www.crunchbase.com/organization/chenguang-biotech-group-co-ltd,Series A,49000000,CNY,7174112,2009-09-01
Series C - NewAuto Video Technology,https://www.crunchbase.com/funding_round/newauto-video-technology-series-c--6db05654,NewAuto Video Technology,https://www.crunchbase.com/organization/newauto-video-technology,Series C,3750000,USD,3750000,2009-08-01
Series A - Hantele,https://www.crunchbase.com/funding_round/hantele-series-a--b295c748,Hantele,https://www.crunchbase.com/organization/hantele,Series A,15000000,CNY,2197059,2009-06-01
Series B - ChinaNetCenter,https://www.crunchbase.com/funding_round/chinanetcenter-series-b--bcf70ece,ChinaNetCenter,https://www.crunchbase.com/organization/chinanetcenter,Series B,40000000,CNY,5846440,2008-11-01
