Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Qinbaobao,https://www.crunchbase.com/funding_round/qinbaobao-series-c--0279371b,Qinbaobao,https://www.crunchbase.com/organization/qinbaobao,Series C,,,,2018-10-29
Series B - Jiewei Power Industry (JEVE),https://www.crunchbase.com/funding_round/jiewei-power-industry-jeve-series-b--d7a99c94,Jiewei Power Industry (JEVE),https://www.crunchbase.com/organization/jiewei-power-industry-jeve,Series B,,,,2018-09-18
Corporate Round - AnKobot,https://www.crunchbase.com/funding_round/ankobot-corporate-round--fe117b7f,AnKobot,https://www.crunchbase.com/organization/ankobot,Corporate Round,,,,2018-09-17
Series B - Nicomama,https://www.crunchbase.com/funding_round/nicomama-series-b--7c15f577,Nicomama,https://www.crunchbase.com/organization/nicomama,Series B,,,,2018-09-12
Series C - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-c--0f92fa25,PingCAP,https://www.crunchbase.com/organization/pingcap,Series C,50000000,USD,50000000,2018-09-11
Corporate Round - The Floor,https://www.crunchbase.com/funding_round/the-floor-corporate-round--68bbd373,The Floor,https://www.crunchbase.com/organization/the-floor,Corporate Round,5000000,USD,5000000,2018-08-17
Series A - Yuchen Guangyi,https://www.crunchbase.com/funding_round/yuchen-guangyi-series-a--68191735,Yuchen Guangyi,https://www.crunchbase.com/organization/yuchen-guangyi,Series A,,,,2018-07-25
Series A - HC Scientific,https://www.crunchbase.com/funding_round/hc-scientific-series-a--3ff745eb,HC Scientific,https://www.crunchbase.com/organization/hc-scientific,Series A,,,,2018-07-25
Seed Round - Qingfeng Shidai Technology,https://www.crunchbase.com/funding_round/qingfeng-shidai-technology-seed--4668127e,Qingfeng Shidai Technology,https://www.crunchbase.com/organization/qingfeng-shidai-technology,Seed,,,,2018-07-18
Series B - Sanli International Education Group,https://www.crunchbase.com/funding_round/sanli-international-education-group-series-b--4085eb36,Sanli International Education Group,https://www.crunchbase.com/organization/sanli-international-education-group,Series B,,,,2018-07-17
Series B - Sanli VIP Training Center,https://www.crunchbase.com/funding_round/sanli-vip-training-center-series-b--9dcc6c7c,Sanli VIP Training Center,https://www.crunchbase.com/organization/sanli-vip-training-center,Series B,,,,2018-07-16
Series A - iSpace China,https://www.crunchbase.com/funding_round/ispace-752d-series-a--f997783c,iSpace China,https://www.crunchbase.com/organization/ispace-752d,Series A,600000000,CNY,89974285,2018-07-02
Series B - APICloud,https://www.crunchbase.com/funding_round/apicloud-series-b--4bab39c0,APICloud,https://www.crunchbase.com/organization/apicloud,Series B,,,,2018-05-30
Series B - BondIT,https://www.crunchbase.com/funding_round/bondit-series-b--c19979f3,BondIT,https://www.crunchbase.com/organization/bondit,Series B,3950000,USD,3950000,2018-05-24
Series E - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-e--cbdf7c0f,Hellobike,https://www.crunchbase.com/organization/hellobike,Series E,700000000,USD,700000000,2018-04-13
Series B - Airdoc,https://www.crunchbase.com/funding_round/airdoc-series-b--01e62ffa,Airdoc,https://www.crunchbase.com/organization/airdoc,Series B,,,,2018-04-02
Post-IPO Equity - Brookdale Senior Living,https://www.crunchbase.com/funding_round/brookdale-senior-living-post-ipo-equity--663d1eff,Brookdale Senior Living,https://www.crunchbase.com/organization/brookdale-senior-living,Post-IPO Equity,,,,2018-03-23
Series B - Dongjia,https://www.crunchbase.com/funding_round/dongjia-series-b--df393f89,Dongjia,https://www.crunchbase.com/organization/dongjia,Series B,17400000,USD,17400000,2018-03-19
Series B - TaoData,https://www.crunchbase.com/funding_round/taodata-series-b--6e6b559e,TaoData,https://www.crunchbase.com/organization/taodata,Series B,100000000,CNY,15830048,2018-03-14
Series C - TytoCare,https://www.crunchbase.com/funding_round/tyto-series-c--fff6153d,TytoCare,https://www.crunchbase.com/organization/tyto,Series C,27100000,USD,27100000,2018-01-29
Series D - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-d--f75956ab,Hellobike,https://www.crunchbase.com/organization/hellobike,Series D,1000000000,USD,1000000000,2017-12-27
Venture Round - MitrAssist,https://www.crunchbase.com/funding_round/mitrassist-series-unknown--adcb0908,MitrAssist,https://www.crunchbase.com/organization/mitrassist,Venture - Series Unknown,30000000,USD,30000000,2017-11-11
Series A - AUBO Robotics,https://www.crunchbase.com/funding_round/aubo-robotics-series-a--2921e340,AUBO Robotics,https://www.crunchbase.com/organization/aubo-robotics,Series A,9000000,USD,9000000,2017-11-09
Series B - Jinying Technology,https://www.crunchbase.com/funding_round/jinying-technology-series-b--98c7ebaf,Jinying Technology,https://www.crunchbase.com/organization/jinying-technology,Series B,40000000,USD,40000000,2017-11-08
Venture Round - Kissht,https://www.crunchbase.com/funding_round/kissht-series-unknown--93621477,Kissht,https://www.crunchbase.com/organization/kissht,Venture - Series Unknown,10000000,USD,10000000,2017-11-06
