Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - PingPong,https://www.crunchbase.com/funding_round/pingpong-series-b--c92004e5,PingPong,https://www.crunchbase.com/organization/pingpong,Series B,,,,2017-03-13
Venture Round - Canary Medical,https://www.crunchbase.com/funding_round/canary-medical-series-unknown--35b4fee8,Canary Medical,https://www.crunchbase.com/organization/canary-medical,Venture - Series Unknown,10000000,USD,10000000,2018-05-17
Venture Round - Huayun Data,https://www.crunchbase.com/funding_round/huayun-data-series-unknown--79c1850c,Huayun Data,https://www.crunchbase.com/organization/huayun-data,Venture - Series Unknown,,,,2018-06-11
Venture Round - ARTMS,https://www.crunchbase.com/funding_round/artms-series-unknown--967c9647,ARTMS,https://www.crunchbase.com/organization/artms,Venture - Series Unknown,3000000,USD,3000000,2017-12-18
Series A - One-hour technology,https://www.crunchbase.com/funding_round/one-hour-technology-series-a--d968185b,One-hour technology,https://www.crunchbase.com/organization/one-hour-technology,Series A,3000000,JPY,27246,2018-02-03
Series B - Bioarray Therapeutics,https://www.crunchbase.com/funding_round/bioarray-therapeutics-series-b--d115d234,Bioarray Therapeutics,https://www.crunchbase.com/organization/bioarray-therapeutics,Series B,4000000,USD,4000000,2017-10-05
Series B - Physiq,https://www.crunchbase.com/funding_round/physiq-series-b--c0ebda5e,Physiq,https://www.crunchbase.com/organization/physiq,Series B,8000000,USD,8000000,2017-07-25
Series B - PHEMI Health Systems,https://www.crunchbase.com/funding_round/phemi-health-systems-series-b--eb2f74c9,PHEMI Health Systems,https://www.crunchbase.com/organization/phemi-health-systems,Series B,10000000,USD,10000000,2017-06-27
Series B - Biscayne Pharmaceuticals,https://www.crunchbase.com/funding_round/biscayne-pharmaceuticals-series-b--53fdebc4,Biscayne Pharmaceuticals,https://www.crunchbase.com/organization/biscayne-pharmaceuticals,Series B,3000000,USD,3000000,2017-01-31
Series B - Fotor,https://www.crunchbase.com/funding_round/fotor-series-b--3b4881ed,Fotor,https://www.crunchbase.com/organization/fotor,Series B,7600000,USD,7600000,2017-09-20
Series C - Eloxx,https://www.crunchbase.com/funding_round/eloxx-series-c--6753aad0,Eloxx,https://www.crunchbase.com/organization/eloxx,Series C,30000000,USD,30000000,2017-06-09
Series A - Lyndra Inc,https://www.crunchbase.com/funding_round/lyndra-inc-series-a--77282f70,Lyndra Inc,https://www.crunchbase.com/organization/lyndra-inc,Series A,23000000,USD,23000000,2017-04-13
