Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - NASN Automotive Electronics,https://www.crunchbase.com/funding_round/nasa-automotive-electronics-series-b--bfce381a,NASN Automotive Electronics,https://www.crunchbase.com/organization/nasa-automotive-electronics,Series B,100000000,CNY,14430847,2018-10-19
Series B - Laifual Drive,https://www.crunchbase.com/funding_round/laifual-drive-series-b--cfe4cced,Laifual Drive,https://www.crunchbase.com/organization/laifual-drive,Series B,60000000,CNY,8777062,2018-09-06
Series B - TMiRob,https://www.crunchbase.com/funding_round/tmirob-series-b--78f0beea,TMiRob,https://www.crunchbase.com/organization/tmirob,Series B,30000000,USD,30000000,2018-07-17
Venture Round - Suning Finance,https://www.crunchbase.com/funding_round/suning-finance-series-unknown--3e675754,Suning Finance,https://www.crunchbase.com/organization/suning-finance,Venture - Series Unknown,5335000000,CNY,813826663,2017-12-27
Seed Round - HealAI,https://www.crunchbase.com/funding_round/healai-seed--12e410cc,HealAI,https://www.crunchbase.com/organization/healai,Seed,,,,2018-05-11
Series D - Eureka Therapeutics,https://www.crunchbase.com/funding_round/eureka-therapeutics-series-d--d37de4e7,Eureka Therapeutics,https://www.crunchbase.com/organization/eureka-therapeutics,Series D,60000000,USD,60000000,2018-01-22
Series B - Quanergy Systems,https://www.crunchbase.com/funding_round/quanergy-series-b--e37d6e8e,Quanergy Systems,https://www.crunchbase.com/organization/quanergy,Series B,90000000,USD,90000000,2016-08-22
Series B - Huimin,https://www.crunchbase.com/funding_round/huimin-series-b--eb91d31e,Huimin,https://www.crunchbase.com/organization/huimin,Series B,192000000,USD,192000000,2016-09-07
Series A - Huimin,https://www.crunchbase.com/funding_round/huimin-series-a--baef1a30,Huimin,https://www.crunchbase.com/organization/huimin,Series A,100000000,USD,100000000,2015-01-01
Series B - Helichenguang International Culture Media,https://www.crunchbase.com/funding_round/helichenguang-international-culture-media-series-b--3eb87d3b,Helichenguang International Culture Media,https://www.crunchbase.com/organization/helichenguang-international-culture-media,Series B,96000000,USD,96000000,2016-01-26
Series E - Kateeva,https://www.crunchbase.com/funding_round/kateeva-series-e--39f1a783,Kateeva,https://www.crunchbase.com/organization/kateeva,Series E,88000000,USD,88000000,2016-05-19
Series B - BeauCare Clinics,https://www.crunchbase.com/funding_round/beaucare-clinics-series-b--69bd8a89,BeauCare Clinics,https://www.crunchbase.com/organization/beaucare-clinics,Series B,29000000,USD,29000000,2017-06-16
Series B - Rong Cloud,https://www.crunchbase.com/funding_round/rong-cloud-series-b--6654e0b7,Rong Cloud,https://www.crunchbase.com/organization/rong-cloud,Series B,14000000,USD,14000000,2017-06-30
Series B - Ehang,https://www.crunchbase.com/funding_round/ehang-series-b--3ffe5bfa,Ehang,https://www.crunchbase.com/organization/ehang,Series B,42000000,USD,42000000,2015-08-24
