Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Makeblock,https://www.crunchbase.com/funding_round/makeblock-series-c--8ae2a3ce,Makeblock,https://www.crunchbase.com/organization/makeblock,Series C,300000000,CNY,43830492,2018-08-30
Series B - Tongshifu,https://www.crunchbase.com/funding_round/tongshifu-series-b--3212554a,Tongshifu,https://www.crunchbase.com/organization/tongshifu,Series B,310000000,CNY,45205319,2018-08-20
Series A - Jiatui Technology,https://www.crunchbase.com/funding_round/jiatui-technology-series-a--209c1e4b,Jiatui Technology,https://www.crunchbase.com/organization/jiatui-technology,Series A,168000000,CNY,26340132,2018-05-18
Series B - Singulato Motors,https://www.crunchbase.com/funding_round/singulato-motors-series-b--e89900b8,Singulato Motors,https://www.crunchbase.com/organization/singulato-motors,Series B,600000000,USD,600000000,2016-02-11
Series A - Meiliche,https://www.crunchbase.com/funding_round/meiliche-financial-series-a--14811db8,Meiliche,https://www.crunchbase.com/organization/meiliche-financial,Series A,65000000,USD,65000000,2015-01-01
Series A - TaoData,https://www.crunchbase.com/funding_round/taodata-series-a--587f7622,TaoData,https://www.crunchbase.com/organization/taodata,Series A,,,,2017-02-01
Series A - Qingsong,https://www.crunchbase.com/funding_round/qingsong-series-a--13ed3ce0,Qingsong,https://www.crunchbase.com/organization/qingsong,Series A,8750000,USD,8750000,2015-08-25
Series C - Kuaikan Manhua,https://www.crunchbase.com/funding_round/kuaikan-manhua-series-c--b1425eef,Kuaikan Manhua,https://www.crunchbase.com/organization/kuaikan-manhua,Series C,250000000,CNY,36038113,2017-01-11
Series D - Lvmama,https://www.crunchbase.com/funding_round/lvmama-series-d--ca129d3f,Lvmama,https://www.crunchbase.com/organization/lvmama,Series D,49000000,USD,49000000,2014-10-16
Series C - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-c--11a21b19,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series C,466000000,CNY,67637197,2017-03-31
Series C - Helijia,https://www.crunchbase.com/funding_round/helijia-series-c--a72ec055,Helijia,https://www.crunchbase.com/organization/helijia,Series C,50000000,USD,50000000,2015-02-18
Series B - Tantan,https://www.crunchbase.com/funding_round/tantan-series-b--700c0c58,Tantan,https://www.crunchbase.com/organization/tantan,Series B,,,,2015-08-04
Series C - TikTok,https://www.crunchbase.com/funding_round/musical-ly-series-c--e2c0d4b3,TikTok,https://www.crunchbase.com/organization/musical-ly,Series C,130000000,USD,130000000,2016-05-13
Series B - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-b--11523bc2,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series B,156000000,CNY,23352961,2016-08-30
Series C - UCloud Information Technology,https://www.crunchbase.com/funding_round/ucloud-information-technology-series-c--155d91fa,UCloud Information Technology,https://www.crunchbase.com/organization/ucloud-information-technology,Series C,100000000,USD,100000000,2015-04-10
Series A - Meili Jinrong,https://www.crunchbase.com/funding_round/meili-jinrong-series-a--68480d43,Meili Jinrong,https://www.crunchbase.com/organization/meili-jinrong,Series A,65000000,USD,65000000,2015-11-06
Series A - MissFresh E-Commerce,https://www.crunchbase.com/funding_round/missfresh-e-commerce-series-a--396e60e2,MissFresh E-Commerce,https://www.crunchbase.com/organization/missfresh-e-commerce,Series A,10000000,USD,10000000,2014-12-01
