Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Linlinyi,https://www.crunchbase.com/funding_round/linlinyi-series-a--cc6daab8,Linlinyi,https://www.crunchbase.com/organization/linlinyi,Series A,,,,2018-10-26
Series A - Echo,https://www.crunchbase.com/funding_round/echo-ae48-series-a--6a48b208,Echo,https://www.crunchbase.com/organization/echo-ae48,Series A,,,,2018-10-19
Series A - Xtransfer,https://www.crunchbase.com/funding_round/xtransfer-series-a--171177f6,Xtransfer,https://www.crunchbase.com/organization/xtransfer,Series A,10000000,USD,10000000,2018-10-15
Series A - Bullet Messenger,https://www.crunchbase.com/funding_round/bullet-messager-series-a--bf38681b,Bullet Messenger,https://www.crunchbase.com/organization/bullet-messager,Series A,150000000,CNY,22044883,2018-08-28
Venture Round - Tianrang,https://www.crunchbase.com/funding_round/tianrang-series-unknown--431c72f2,Tianrang,https://www.crunchbase.com/organization/tianrang,Venture - Series Unknown,26000000,USD,26000000,2018-08-07
Series A - Tianrang,https://www.crunchbase.com/funding_round/tianrang-series-a--58a52f4e,Tianrang,https://www.crunchbase.com/organization/tianrang,Series A,180000000,CNY,26262036,2018-08-06
Angel Round - Kuaipeilian,https://www.crunchbase.com/funding_round/kuaipeilian-angel--45fea09a,Kuaipeilian,https://www.crunchbase.com/organization/kuaipeilian,Angel,50000000,CNY,7320965,2018-08-03
Seed Round - Xtransfer,https://www.crunchbase.com/funding_round/xtransfer-seed--73c62e14,Xtransfer,https://www.crunchbase.com/organization/xtransfer,Seed,5000000,USD,5000000,2018-07-11
Series B - Yuanfu Logistics,https://www.crunchbase.com/funding_round/yuanfu-logistics-series-b--aee4f9bd,Yuanfu Logistics,https://www.crunchbase.com/organization/yuanfu-logistics,Series B,,,,2018-06-29
Series A - Lingshouke.cn,https://www.crunchbase.com/funding_round/lingshouke-cn-series-a--3aa3a209,Lingshouke.cn,https://www.crunchbase.com/organization/lingshouke-cn,Series A,,,,2018-06-28
Series A - Youhua Technology,https://www.crunchbase.com/funding_round/youhua-technology-series-a--883068e9,Youhua Technology,https://www.crunchbase.com/organization/youhua-technology,Series A,,,,2018-06-21
Series B - Danke Apartment,https://www.crunchbase.com/funding_round/danke-apartment-series-b--967afaf2,Danke Apartment,https://www.crunchbase.com/organization/danke-apartment,Series B,70000000,USD,70000000,2018-06-06
Seed Round - Tigerobo,https://www.crunchbase.com/funding_round/tigerobo-seed--1dfc4bcc,Tigerobo,https://www.crunchbase.com/organization/tigerobo,Seed,100000000,CNY,15610852,2018-06-05
Angel Round - PeckShield,https://www.crunchbase.com/funding_round/peckshield-angel--97054d50,PeckShield,https://www.crunchbase.com/organization/peckshield,Angel,,,,2018-05-31
Series A - Bomao Catering,https://www.crunchbase.com/funding_round/bomao-catering-series-a--29f3595b,Bomao Catering,https://www.crunchbase.com/organization/bomao-catering,Series A,,,,2018-05-23
Angel Round - Flash Express,https://www.crunchbase.com/funding_round/flash-express-angel--32cf518e,Flash Express,https://www.crunchbase.com/organization/flash-express,Angel,,,,2018-05-21
Series A - Caibeike,https://www.crunchbase.com/funding_round/caibeike-series-a--a479548e,Caibeike,https://www.crunchbase.com/organization/caibeike,Series A,20000000,USD,20000000,2018-05-02
Seed Round - Mago Robot,https://www.crunchbase.com/funding_round/mago-robot-seed--5ad91630,Mago Robot,https://www.crunchbase.com/organization/mago-robot,Seed,,,,2018-04-19
Corporate Round - Pangsen Commercial,https://www.crunchbase.com/funding_round/pangsen-commercial-corporate-round--d70917d4,Pangsen Commercial,https://www.crunchbase.com/organization/pangsen-commercial,Corporate Round,,,,2018-04-17
