Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Beam,https://www.crunchbase.com/funding_round/apac-escooters-beam-seed--445b77b3,Beam,https://www.crunchbase.com/organization/apac-escooters-beam,Seed,6400000,USD,6400000,2018-10-23
Series A - Fastwork,https://www.crunchbase.com/funding_round/fastwork-series-a--bf922e19,Fastwork,https://www.crunchbase.com/organization/fastwork,Series A,4800000,USD,4800000,2018-10-17
Series A - Gowork Indonesia,https://www.crunchbase.com/funding_round/gowork-d5d9-series-a--48b83076,Gowork Indonesia,https://www.crunchbase.com/organization/gowork-d5d9,Series A,10000000,USD,10000000,2018-10-10
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--43a7e837,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,50000000,USD,50000000,2018-08-22
Corporate Round - iPriceSG,https://www.crunchbase.com/funding_round/ipricesg-corporate-round--2ed329db,iPriceSG,https://www.crunchbase.com/organization/ipricesg,Corporate Round,,,,2018-08-20
Series A - Xunyi,https://www.crunchbase.com/funding_round/hangzhou-xunyi-network-technology-series-a--1773e0a1,Xunyi,https://www.crunchbase.com/organization/hangzhou-xunyi-network-technology,Series A,,,,2018-08-20
Series A - Xunyi,https://www.crunchbase.com/funding_round/hangzhou-xunyi-network-technology-series-a--995bc3da,Xunyi,https://www.crunchbase.com/organization/hangzhou-xunyi-network-technology,Series A,,,,2018-08-20
Corporate Round - Lianxing Capital,https://www.crunchbase.com/funding_round/lianxing-capital-corporate-round--3d676267,Lianxing Capital,https://www.crunchbase.com/organization/lianxing-capital,Corporate Round,,,,2018-08-09
Seed Round - Yuelin,https://www.crunchbase.com/funding_round/yuelin-seed--8e9b1081,Yuelin,https://www.crunchbase.com/organization/yuelin,Seed,,,,2018-07-27
Series D - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-d--051e6c5d,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series D,800000000,CNY,125232854,2018-06-06
Series A - JULO,https://www.crunchbase.com/funding_round/julo-2-series-a--32e2b2e6,JULO,https://www.crunchbase.com/organization/julo-2,Series A,5000000,USD,5000000,2018-05-10
Series A - Winner's Key,https://www.crunchbase.com/funding_round/winner-s-key-series-a--4e637f99,Winner's Key,https://www.crunchbase.com/organization/winner-s-key,Series A,3143000,USD,3143000,2018-05-02
Seed Round - AVANA,https://www.crunchbase.com/funding_round/avana-seed--3afa321c,AVANA,https://www.crunchbase.com/organization/avana,Seed,1000000,USD,1000000,2018-03-22
Series B - Carsome,https://www.crunchbase.com/funding_round/carsome-series-b--af4abdae,Carsome,https://www.crunchbase.com/organization/carsome,Series B,19000000,USD,19000000,2018-03-07
Seed Round - Zoom,https://www.crunchbase.com/funding_round/zoom-seed--60336cfa,Zoom,https://www.crunchbase.com/organization/zoom,Seed,4000000,MYR,1013684,2018-01-15
Venture Round - Kr Space,https://www.crunchbase.com/funding_round/kr-space-series-unknown--68f28e69,Kr Space,https://www.crunchbase.com/organization/kr-space,Venture - Series Unknown,600000000,CNY,92189972,2018-01-10
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--028601b0,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,145000000,USD,145000000,2018-01-10
Series A - Nongtian Guanjia (Farm Friend),https://www.crunchbase.com/funding_round/nongtian-guanjia-farm-friend-series-a--9ef84ddc,Nongtian Guanjia (Farm Friend),https://www.crunchbase.com/organization/nongtian-guanjia-farm-friend,Series A,,,,2018-01-09
Series A - 36Kr,https://www.crunchbase.com/funding_round/36kr-series-a--c3823db5,36Kr,https://www.crunchbase.com/organization/36kr,Series A,300000000,CNY,45320643,2017-12-13
Series A - Qichedashi,https://www.crunchbase.com/funding_round/qichedashi-series-a--1d550cc7,Qichedashi,https://www.crunchbase.com/organization/qichedashi,Series A,6400000,USD,6400000,2017-11-27
Series A - Deliveree Private Limited,https://www.crunchbase.com/funding_round/deliveree-series-a--bfdd3ff3,Deliveree Private Limited,https://www.crunchbase.com/organization/deliveree,Series A,14500000,USD,14500000,2017-10-09
Series A - Deep Brain,https://www.crunchbase.com/funding_round/deep-brain-series-a--22e638b0,Deep Brain,https://www.crunchbase.com/organization/deep-brain,Series A,35000000,CNY,5401442,2017-09-08
Seed Round - Mobrella,https://www.crunchbase.com/funding_round/mobrella-seed--4b57c505,Mobrella,https://www.crunchbase.com/organization/mobrella,Seed,,,,2017-08-25
Venture Round - Eko,https://www.crunchbase.com/funding_round/eko-series-unknown--4b0b7120,Eko,https://www.crunchbase.com/organization/eko,Venture - Series Unknown,2000000,USD,2000000,2017-08-24
