Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Maló Clinic,https://www.crunchbase.com/funding_round/malo-clinic-series-d--497ebdca,Maló Clinic,https://www.crunchbase.com/organization/malo-clinic,Series D,230000000,CNY,33538941,2018-09-21
Series C - Adagene,https://www.crunchbase.com/funding_round/adagene-series-c--b4574ced,Adagene,https://www.crunchbase.com/organization/adagene,Series C,50000000,USD,50000000,2018-03-27
Private Equity Round - Schoolpal,https://www.crunchbase.com/funding_round/schoolpal-private-equity--3991e62c,Schoolpal,https://www.crunchbase.com/organization/schoolpal,Private Equity,,,,2018-05-11
Series B - Chengzhangbao,https://www.crunchbase.com/funding_round/chengzhangbao-series-b--dd8b988d,Chengzhangbao,https://www.crunchbase.com/organization/chengzhangbao,Series B,24000000,USD,24000000,2018-03-06
Series C - Bizport,https://www.crunchbase.com/funding_round/bizport-series-c--75e1a3bf,Bizport,https://www.crunchbase.com/organization/bizport,Series C,50000000,USD,50000000,2018-04-20
Series A - Xianghuanji,https://www.crunchbase.com/funding_round/xianghuanji-series-a--400d3bb3,Xianghuanji,https://www.crunchbase.com/organization/xianghuanji,Series A,23800000,USD,23800000,2018-04-11
Angel Round - Innoangel Space,https://www.crunchbase.com/funding_round/innoangel-space-angel--3efb651f,Innoangel Space,https://www.crunchbase.com/organization/innoangel-space,Angel,40000000,CNY,5907895,2018-07-20
Venture Round - Tianjin CanSino Biotechnology Inc.,https://www.crunchbase.com/funding_round/tianjin-cansino-biotechnology-inc-series-unknown--895ae7f2,Tianjin CanSino Biotechnology Inc.,https://www.crunchbase.com/organization/tianjin-cansino-biotechnology-inc,Venture - Series Unknown,65000000,USD,65000000,2017-04-19
Series A - Ucommune,https://www.crunchbase.com/funding_round/urwork-series-a--b3bd4afa,Ucommune,https://www.crunchbase.com/organization/urwork,Series A,31000000,USD,31000000,2016-03-14
Series C - Beijing Weiying Technology,https://www.crunchbase.com/funding_round/beijing-weiying-technology-series-c--524c67ab,Beijing Weiying Technology,https://www.crunchbase.com/organization/beijing-weiying-technology,Series C,1500000000,CNY,234981178,2015-11-18
Series A - Fountown,https://www.crunchbase.com/funding_round/fountown-series-a--4352fd53,Fountown,https://www.crunchbase.com/organization/fountown,Series A,200000000,CNY,29953536,2016-09-09
Series D - ShopEx,https://www.crunchbase.com/funding_round/shopex-series-d--161a7ba0,ShopEx,https://www.crunchbase.com/organization/shopex,Series D,700000000,CNY,103905357,2017-07-28
