Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - ICE Tech Science & Technology,https://www.crunchbase.com/funding_round/ice-tech-science-technology-series-b--5a4e4fd3,ICE Tech Science & Technology,https://www.crunchbase.com/organization/ice-tech-science-technology,Series B,,,,2018-08-29
Angel Round - Logan Laser Technology,https://www.crunchbase.com/funding_round/logan-laser-technology-angel--1e448564,Logan Laser Technology,https://www.crunchbase.com/organization/logan-laser-technology,Angel,,,,2018-08-21
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--59b4a506,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,102000000,USD,102000000,2018-07-11
Series A - Dobot,https://www.crunchbase.com/funding_round/dobot-series-a--d509f17e,Dobot,https://www.crunchbase.com/organization/dobot,Series A,100000000,CNY,15088418,2018-06-28
Series C - Yaoshibang,https://www.crunchbase.com/funding_round/yaoshibang-series-c--d00dfbc6,Yaoshibang,https://www.crunchbase.com/organization/yaoshibang,Series C,420000000,CNY,65626025,2018-06-14
Angel Round - Suishengting,https://www.crunchbase.com/funding_round/suishengting-angel--f9833997,Suishengting,https://www.crunchbase.com/organization/suishengting,Angel,,,,2018-06-14
Series A - ONO Social,https://www.crunchbase.com/funding_round/ono-4bc9-series-a--34295fa3,ONO Social,https://www.crunchbase.com/organization/ono-4bc9,Series A,16000000,USD,16000000,2018-06-08
Angel Round - SeekIn,https://www.crunchbase.com/funding_round/seekin-angel--7c21be9a,SeekIn,https://www.crunchbase.com/organization/seekin,Angel,,,,2018-06-07
Series C - Codemao,https://www.crunchbase.com/funding_round/codemao-series-c--4eb04857,Codemao,https://www.crunchbase.com/organization/codemao,Series C,47000000,USD,47000000,2018-05-25
Angel Round - Qixuan Technology,https://www.crunchbase.com/funding_round/qixuan-technology-angel--b274b584,Qixuan Technology,https://www.crunchbase.com/organization/qixuan-technology,Angel,,,,2018-05-23
Series D - Orbbec,https://www.crunchbase.com/funding_round/orbbec-series-d--22afd645,Orbbec,https://www.crunchbase.com/organization/orbbec,Series D,200000000,USD,200000000,2018-05-21
Series C - UBTech Robotics,https://www.crunchbase.com/funding_round/ubtech-series-c--d7b76e2a,UBTech Robotics,https://www.crunchbase.com/organization/ubtech,Series C,820000000,USD,820000000,2018-05-03
Series A - Haha Store,https://www.crunchbase.com/funding_round/haha-store-series-a--a702264b,Haha Store,https://www.crunchbase.com/organization/haha-store,Series A,,,,2018-05-03
Series A - Singlera Genomics,https://www.crunchbase.com/funding_round/singlera-genomics-series-a--0cbb84e2,Singlera Genomics,https://www.crunchbase.com/organization/singlera-genomics,Series A,60000000,USD,60000000,2018-03-27
Series A - Zilliz,https://www.crunchbase.com/funding_round/zilliz-series-a--276bbec5,Zilliz,https://www.crunchbase.com/organization/zilliz,Series A,10000000,USD,10000000,2018-01-15
