Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Convertible Note - Aroma Brewing,https://www.crunchbase.com/funding_round/aroma-brewing-convertible-note--39743f86,Aroma Brewing,https://www.crunchbase.com/organization/aroma-brewing,Convertible Note,,,,2018-08-09
Seed Round - Hisens,https://www.crunchbase.com/funding_round/hisens-seed--b6cd9fe5,Hisens,https://www.crunchbase.com/organization/hisens,Seed,,,,2018-05-16
Seed Round - FoodMarble,https://www.crunchbase.com/funding_round/foodmarble-seed--3d4cbe0a,FoodMarble,https://www.crunchbase.com/organization/foodmarble,Seed,,,,2018-04-25
Convertible Note - Bitome,https://www.crunchbase.com/funding_round/bitome-convertible-note--b20cac07,Bitome,https://www.crunchbase.com/organization/bitome,Convertible Note,,,,2018-03-28
Convertible Note - Next Thing Co,https://www.crunchbase.com/funding_round/next-thing-convertible-note--0c98d033,Next Thing Co,https://www.crunchbase.com/organization/next-thing,Convertible Note,,,,2018-03-20
Seed Round - HabitAware,https://www.crunchbase.com/funding_round/habitaware-seed--c7ecbd1a,HabitAware,https://www.crunchbase.com/organization/habitaware,Seed,160000,USD,160000,2018-03-14
Series A - Raybaby,https://www.crunchbase.com/funding_round/raybaby-series-a--b23687fb,Raybaby,https://www.crunchbase.com/organization/raybaby,Series A,,,,2018-03-12
Seed Round - Brickant Tech Limited,https://www.crunchbase.com/funding_round/brickant-tech-limited-seed--23078345,Brickant Tech Limited,https://www.crunchbase.com/organization/brickant-tech-limited,Seed,,,,2018-03-08
Pre Seed Round - Zennea,https://www.crunchbase.com/funding_round/zennea-technologies-pre-seed--07bd2761,Zennea,https://www.crunchbase.com/organization/zennea-technologies,Pre-Seed,,,,2018-03-08
Seed Round - Pushme,https://www.crunchbase.com/funding_round/pushme-2-seed--ab5e080b,Pushme,https://www.crunchbase.com/organization/pushme-2,Seed,,,,2018-03-07
Seed Round - SmartAG Technologies,https://www.crunchbase.com/funding_round/smartag-technologies-seed--f72e7227,SmartAG Technologies,https://www.crunchbase.com/organization/smartag-technologies,Seed,,,,2018-03-05
Seed Round - ShapeMeasure,https://www.crunchbase.com/funding_round/form-robotics-seed--d02175ea,ShapeMeasure,https://www.crunchbase.com/organization/form-robotics,Seed,,,,2018-03-05
Seed Round - Axem Neurotechnology,https://www.crunchbase.com/funding_round/axem-neurotechnology-seed--973ee5af,Axem Neurotechnology,https://www.crunchbase.com/organization/axem-neurotechnology,Seed,,,,2018-03-05
Convertible Note - Feel,https://www.crunchbase.com/funding_round/sentio-solutions-inc-convertible-note--46a6ce11,Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,Convertible Note,,,,2018-03-01
Convertible Note - Nordetect,https://www.crunchbase.com/funding_round/nordetect-convertible-note--163c4cf2,Nordetect,https://www.crunchbase.com/organization/nordetect,Convertible Note,,,,2018-02-22
Convertible Note - Nuada,https://www.crunchbase.com/funding_round/nuada-convertible-note--4314441a,Nuada,https://www.crunchbase.com/organization/nuada,Convertible Note,,,,2018-01-29
Seed Round - Flow Neuroscience,https://www.crunchbase.com/funding_round/flow-neuroscience-seed--c95fd698,Flow Neuroscience,https://www.crunchbase.com/organization/flow-neuroscience,Seed,1100000,USD,1100000,2018-01-25
Convertible Note - SmartShepherd,https://www.crunchbase.com/funding_round/smart-shepherd-convertible-note--06ab6c6d,SmartShepherd,https://www.crunchbase.com/organization/smart-shepherd,Convertible Note,,,,2018-01-17
Seed Round - Wazer,https://www.crunchbase.com/funding_round/wazer-2-seed--d0700ecd,Wazer,https://www.crunchbase.com/organization/wazer-2,Seed,,,,2018-01-12
Seed Round - Avidbots,https://www.crunchbase.com/funding_round/avidbots-seed--bbc46848,Avidbots,https://www.crunchbase.com/organization/avidbots,Seed,,,,2018-01-05
Convertible Note - Criam,https://www.crunchbase.com/funding_round/criam-convertible-note--5d686313,Criam,https://www.crunchbase.com/organization/criam,Convertible Note,,,,2018-01-02
Seed Round - Preemadonna,https://www.crunchbase.com/funding_round/preemadonna-seed--01597fa1,Preemadonna,https://www.crunchbase.com/organization/preemadonna,Seed,1096433,USD,1096433,2017-12-29
Seed Round - Ell-iot,https://www.crunchbase.com/funding_round/ell-iot-seed--08c9e313,Ell-iot,https://www.crunchbase.com/organization/ell-iot,Seed,,,,2017-12-15
Convertible Note - Next Thing Co,https://www.crunchbase.com/funding_round/next-thing-convertible-note--bfa9acf8,Next Thing Co,https://www.crunchbase.com/organization/next-thing,Convertible Note,,,,2017-12-15
Convertible Note - Prynt,https://www.crunchbase.com/funding_round/prynt-convertible-note--e59e24fa,Prynt,https://www.crunchbase.com/organization/prynt,Convertible Note,,,,2017-11-27
Seed Round - Playbean,https://www.crunchbase.com/funding_round/playbean-seed--03577e69,Playbean,https://www.crunchbase.com/organization/playbean,Seed,,,,2017-11-27
Seed Round - Vox Technology,https://www.crunchbase.com/funding_round/vox-technology-seed--73c093ee,Vox Technology,https://www.crunchbase.com/organization/vox-technology,Seed,,,,2017-11-08
Seed Round - Wazer,https://www.crunchbase.com/funding_round/wazer-2-seed--f5df7548,Wazer,https://www.crunchbase.com/organization/wazer-2,Seed,,,,2017-11-06
Venture Round - Amper Technologies,https://www.crunchbase.com/funding_round/amper-technologies-series-unknown--c084047a,Amper Technologies,https://www.crunchbase.com/organization/amper-technologies,Venture - Series Unknown,1902339,USD,1902339,2017-10-31
Convertible Note - Babybe GmbH,https://www.crunchbase.com/funding_round/babybe-convertible-note--b9ad95fe,Babybe GmbH,https://www.crunchbase.com/organization/babybe,Convertible Note,,,,2017-10-31
Convertible Note - Next Thing Co,https://www.crunchbase.com/funding_round/next-thing-convertible-note--1affd64e,Next Thing Co,https://www.crunchbase.com/organization/next-thing,Convertible Note,,,,2017-10-31
Seed Round - Feel,https://www.crunchbase.com/funding_round/sentio-solutions-inc-seed--8b566c55,Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,Seed,,,,2017-10-24
