Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - E-Life Financial Services,https://www.crunchbase.com/funding_round/e-life-financial-services-series-b--eecce01d,E-Life Financial Services,https://www.crunchbase.com/organization/e-life-financial-services,Series B,550000000,CNY,82460451,2016-10-01
Corporate Round - Tian Tian Express,https://www.crunchbase.com/funding_round/tian-tian-express-corporate-round--1b9bb686,Tian Tian Express,https://www.crunchbase.com/organization/tian-tian-express,Corporate Round,80000000,CNY,11715159,2010-01-01
Series B - Uber China,https://www.crunchbase.com/funding_round/uber-china-series-b--8f811f90,Uber China,https://www.crunchbase.com/organization/uber-china,Series B,2000000000,USD,2000000000,2016-01-13
Series B - Le Sports,https://www.crunchbase.com/funding_round/le-sports-series-b--ba692edb,Le Sports,https://www.crunchbase.com/organization/le-sports,Series B,8000000000,CNY,1229498118,2016-03-29
Post-IPO Equity - Hilton Worldwide,https://www.crunchbase.com/funding_round/hilton-worldwide-post-ipo-equity--49a3bc96,Hilton Worldwide,https://www.crunchbase.com/organization/hilton-worldwide,Post-IPO Equity,6500000000,USD,6500000000,2016-10-25
Private Equity Round - OM Asset Management (OMAM),https://www.crunchbase.com/funding_round/om-asset-management-omam-private-equity--dead25fe,OM Asset Management (OMAM),https://www.crunchbase.com/organization/om-asset-management-omam,Private Equity,446000000,USD,446000000,2017-03-26
Funding Round - RocketSpace,https://www.crunchbase.com/funding_round/rocketspace-undisclosed--f63afdcf,RocketSpace,https://www.crunchbase.com/organization/rocketspace,Funding Round,336000000,USD,336000000,2016-08-03
Series C - Weimob,https://www.crunchbase.com/funding_round/weimob-series-c--e2e0436c,Weimob,https://www.crunchbase.com/organization/weimob,Series C,79000000,USD,79000000,2015-11-10
Venture Round - Belvedor (ZhuBaiJia),https://www.crunchbase.com/funding_round/zhubaijia-series-unknown--65ef2036,Belvedor (ZhuBaiJia),https://www.crunchbase.com/organization/zhubaijia,Venture - Series Unknown,100000000,CNY,14535299,2016-12-04
Post-IPO Equity - Dufry,https://www.crunchbase.com/funding_round/dufry-post-ipo-equity--11fb62b7,Dufry,https://www.crunchbase.com/organization/dufry,Post-IPO Equity,1450000000,USD,1450000000,2017-04-27
Post-IPO Equity - Deutsche Bank,https://www.crunchbase.com/funding_round/deutsche-bank-post-ipo-equity--71ab5412,Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,Post-IPO Equity,,,,2017-02-17
