Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - I-Mab Biopharma,https://www.crunchbase.com/funding_round/i-mab-biopharma-series-c--fb99ed9f,I-Mab Biopharma,https://www.crunchbase.com/organization/i-mab-biopharma,Series C,220000000,USD,220000000,2018-06-29
Series C - SenseTime,https://www.crunchbase.com/funding_round/sensetime-series-c--c455fb1b,SenseTime,https://www.crunchbase.com/organization/sensetime,Series C,620000000,USD,620000000,2018-05-31
Series B - NIO,https://www.crunchbase.com/funding_round/nextev-series-b--87560d64,NIO,https://www.crunchbase.com/organization/nextev,Series B,316000000,USD,316000000,2016-07-21
Private Equity Round - Mevion Medical Systems,https://www.crunchbase.com/funding_round/mevion-medical-systems-private-equity--0ba45ab2,Mevion Medical Systems,https://www.crunchbase.com/organization/mevion-medical-systems,Private Equity,150000000,USD,150000000,2018-06-14
Series C - Yimidida,https://www.crunchbase.com/funding_round/yimidida-series-c--b42038c2,Yimidida,https://www.crunchbase.com/organization/yimidida,Series C,79000000,USD,79000000,2018-04-25
Series C - Wtoip,https://www.crunchbase.com/funding_round/wtoip-series-c--0b07d0e7,Wtoip,https://www.crunchbase.com/organization/wtoip,Series C,,,,2018-02-06
Series D - Mafengwo,https://www.crunchbase.com/funding_round/mafengwo-series-d--c0b123df,Mafengwo,https://www.crunchbase.com/organization/mafengwo,Series D,133000000,USD,133000000,2017-12-12
Venture Round - COFCO,https://www.crunchbase.com/funding_round/cofco-series-unknown--a27e5b49,COFCO,https://www.crunchbase.com/organization/cofco,Venture - Series Unknown,,,,2014-06-06
Series D - Mogujie,https://www.crunchbase.com/funding_round/mogujie-series-d--f97e4893,Mogujie,https://www.crunchbase.com/organization/mogujie,Series D,200000000,USD,200000000,2014-06-06
Venture Round - Ambrx,https://www.crunchbase.com/funding_round/ambrx-series-unknown--e9ac9b85,Ambrx,https://www.crunchbase.com/organization/ambrx,Venture - Series Unknown,45000000,USD,45000000,2016-08-04
Private Equity Round - Mevion Medical Systems,https://www.crunchbase.com/funding_round/mevion-medical-systems-private-equity--26addc26,Mevion Medical Systems,https://www.crunchbase.com/organization/mevion-medical-systems,Private Equity,200000000,USD,200000000,2014-08-04
Series E - Xiaomi,https://www.crunchbase.com/funding_round/xiaomi-series-e--0022fc71,Xiaomi,https://www.crunchbase.com/organization/xiaomi,Series E,1100000000,USD,1100000000,2014-12-22
