Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Huiyu Education,https://www.crunchbase.com/funding_round/huiyu-education-series-a--f61d72d8,Huiyu Education,https://www.crunchbase.com/organization/huiyu-education,Series A,8000000,USD,8000000,2018-10-22
Series A - Yiyong Health,https://www.crunchbase.com/funding_round/yiyong-health-series-a--0dfde8c3,Yiyong Health,https://www.crunchbase.com/organization/yiyong-health,Series A,50000000,CNY,7313323,2018-08-08
Series A - Yi Yi Health ( Health Cross ),https://www.crunchbase.com/funding_round/yi-yi-health-health-cross-series-a--0588c497,Yi Yi Health ( Health Cross ),https://www.crunchbase.com/organization/yi-yi-health-health-cross,Series A,50000000,CNY,7303748,2018-08-11
Series A - Light Oxygen Technology,https://www.crunchbase.com/funding_round/light-oxygen-technology-series-a--82ff5bd2,Light Oxygen Technology,https://www.crunchbase.com/organization/light-oxygen-technology,Series A,55000000,CNY,8098358,2018-07-24
Series A - Yiyong Health,https://www.crunchbase.com/funding_round/yiyong-health-series-a--9a011002,Yiyong Health,https://www.crunchbase.com/organization/yiyong-health,Series A,,,,2017-02-24
Seed Round - Baby-Running,https://www.crunchbase.com/funding_round/baby-running-seed--5da12fd1,Baby-Running,https://www.crunchbase.com/organization/baby-running,Seed,,,,2018-07-10
Series A - Dekun Supply Chain,https://www.crunchbase.com/funding_round/dekun-supply-chain-series-a--6db1c3eb,Dekun Supply Chain,https://www.crunchbase.com/organization/dekun-supply-chain,Series A,,,,2018-04-19
Series C - 51Jinkouche,https://www.crunchbase.com/funding_round/51jinkouche-series-c--560f5ecd,51Jinkouche,https://www.crunchbase.com/organization/51jinkouche,Series C,15600000,USD,15600000,2018-01-18
Series A - Tian Tian Express,https://www.crunchbase.com/funding_round/tian-tian-express-series-a--9be13c55,Tian Tian Express,https://www.crunchbase.com/organization/tian-tian-express,Series A,600000000,CNY,91776518,2016-02-26
Series B - Starmerx,https://www.crunchbase.com/funding_round/starmerx-series-b--5804e276,Starmerx,https://www.crunchbase.com/organization/starmerx,Series B,15000000,USD,15000000,2017-12-04
Series C - Phoenix Travel Group,https://www.crunchbase.com/funding_round/phoenix-travel-group-series-c--d04f7e37,Phoenix Travel Group,https://www.crunchbase.com/organization/phoenix-travel-group,Series C,700000000,CNY,105410574,2017-11-07
