Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - ORIG3N,https://www.crunchbase.com/funding_round/orig3n-series-b--7cd09e37,ORIG3N,https://www.crunchbase.com/organization/orig3n,Series B,14400000,USD,14400000,2018-07-12
Series B - TCR2,https://www.crunchbase.com/funding_round/tcr2-series-b--67983a26,TCR2,https://www.crunchbase.com/organization/tcr2,Series B,125000000,USD,125000000,2018-03-21
Series C - NIO,https://www.crunchbase.com/funding_round/nextev-series-c--3ef721e0,NIO,https://www.crunchbase.com/organization/nextev,Series C,645709869,USD,645709869,2017-03-16
Series A - Wifi Skeleton Key,https://www.crunchbase.com/funding_round/wifi-skeleton-key-series-a--c3395641,Wifi Skeleton Key,https://www.crunchbase.com/organization/wifi-skeleton-key,Series A,52000000,USD,52000000,2015-05-22
Series B - SmartStudy.com,https://www.crunchbase.com/funding_round/smartstudy-com-series-b--00c95f98,SmartStudy.com,https://www.crunchbase.com/organization/smartstudy-com,Series B,200000000,CNY,29472521,2016-11-08
Series C - Chinac.com,https://www.crunchbase.com/funding_round/chinac-com-series-c--38c39688,Chinac.com,https://www.crunchbase.com/organization/chinac-com,Series C,100000000,USD,100000000,2015-07-20
Post-IPO Equity - Teamsun Technology Co.,https://www.crunchbase.com/funding_round/teamsun-technology-co-post-ipo-equity--29951bb3,Teamsun Technology Co.,https://www.crunchbase.com/organization/teamsun-technology-co,Post-IPO Equity,470000000,CNY,73654550,2011-09-01
Series B - 91JinRong,https://www.crunchbase.com/funding_round/91jinrong-series-b--51fba050,91JinRong,https://www.crunchbase.com/organization/91jinrong,Series B,10000000,USD,10000000,2014-06-16
Series A - lvyouquan,https://www.crunchbase.com/funding_round/lvyouquan-series-a--821267e2,lvyouquan,https://www.crunchbase.com/organization/lvyouquan,Series A,120000000,CNY,19517952,2014-12-01
Series A - Morning Tec,https://www.crunchbase.com/funding_round/morning-tec-series-a--87c0fb18,Morning Tec,https://www.crunchbase.com/organization/morning-tec,Series A,50000000,CNY,8248381,2014-01-08
Series D - Souche,https://www.crunchbase.com/funding_round/souche-series-d--22f3f5bf,Souche,https://www.crunchbase.com/organization/souche,Series D,180000000,USD,180000000,2017-05-11
