Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - MC10,https://www.crunchbase.com/funding_round/mc10-series-unknown--5a0fec6a,MC10,https://www.crunchbase.com/organization/mc10,Venture - Series Unknown,2500000,USD,2500000,2018-08-20
Series A - Soft Robotics Inc.,https://www.crunchbase.com/funding_round/soft-robotics-inc--series-a--f66df162,Soft Robotics Inc.,https://www.crunchbase.com/organization/soft-robotics-inc-,Series A,20000000,USD,20000000,2018-05-02
Series B - AngelList,https://www.crunchbase.com/funding_round/angellist-series-b--732badb4,AngelList,https://www.crunchbase.com/organization/angellist,Series B,2100000,USD,2100000,2015-03-09
Series C - Cerevast Therapeutics,https://www.crunchbase.com/funding_round/cerevast-therapeutics-series-c--780012a4,Cerevast Therapeutics,https://www.crunchbase.com/organization/cerevast-therapeutics,Series C,11400000,USD,11400000,2015-03-06
Series B - Testin,https://www.crunchbase.com/funding_round/testin-series-b--92945fc2,Testin,https://www.crunchbase.com/organization/testin,Series B,45000000,USD,45000000,2015-07-22
Series D - BrainPort Technologies,https://www.crunchbase.com/funding_round/brainport-technologies-series-d--5e4c6892,BrainPort Technologies,https://www.crunchbase.com/organization/brainport-technologies,Series D,2000000,USD,2000000,2013-05-20
Series A - Soft Robotics Inc.,https://www.crunchbase.com/funding_round/soft-robotics-inc--series-a--7b3f5875,Soft Robotics Inc.,https://www.crunchbase.com/organization/soft-robotics-inc-,Series A,5000000,USD,5000000,2015-12-17
Series F - WiTricity,https://www.crunchbase.com/funding_round/witricity-series-f--d632c6a7,WiTricity,https://www.crunchbase.com/organization/witricity,Series F,5000000,USD,5000000,2015-04-01
Venture Round - Martin Aircraft Company Limited,https://www.crunchbase.com/funding_round/martin-aircraft-company-limited-series-unknown--7da16c96,Martin Aircraft Company Limited,https://www.crunchbase.com/organization/martin-aircraft-company-limited,Venture - Series Unknown,1000000,USD,1000000,2014-12-20
Series E - MC10,https://www.crunchbase.com/funding_round/mc10-series-e--a146a2fc,MC10,https://www.crunchbase.com/organization/mc10,Series E,2000000,USD,2000000,2015-09-10
Venture Round - XCOR Aerospace,https://www.crunchbase.com/funding_round/xcor-aerospace-series-unknown--a0b0d4b3,XCOR Aerospace,https://www.crunchbase.com/organization/xcor-aerospace,Venture - Series Unknown,,,,2015-05-22
Series D - LightSail Energy,https://www.crunchbase.com/funding_round/lightsail-energy-series-d--a594b4fe,LightSail Energy,https://www.crunchbase.com/organization/lightsail-energy,Series D,2000000,USD,2000000,2015-04-20
Series C - Terrafugia,https://www.crunchbase.com/funding_round/terrafugia-series-c--ea303a72,Terrafugia,https://www.crunchbase.com/organization/terrafugia,Series C,1000000,USD,1000000,2015-02-20
Series C - 1366 Technologies,https://www.crunchbase.com/funding_round/1366-technologies-series-c--6d3f3797,1366 Technologies,https://www.crunchbase.com/organization/1366-technologies,Series C,5000000,USD,5000000,2015-04-09
Seed Round - CircuitHub,https://www.crunchbase.com/funding_round/circuithub-seed--2ea520c8,CircuitHub,https://www.crunchbase.com/organization/circuithub,Seed,500000,USD,500000,2015-02-09
Series C - Lytro,https://www.crunchbase.com/funding_round/lytro-series-c--1d7ca09d,Lytro,https://www.crunchbase.com/organization/lytro,Series C,5000000,USD,5000000,2016-02-09
Seed Round - Neurala,https://www.crunchbase.com/funding_round/neurala-seed--033a5831,Neurala,https://www.crunchbase.com/organization/neurala,Seed,450000,USD,450000,2016-04-18
