Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Biothus,https://www.crunchbase.com/funding_round/biothus-series-a--c9268803,Biothus,https://www.crunchbase.com/organization/biothus,Series A,180000000,CNY,25828669,2018-10-30
Series D - Maló Clinic,https://www.crunchbase.com/funding_round/malo-clinic-series-d--497ebdca,Maló Clinic,https://www.crunchbase.com/organization/malo-clinic,Series D,230000000,CNY,33538941,2018-09-21
Private Equity Round - Chemclin,https://www.crunchbase.com/funding_round/chemclin-private-equity--b93a4b56,Chemclin,https://www.crunchbase.com/organization/chemclin,Private Equity,2000000000,CNY,293117598,2018-08-01
Series A - Predicine (Huidu Medical Technology),https://www.crunchbase.com/funding_round/predicine-series-a--d4d3274c,Predicine (Huidu Medical Technology),https://www.crunchbase.com/organization/predicine,Series A,,,,2018-08-06
Seed Round - MoonBiotech,https://www.crunchbase.com/funding_round/moonbiotech-seed--6d70819f,MoonBiotech,https://www.crunchbase.com/organization/moonbiotech,Seed,,,,2018-06-15
Series A - Chowsing Live,https://www.crunchbase.com/funding_round/chowsing-live-series-a--a0e55ccc,Chowsing Live,https://www.crunchbase.com/organization/chowsing-live,Series A,,,,2018-07-30
Series A - ChosenMed,https://www.crunchbase.com/funding_round/chosenmed-series-a--f9584e69,ChosenMed,https://www.crunchbase.com/organization/chosenmed,Series A,,,,2018-05-03
Series C - Suzhou Kintor Pharmaceuticals,https://www.crunchbase.com/funding_round/suzhou-kintor-pharmaceuticals-series-c--19ad1e28,Suzhou Kintor Pharmaceuticals,https://www.crunchbase.com/organization/suzhou-kintor-pharmaceuticals,Series C,44000000,USD,44000000,2018-01-12
Series C - Junhetang,https://www.crunchbase.com/funding_round/junhetang-series-c--742efd74,Junhetang,https://www.crunchbase.com/organization/junhetang,Series C,16000000,USD,16000000,2018-02-08
Corporate Round - Sansure Biotech,https://www.crunchbase.com/funding_round/sansure-biotech-corporate-round--40090b82,Sansure Biotech,https://www.crunchbase.com/organization/sansure-biotech,Corporate Round,77000000,USD,77000000,2018-01-02
Series B - Quyi Network,https://www.crunchbase.com/funding_round/quyi-network-series-b--1d4849be,Quyi Network,https://www.crunchbase.com/organization/quyi-network,Series B,40000000,USD,40000000,2015-09-11
Series B - Cui Yutao Health Management Center,https://www.crunchbase.com/funding_round/cui-yutao-health-management-center-series-b--6a58b853,Cui Yutao Health Management Center,https://www.crunchbase.com/organization/cui-yutao-health-management-center,Series B,10000000,USD,10000000,2016-01-01
Series C - Cui Yutao Health Management Center,https://www.crunchbase.com/funding_round/cui-yutao-health-management-center-series-c--ab4abd0f,Cui Yutao Health Management Center,https://www.crunchbase.com/organization/cui-yutao-health-management-center,Series C,20000000,USD,20000000,2017-01-13
Seed Round - Ennovabio,https://www.crunchbase.com/funding_round/ennovabio-seed--8cc35e9d,Ennovabio,https://www.crunchbase.com/organization/ennovabio,Seed,10000000,USD,10000000,2017-09-13
Series B - iHear Medical,https://www.crunchbase.com/funding_round/ihear-medical-series-b--b0d596fa,iHear Medical,https://www.crunchbase.com/organization/ihear-medical,Series B,2320000,USD,2320000,2012-02-07
Series B - JunHe,https://www.crunchbase.com/funding_round/jun-he-tang-series-b--4767f5f1,JunHe,https://www.crunchbase.com/organization/jun-he-tang,Series B,7600000,USD,7600000,2016-06-20
